V1,I1
0,1.9E-13
0.01,1.3421E-10
0.02,2.4253E-10
0.03,3.3376E-10
0.04,4.0874E-10
0.05,4.723E-10
0.06,5.2636E-10
0.07,5.7182E-10
0.08,6.1191E-10
0.09,6.475E-10
0.1,6.7841E-10
0.11,7.0589E-10
0.12,7.3151E-10
0.13,7.5401E-10
0.14,7.7417E-10
0.15,7.9361E-10
0.16,8.1145E-10
0.17,8.2795E-10
0.18,8.4248E-10
0.19,8.574E-10
0.2,8.7128E-10
0.21,8.8346E-10
0.22,8.9631E-10
0.23,9.0717E-10
0.24,9.1895E-10
0.25,9.2939E-10
0.26,9.3915E-10
0.27,9.4922E-10
0.28,9.581E-10
0.29,9.6791E-10
0.3,9.7691E-10
0.31,9.8515E-10
0.32,9.9292E-10
0.33,1.00129E-09
0.34,1.00902E-09
0.35,1.01665E-09
0.36,1.02338E-09
0.37,1.03116E-09
0.38,1.03842E-09
0.39,1.04459E-09
0.4,1.0518E-09
0.41,1.05783E-09
0.42,1.06477E-09
0.43,1.07073E-09
0.44,1.07642E-09
0.45,1.08303E-09
0.46,1.08809E-09
0.47,1.09444E-09
0.48,1.10039E-09
0.49,1.10557E-09
0.5,1.11127E-09
0.51,1.1165E-09
0.52,1.12196E-09
0.53,1.12708E-09
0.54,1.13144E-09
0.55,1.1368E-09
0.56,1.14183E-09
0.57,1.14651E-09
0.58,1.1521E-09
0.59,1.15621E-09
0.6,1.16111E-09
0.61,1.16564E-09
0.62,1.17019E-09
0.63,1.17448E-09
0.64,1.17855E-09
0.65,1.18349E-09
0.66,1.1871E-09
0.67,1.19205E-09
0.68,1.19609E-09
0.69,1.1996E-09
0.7,1.20429E-09
0.71,1.20814E-09
0.72,1.21251E-09
0.73,1.21654E-09
0.74,1.21988E-09
0.75,1.22419E-09
0.76,1.22747E-09
0.77,1.23118E-09
0.78,1.23526E-09
0.79,1.23919E-09
0.8,1.2426E-09
0.81,1.24653E-09
0.82,1.25E-09
0.83,1.25286E-09
0.84,1.25697E-09
0.85,1.26051E-09
0.86,1.26342E-09
0.87,1.26741E-09
0.88,1.27066E-09
0.89,1.27419E-09
0.9,1.27689E-09
0.91,1.28032E-09
0.92,1.28368E-09
0.93,1.28702E-09
0.94,1.29069E-09
0.95,1.29373E-09
0.96,1.2968E-09
0.97,1.30031E-09
0.98,1.3033E-09
0.99,1.30568E-09
1,1.30926E-09
