V1,I1
0,3.4E-13
0.01,1.5579E-10
0.02,3.4892E-10
0.03,5.9327E-10
0.04,8.9805E-10
0.05,1.28538E-09
0.06,1.77485E-09
0.07,2.39014E-09
0.08,3.17522E-09
0.09,4.16427E-09
0.1,5.43162E-09
0.11,7.04605E-09
0.12,9.08543E-09
0.13,1.17097E-08
0.14,1.50267E-08
0.15,1.92968E-08
0.16,2.47474E-08
0.17,3.16772E-08
0.18,4.06155E-08
0.19,5.19819E-08
0.2,6.66627E-08
0.21,8.55386E-08
0.22,1.096208E-07
0.23,1.40888E-07
0.24,1.80883E-07
0.25,2.33011E-07
0.26,3.00633E-07
0.27,3.87841E-07
0.28,5.02237E-07
0.29,6.50473E-07
0.3,8.4587E-07
0.31,1.102089E-06
0.32,1.43712E-06
0.33,1.87971E-06
0.34,2.46267E-06
0.35,3.22378E-06
0.36,4.23225E-06
0.37,5.55808E-06
0.38,7.29519E-06
0.39,9.5412E-06
0.4,1.24789E-05
0.41,1.62703E-05
0.42,2.10893E-05
0.43,2.72543E-05
0.44,3.50281E-05
0.45,4.47368E-05
0.46,5.66492E-05
0.47,7.12973E-05
0.48,8.91056E-05
0.49,0.0001103405
0.5,0.000135915
0.51,0.000165998
0.52,0.000201282
0.53,0.000241937
0.54,0.000289109
0.55,0.000343045
0.56,0.000403766
0.57,0.000472486
0.58,0.000549165
0.59,0.000634053
0.6,0.000726486
0.61,0.000827914
0.62,0.000937489
0.63,0.001054193
0.64,0.00117991
0.65,0.00131239
0.66,0.00145314
0.67,0.00160089
0.68,0.00175413
0.69,0.00191403
0.7,0.00208046
0.71,0.00225151
0.72,0.00242861
0.73,0.00260934
0.74,0.00279664
0.75,0.00298754
0.76,0.00318092
0.77,0.00337862
0.78,0.0035794
0.79,0.00378439
0.8,0.00399215
0.81,0.00420287
0.82,0.00442088
0.83,0.00463471
0.84,0.00485203
0.85,0.00507239
0.86,0.00529338
0.87,0.00551857
0.88,0.00574642
0.89,0.00597134
0.9,0.00620444
0.91,0.00643767
0.92,0.00667304
0.93,0.00691175
0.94,0.00714573
0.95,0.00738376
0.96,0.00762756
0.97,0.00787255
0.98,0.00811826
0.99,0.00837097
1,0.00862614
