Setup title,"I/V Sweep_0_-2_Dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:37:03
Device ID,
Count,12
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,2.34E-09
-0.01,-5.23265E-07
-0.02,-1.050354E-06
-0.03,-1.59028E-06
-0.04,-2.13184E-06
-0.05,-2.68449E-06
-0.06,-3.28109E-06
-0.07,-3.86854E-06
-0.08,-4.51653E-06
-0.09,-5.10146E-06
-0.1,-5.74402E-06
-0.11,-6.43935E-06
-0.12,-7.14394E-06
-0.13,-7.83578E-06
-0.14,-8.57871E-06
-0.15,-9.3519E-06
-0.16,-1.010902E-05
-0.17,-1.093082E-05
-0.18,-1.18018E-05
-0.19,-1.26533E-05
-0.2,-1.35946E-05
-0.21,-1.44883E-05
-0.22,-1.54308E-05
-0.23,-1.6416E-05
-0.24,-1.74826E-05
-0.25,-1.84238E-05
-0.26,-1.94774E-05
-0.27,-2.05168E-05
-0.28,-2.16559E-05
-0.29,-2.28003E-05
-0.3,-2.38369E-05
-0.31,-2.49491E-05
-0.32,-2.60087E-05
-0.33,-2.71997E-05
-0.34,-2.84927E-05
-0.35,-2.98022E-05
-0.36,-3.09396E-05
-0.37,-3.22866E-05
-0.38,-3.35936E-05
-0.39,-3.49761E-05
-0.4,-3.6387E-05
-0.41,-3.78893E-05
-0.42,-3.91829E-05
-0.43,-4.06825E-05
-0.44,-4.21364E-05
-0.45,-4.35608E-05
-0.46,-4.50164E-05
-0.47,-4.67565E-05
-0.48,-4.8186E-05
-0.49,-4.97939E-05
-0.5,-5.15728E-05
-0.51,-5.32249E-05
-0.52,-5.48403E-05
-0.53,-5.64557E-05
-0.54,-5.86382E-05
-0.55,-6.01873E-05
-0.56,-6.20432E-05
-0.57,-6.37846E-05
-0.58,-6.46166E-05
-0.59,-6.74575E-05
-0.6,-6.94282E-05
-0.61,-7.15135E-05
-0.62,-7.36256E-05
-0.63,-7.56157E-05
-0.64,-7.79654E-05
-0.65,-7.96181E-05
-0.66,-8.19108E-05
-0.67,-8.34027E-05
-0.68,-8.5886E-05
-0.69,-8.72115E-05
-0.7,-8.90859E-05
-0.71,-9.06177E-05
-0.72,-9.33261E-05
-0.73,-9.55787E-05
-0.74,-9.80053E-05
-0.75,-0.000100672
-0.76,-0.0001025496
-0.77,-0.000104979
-0.78,-0.0001069323
-0.79,-0.0001106824
-0.8,-0.000113422
-0.81,-0.000115298
-0.82,-0.000117866
-0.83,-0.000120701
-0.84,-0.000122724
-0.85,-0.000126306
-0.86,-0.000128823
-0.87,-0.00013042
-0.88,-0.000134215
-0.89,-0.000136475
-0.9,-0.000141494
-0.91,-0.000144461
-0.92,-0.000144923
-0.93,-0.000146206
-0.94,-0.000150059
-0.95,-0.000153615
-0.96,-0.000156741
-0.97,-0.000159214
-0.98,-0.000160212
-0.99,-0.000160922
-1,-0.000157447
-1.01,-0.00015932
-1.02,-0.000161193
-1.03,-0.000160314
-1.04,-0.000161519
-1.05,-0.000163963
-1.06,-0.000166725
-1.07,-0.00016906
-1.08,-0.000179954
-1.09,-0.000181422
-1.1,-0.000188754
-1.11,-0.000192073
-1.12,-0.000185289
-1.13,-0.000193709
-1.14,-0.000199127
-1.15,-0.000196174
-1.16,-0.00018909
-1.17,-0.000196913
-1.18,-0.000200041
-1.19,-0.00020004
-1.2,-0.00020004
-1.21,-0.00020004
-1.22,-0.00020004
-1.23,-0.00020004
-1.24,-0.000200041
-1.25,-0.000200041
-1.26,-0.00020004
-1.27,-0.00020004
-1.28,-0.00020004
-1.29,-0.00020004
-1.3,-0.00020004
-1.31,-0.00020004
-1.32,-0.000200039
-1.33,-0.00020004
-1.34,-0.00020004
-1.35,-0.00020004
-1.36,-0.000200039
-1.37,-0.00020004
-1.38,-0.00020004
-1.39,-0.000200039
-1.4,-0.000200039
-1.41,-0.00020004
-1.42,-0.00020004
-1.43,-0.00020004
-1.44,-0.000200041
-1.45,-0.00020004
-1.46,-0.000200039
-1.47,-0.00020004
-1.48,-0.000200039
-1.49,-0.000200039
-1.5,-0.000200039
-1.51,-0.00020004
-1.52,-0.00020004
-1.53,-0.00020004
-1.54,-0.00020004
-1.55,-0.00020004
-1.56,-0.00020004
-1.57,-0.00020004
-1.58,-0.00020004
-1.59,-0.00020004
-1.6,-0.00020004
-1.61,-0.00020004
-1.62,-0.00020004
-1.63,-0.00020004
-1.64,-0.00020004
-1.65,-0.000200039
-1.66,-0.000200039
-1.67,-0.00020004
-1.68,-0.000200039
-1.69,-0.00020004
-1.7,-0.00020004
-1.71,-0.000200039
-1.72,-0.000200039
-1.73,-0.00020004
-1.74,-0.000200039
-1.75,-0.00020004
-1.76,-0.00020004
-1.77,-0.00020004
-1.78,-0.00020004
-1.79,-0.00020004
-1.8,-0.00020004
-1.81,-0.000200041
-1.82,-0.00020004
-1.83,-0.000200039
-1.84,-0.00020004
-1.85,-0.000200041
-1.86,-0.00020004
-1.87,-0.00020004
-1.88,-0.000200041
-1.89,-0.00020004
-1.9,-0.00020004
-1.91,-0.00020004
-1.92,-0.000200039
-1.93,-0.000200041
-1.94,-0.00020004
-1.95,-0.000200041
-1.96,-0.000200041
-1.97,-0.00020004
-1.98,-0.00020004
-1.99,-0.00020004
-2,-0.00020004
-2,-0.00020004
-1.99,-0.00020004
-1.98,-0.00020004
-1.97,-0.00020004
-1.96,-0.000200039
-1.95,-0.00020004
-1.94,-0.00020004
-1.93,-0.00020004
-1.92,-0.00020004
-1.91,-0.000200041
-1.9,-0.00020004
-1.89,-0.000200041
-1.88,-0.00020004
-1.87,-0.00020004
-1.86,-0.00020004
-1.85,-0.00020004
-1.84,-0.00020004
-1.83,-0.000200041
-1.82,-0.00020004
-1.81,-0.000200041
-1.8,-0.00020004
-1.79,-0.00020004
-1.78,-0.00020004
-1.77,-0.00020004
-1.76,-0.00020004
-1.75,-0.00020004
-1.74,-0.00020004
-1.73,-0.00020004
-1.72,-0.000200041
-1.71,-0.00020004
-1.7,-0.00020004
-1.69,-0.00020004
-1.68,-0.000200039
-1.67,-0.00020004
-1.66,-0.00020004
-1.65,-0.00020004
-1.64,-0.00020004
-1.63,-0.000200041
-1.62,-0.00020004
-1.61,-0.00020004
-1.6,-0.000200041
-1.59,-0.000200042
-1.58,-0.00020004
-1.57,-0.00020004
-1.56,-0.000200041
-1.55,-0.000200041
-1.54,-0.000200041
-1.53,-0.000200041
-1.52,-0.00020004
-1.51,-0.000200041
-1.5,-0.00020004
-1.49,-0.000200041
-1.48,-0.00020004
-1.47,-0.00020004
-1.46,-0.00020004
-1.45,-0.00020004
-1.44,-0.00020004
-1.43,-0.000200041
-1.42,-0.00020004
-1.41,-0.000200041
-1.4,-0.00020004
-1.39,-0.00020004
-1.38,-0.000200041
-1.37,-0.00020004
-1.36,-0.00020004
-1.35,-0.00020004
-1.34,-0.00020004
-1.33,-0.000200041
-1.32,-0.000200041
-1.31,-0.00020004
-1.3,-0.000200041
-1.29,-0.000200041
-1.28,-0.000200041
-1.27,-0.000200041
-1.26,-0.00020004
-1.25,-0.00020004
-1.24,-0.000200041
-1.23,-0.00020004
-1.22,-0.00020004
-1.21,-0.000200041
-1.2,-0.00020004
-1.19,-0.000200041
-1.18,-0.000200041
-1.17,-0.000200042
-1.16,-0.000200041
-1.15,-0.000200041
-1.14,-0.000200041
-1.13,-0.000200041
-1.12,-0.000200041
-1.11,-0.000200041
-1.1,-0.00020004
-1.09,-0.000200041
-1.08,-0.000199568
-1.07,-0.000196235
-1.06,-0.000199029
-1.05,-0.000199594
-1.04,-0.000199906
-1.03,-0.000200039
-1.02,-0.000199394
-1.01,-0.000196637
-1,-0.000193005
-0.99,-0.000188113
-0.98,-0.000186509
-0.97,-0.000182537
-0.96,-0.000180778
-0.95,-0.000175955
-0.94,-0.000173275
-0.93,-0.000169581
-0.92,-0.000163583
-0.91,-0.000159846
-0.9,-0.000156676
