Setup title,"I/V Sweep_0_-2_Dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:13:30
Device ID,
Count,4
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,5.7345E-09
-0.01,-1.003691E-06
-0.02,-2.01454E-06
-0.03,-3.07201E-06
-0.04,-4.11825E-06
-0.05,-5.22449E-06
-0.06,-6.39301E-06
-0.07,-7.56246E-06
-0.08,-8.69443E-06
-0.09,-1.003431E-05
-0.1,-1.128446E-05
-0.11,-1.25519E-05
-0.12,-1.4033E-05
-0.13,-1.56323E-05
-0.14,-1.71139E-05
-0.15,-1.86083E-05
-0.16,-2.01515E-05
-0.17,-2.15676E-05
-0.18,-2.33865E-05
-0.19,-2.5465E-05
-0.2,-2.73916E-05
-0.21,-2.9538E-05
-0.22,-3.1705E-05
-0.23,-3.36743E-05
-0.24,-3.58431E-05
-0.25,-3.81857E-05
-0.26,-4.05827E-05
-0.27,-4.26572E-05
-0.28,-4.53797E-05
-0.29,-4.78389E-05
-0.3,-5.01862E-05
-0.31,-5.2728E-05
-0.32,-5.5687E-05
-0.33,-5.89195E-05
-0.34,-6.14132E-05
-0.35,-6.45514E-05
-0.36,-6.77775E-05
-0.37,-7.07122E-05
-0.38,-7.39242E-05
-0.39,-7.75356E-05
-0.4,-8.10939E-05
-0.41,-8.38731E-05
-0.42,-8.76239E-05
-0.43,-9.13635E-05
-0.44,-9.55807E-05
-0.45,-9.92329E-05
-0.46,-0.0001028369
-0.47,-0.0001066136
-0.48,-0.000110748
-0.49,-0.000114179
-0.5,-0.000118774
-0.51,-0.000123081
-0.52,-0.00012725
-0.53,-0.000132558
-0.54,-0.000137421
-0.55,-0.000142536
-0.56,-0.000146636
-0.57,-0.000152247
-0.58,-0.000157144
-0.59,-0.000161122
-0.6,-0.000166275
-0.61,-0.000170673
-0.62,-0.00017517
-0.63,-0.000179695
-0.64,-0.000184781
-0.65,-0.000189139
-0.66,-0.00019455
-0.67,-0.000200844
-0.68,-0.000205435
-0.69,-0.000209629
-0.7,-0.000213151
-0.71,-0.000219108
-0.72,-0.000225014
-0.73,-0.000232635
-0.74,-0.000240459
-0.75,-0.000245292
-0.76,-0.000251384
-0.77,-0.000258166
-0.78,-0.000265215
-0.79,-0.000272567
-0.8,-0.000279365
-0.81,-0.000284678
-0.82,-0.000291411
-0.83,-0.000297634
-0.84,-0.000305999
-0.85,-0.000310699
-0.86,-0.000318779
-0.87,-0.000326803
-0.88,-0.000332431
-0.89,-0.000339548
-0.9,-0.00034666
-0.91,-0.000352362
-0.92,-0.000359308
-0.93,-0.000365897
-0.94,-0.000375137
-0.95,-0.000380514
-0.96,-0.000387422
-0.97,-0.000398509
-0.98,-0.00041047
-0.99,-0.000415149
-1,-0.000430308
-1.01,-0.000436457
-1.02,-0.000443953
-1.03,-0.000452903
-1.04,-0.000466888
-1.05,-0.000475512
-1.06,-0.000494097
-1.07,-0.000500065
-1.08,-0.000500065
-1.09,-0.000500065
-1.1,-0.000500065
-1.11,-0.000500065
-1.12,-0.000500065
-1.13,-0.000500065
-1.14,-0.000500066
-1.15,-0.000500064
-1.16,-0.000500065
-1.17,-0.000500065
-1.18,-0.000500064
-1.19,-0.000500065
-1.2,-0.000500066
-1.21,-0.000500065
-1.22,-0.000500065
-1.23,-0.000500065
-1.24,-0.000500065
-1.25,-0.000500065
-1.26,-0.000500065
-1.27,-0.000500065
-1.28,-0.000500065
-1.29,-0.000500065
-1.3,-0.000500064
-1.31,-0.000500065
-1.32,-0.000500065
-1.33,-0.000500065
-1.34,-0.000500064
-1.35,-0.000500065
-1.36,-0.000500064
-1.37,-0.000500064
-1.38,-0.000500064
-1.39,-0.000500064
-1.4,-0.000500064
-1.41,-0.000500065
-1.42,-0.000500064
-1.43,-0.000500064
-1.44,-0.000500064
-1.45,-0.000500064
-1.46,-0.000500063
-1.47,-0.000500063
-1.48,-0.000500064
-1.49,-0.000500064
-1.5,-0.000500064
-1.51,-0.000500064
-1.52,-0.000500064
-1.53,-0.000500064
-1.54,-0.000500064
-1.55,-0.000500063
-1.56,-0.000500064
-1.57,-0.000500064
-1.58,-0.000500064
-1.59,-0.000500064
-1.6,-0.000500064
-1.61,-0.000500064
-1.62,-0.000500064
-1.63,-0.000500064
-1.64,-0.000500064
-1.65,-0.000500064
-1.66,-0.000500065
-1.67,-0.000500064
-1.68,-0.000500064
-1.69,-0.000500064
-1.7,-0.000500065
-1.71,-0.000500064
-1.72,-0.000500064
-1.73,-0.000500064
-1.74,-0.000500064
-1.75,-0.000500065
-1.76,-0.000500064
-1.77,-0.000500065
-1.78,-0.000500066
-1.79,-0.000500064
-1.8,-0.000500064
-1.81,-0.000500065
-1.82,-0.000500065
-1.83,-0.000500065
-1.84,-0.000500065
-1.85,-0.000500066
-1.86,-0.000500065
-1.87,-0.000500065
-1.88,-0.000500065
-1.89,-0.000500064
-1.9,-0.000500064
-1.91,-0.000500064
-1.92,-0.000500063
-1.93,-0.000500064
-1.94,-0.000500063
-1.95,-0.000500064
-1.96,-0.000500065
-1.97,-0.000500064
-1.98,-0.000500064
-1.99,-0.000500064
-2,-0.000500064
-2,-0.000500065
-1.99,-0.000500064
-1.98,-0.000500064
-1.97,-0.000500063
-1.96,-0.000500064
-1.95,-0.000500064
-1.94,-0.000500064
-1.93,-0.000500063
-1.92,-0.000500064
-1.91,-0.000500064
-1.9,-0.000500064
-1.89,-0.000500065
-1.88,-0.000500064
-1.87,-0.000500065
-1.86,-0.000500065
-1.85,-0.000500064
-1.84,-0.000500065
-1.83,-0.000500064
-1.82,-0.000500064
-1.81,-0.000500064
-1.8,-0.000500064
-1.79,-0.000500063
-1.78,-0.000500064
-1.77,-0.000500064
-1.76,-0.000500064
-1.75,-0.000500064
-1.74,-0.000500064
-1.73,-0.000500064
-1.72,-0.000500064
-1.71,-0.000500064
-1.7,-0.000500065
-1.69,-0.000500065
-1.68,-0.000500065
-1.67,-0.000500065
-1.66,-0.000500064
-1.65,-0.000500065
-1.64,-0.000500065
-1.63,-0.000500063
-1.62,-0.000500064
-1.61,-0.000500064
-1.6,-0.000500064
-1.59,-0.000500064
-1.58,-0.000500065
-1.57,-0.000500065
-1.56,-0.000500064
-1.55,-0.000500064
-1.54,-0.000500065
-1.53,-0.000500064
-1.52,-0.000500064
-1.51,-0.000500064
-1.5,-0.000500063
-1.49,-0.000500065
-1.48,-0.000500065
-1.47,-0.000500063
-1.46,-0.000500064
-1.45,-0.000500064
-1.44,-0.000500064
-1.43,-0.000500063
-1.42,-0.000500064
-1.41,-0.000500064
-1.4,-0.000500064
-1.39,-0.000500064
-1.38,-0.000500064
-1.37,-0.000500065
-1.36,-0.000500066
-1.35,-0.000500064
-1.34,-0.000500064
-1.33,-0.000500064
-1.32,-0.000500065
-1.31,-0.000500064
-1.3,-0.000500064
-1.29,-0.000500064
-1.28,-0.000500064
-1.27,-0.000500064
-1.26,-0.000500065
-1.25,-0.000500065
-1.24,-0.000500065
-1.23,-0.000500065
-1.22,-0.000500065
-1.21,-0.000500065
-1.2,-0.000500065
-1.19,-0.000500064
-1.18,-0.000500064
-1.17,-0.000500065
-1.16,-0.000500064
-1.15,-0.000500065
-1.14,-0.000500064
-1.13,-0.000500065
-1.12,-0.000500065
-1.11,-0.000500064
-1.1,-0.000500065
-1.09,-0.000500065
-1.08,-0.000500064
-1.07,-0.000500064
-1.06,-0.000500064
-1.05,-0.000500064
-1.04,-0.000500065
-1.03,-0.000500064
-1.02,-0.000499344
-1.01,-0.000491155
-1,-0.000482346
-0.99,-0.000473863
-0.98,-0.000466405
-0.97,-0.000458102
-0.96,-0.000449272
-0.95,-0.000439992
-0.94,-0.000433229
-0.93,-0.000425299
-0.92,-0.00041781
-0.91,-0.000411103
-0.9,-0.000403964
-0.89,-0.000394565
-0.88,-0.000385953
-0.87,-0.000378447
-0.86,-0.000369658
-0.85,-0.000362409
