Setup title,"I/V Sweep_0_2_Dark[4]"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:35:18
Device ID,
Count,11
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.5298E-09
0.01,4.9742E-07
0.02,1.002899E-06
0.03,1.49362E-06
0.04,2.00898E-06
0.05,2.51633E-06
0.06,3.03346E-06
0.07,3.56754E-06
0.08,4.08933E-06
0.09,4.6584E-06
0.1,5.28786E-06
0.11,5.90348E-06
0.12,6.51939E-06
0.13,7.16367E-06
0.14,7.8075E-06
0.15,8.47593E-06
0.16,9.12986E-06
0.17,9.86497E-06
0.18,1.055644E-05
0.19,1.12774E-05
0.2,1.20793E-05
0.21,1.28248E-05
0.22,1.36114E-05
0.23,1.45007E-05
0.24,1.53547E-05
0.25,1.62144E-05
0.26,1.70773E-05
0.27,1.79469E-05
0.28,1.88436E-05
0.29,1.9839E-05
0.3,2.07675E-05
0.31,2.16037E-05
0.32,2.26197E-05
0.33,2.35987E-05
0.34,2.45718E-05
0.35,2.56153E-05
0.36,2.67446E-05
0.37,2.77481E-05
0.38,2.88931E-05
0.39,3.00843E-05
0.4,3.1254E-05
0.41,3.23775E-05
0.42,3.35181E-05
0.43,3.46007E-05
0.44,3.57905E-05
0.45,3.71233E-05
0.46,3.8285E-05
0.47,3.96598E-05
0.48,4.08386E-05
0.49,4.20946E-05
0.5,4.32641E-05
0.51,4.47053E-05
0.52,4.62082E-05
0.53,4.75803E-05
0.54,4.9055E-05
0.55,5.05808E-05
0.56,5.18704E-05
0.57,5.3333E-05
0.58,5.48014E-05
0.59,5.60948E-05
0.6,5.76951E-05
0.61,5.94985E-05
0.62,6.11534E-05
0.63,6.25281E-05
0.64,6.38253E-05
0.65,6.56075E-05
0.66,6.7291E-05
0.67,6.90089E-05
0.68,7.06764E-05
0.69,7.19297E-05
0.7,7.34626E-05
0.71,7.49061E-05
0.72,7.67076E-05
0.73,7.76968E-05
0.74,7.93192E-05
0.75,8.16888E-05
0.76,8.29498E-05
0.77,8.49814E-05
0.78,8.59437E-05
0.79,8.85997E-05
0.8,9.05086E-05
0.81,9.24621E-05
0.82,9.45082E-05
0.83,9.65508E-05
0.84,9.7721E-05
0.85,9.97527E-05
0.86,0.0001016314
0.87,0.0001034836
0.88,0.0001058581
0.89,0.0001076548
0.9,0.0001095562
0.91,0.0001116821
0.92,0.000115448
0.93,0.000118303
0.94,0.000119151
0.95,0.000119291
0.96,0.000121747
0.97,0.000124738
0.98,0.000127346
0.99,0.000130518
1,0.000133191
1.01,0.000136197
1.02,0.000135106
1.03,0.000139555
1.04,0.000141112
1.05,0.000138363
1.06,0.000138612
1.07,0.000140333
1.08,0.000138562
1.09,0.000138178
1.1,0.000142797
1.11,0.000142979
1.12,0.000139748
1.13,0.000143372
1.14,0.000150057
1.15,0.000153112
1.16,0.000156126
1.17,0.000148622
1.18,0.000144583
1.19,0.000143369
1.2,0.000145738
1.21,0.000138744
1.22,0.000130726
1.23,0.000127376
1.24,0.000131502
1.25,0.000132094
1.26,0.000141964
1.27,0.000160024
1.28,0.000171476
1.29,0.00016518
1.3,0.000179276
1.31,0.000187066
1.32,0.000192816
1.33,0.000185694
1.34,0.000197362
1.35,0.000199131
1.36,0.000199992
1.37,0.000199992
1.38,0.000199992
1.39,0.000199991
1.4,0.000199992
1.41,0.000199991
1.42,0.000199991
1.43,0.000199992
1.44,0.000199991
1.45,0.000199991
1.46,0.000199992
1.47,0.000199992
1.48,0.000199991
1.49,0.000199991
1.5,0.000199991
1.51,0.000199991
1.52,0.000199991
1.53,0.000199992
1.54,0.000199992
1.55,0.000199992
1.56,0.000199992
1.57,0.000199992
1.58,0.000199992
1.59,0.000199992
1.6,0.000199993
1.61,0.000199992
1.62,0.000199992
1.63,0.000199992
1.64,0.000199992
1.65,0.000199992
1.66,0.000199992
1.67,0.000199992
1.68,0.000199991
1.69,0.000199992
1.7,0.000199992
1.71,0.000199992
1.72,0.000199992
1.73,0.000199992
1.74,0.000199992
1.75,0.000199992
1.76,0.000199993
1.77,0.000199993
1.78,0.000199992
1.79,0.000199993
1.8,0.000199992
1.81,0.000199992
1.82,0.000199993
1.83,0.000199992
1.84,0.000199993
1.85,0.000199992
1.86,0.000199992
1.87,0.000199992
1.88,0.000199992
1.89,0.000199992
1.9,0.000199992
1.91,0.000199992
1.92,0.000199992
1.93,0.000199993
1.94,0.000199992
1.95,0.000199993
1.96,0.000199992
1.97,0.000199992
1.98,0.000199992
1.99,0.000199992
2,0.000199992
2,0.000199992
1.99,0.000199992
1.98,0.000199992
1.97,0.000199993
1.96,0.000199992
1.95,0.000199992
1.94,0.000199992
1.93,0.000199992
1.92,0.000199992
1.91,0.000199992
1.9,0.000199992
1.89,0.000199992
1.88,0.000199992
1.87,0.000199992
1.86,0.000199992
1.85,0.000199991
1.84,0.000199992
1.83,0.000199992
1.82,0.000199991
1.81,0.000199991
1.8,0.000199992
1.79,0.000199991
1.78,0.000199991
1.77,0.000199991
1.76,0.000199992
1.75,0.000199992
1.74,0.000199991
1.73,0.000199991
1.72,0.000199991
1.71,0.000199991
1.7,0.000199991
1.69,0.000199991
1.68,0.000199992
1.67,0.000199991
1.66,0.000199992
1.65,0.000199991
1.64,0.000199992
1.63,0.000199991
1.62,0.000199991
1.61,0.000199992
1.6,0.000199992
1.59,0.000199991
1.58,0.000199991
1.57,0.000199992
1.56,0.00019999
1.55,0.000199991
1.54,0.000199991
1.53,0.000199991
1.52,0.000199991
1.51,0.000199992
1.5,0.000199992
1.49,0.000199992
1.48,0.000199992
1.47,0.000199992
1.46,0.000199992
1.45,0.000199992
1.44,0.000199992
1.43,0.000199992
1.42,0.000199992
1.41,0.000199992
1.4,0.000199992
1.39,0.000199992
1.38,0.000199991
1.37,0.000199992
1.36,0.000199992
1.35,0.000199991
1.34,0.000199991
1.33,0.000199992
1.32,0.000199992
1.31,0.000199991
1.3,0.000199991
1.29,0.000199991
1.28,0.000199991
1.27,0.000199991
1.26,0.000199992
1.25,0.000199983
1.24,0.000199741
1.23,0.000197029
1.22,0.000194483
1.21,0.000190142
1.2,0.000186778
1.19,0.000181814
1.18,0.000178802
1.17,0.000177644
1.16,0.000176609
1.15,0.00017388
1.14,0.000170945
1.13,0.000168822
1.12,0.000165211
1.11,0.000162936
1.1,0.0001594
1.09,0.00015656
1.08,0.000153761
1.07,0.000150522
1.06,0.000148937
1.05,0.000145946
1.04,0.000142727
1.03,0.000142025
1.02,0.000138794
1.01,0.000135947
1,0.000133909
0.99,0.000132031
0.98,0.000129778
0.97,0.000126275
0.96,0.000124097
0.95,0.000121616
0.94,0.000119443
0.93,0.000116497
0.92,0.000114222
0.91,0.000112654
0.9,0.000110446
0.89,0.000108149
0.88,0.000105909
0.87,0.000103704
0.86,0.000101687
0.85,9.94359E-05
0.84,9.76633E-05
0.83,9.56621E-05
0.82,9.36681E-05
0.81,9.17889E-05
0.8,8.98556E-05
0.79,8.82942E-05
0.78,8.64007E-05
0.77,8.46961E-05
0.76,8.27661E-05
0.75,8.11431E-05
0.74,7.89764E-05
0.73,7.73339E-05
0.72,7.59296E-05
0.71,7.42037E-05
0.7,7.2635E-05
0.69,7.09011E-05
0.68,6.92425E-05
0.67,6.7302E-05
0.66,6.57182E-05
0.65,6.39194E-05
0.64,6.2212E-05
0.63,6.0581E-05
0.62,5.91881E-05
0.61,5.78024E-05
0.6,5.64379E-05
0.59,5.48608E-05
0.58,5.33757E-05
0.57,5.1976E-05
0.56,5.05746E-05
0.55,4.92238E-05
0.54,4.78991E-05
0.53,4.65011E-05
0.52,4.5323E-05
0.51,4.39067E-05
0.5,4.26825E-05
0.49,4.13159E-05
0.48,4.01114E-05
0.47,3.88263E-05
0.46,3.75387E-05
0.45,3.63273E-05
0.44,3.52203E-05
0.43,3.39629E-05
0.42,3.27871E-05
0.41,3.16721E-05
0.4,3.05566E-05
0.39,2.9535E-05
