Setup title,"I/V Sweep_0_2_Dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:11:15
Device ID,
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-3.8E-13
0.01,2.92E-12
0.02,5.56E-12
0.03,8.84E-12
0.04,1.242E-11
0.05,1.46E-11
0.06,1.707E-11
0.07,2.092E-11
0.08,2.516E-11
0.09,2.592E-11
0.1,3.126E-11
0.11,3.551E-11
0.12,3.993E-11
0.13,4.082E-11
0.14,4.263E-11
0.15,4.559E-11
0.16,5.046E-11
0.17,5.555E-11
0.18,5.503E-11
0.19,6.004E-11
0.2,6.032E-11
0.21,6.407E-11
0.22,4.378E-11
0.23,3.093E-11
0.24,4.1E-11
0.25,3.71E-11
0.26,3.493E-11
0.27,3.57E-11
0.28,3.753E-11
0.29,3.966E-11
0.3,4.2E-11
0.31,6.602E-11
0.32,4.756E-11
0.33,8.197E-11
0.34,6.478E-11
0.35,8.49E-11
0.36,1.0418E-10
0.37,1.0953E-10
0.38,1.1169E-10
0.39,1.1968E-10
0.4,1.127E-10
0.41,9.329E-11
0.42,7.747E-11
0.43,7.646E-11
0.44,7.751E-11
0.45,1.1655E-10
0.46,1.6913E-10
0.47,1.8862E-10
0.48,1.9791E-10
0.49,2.2242E-10
0.5,2.2977E-10
0.51,1.9454E-10
0.52,1.6213E-10
0.53,1.5182E-10
0.54,2.1938E-10
0.55,2.1628E-10
0.56,2.3286E-10
0.57,2.7896E-10
0.58,2.1065E-10
0.59,2.0987E-10
0.6,1.7058E-10
0.61,2.1216E-10
0.62,3.4799E-10
0.63,4.181E-10
0.64,3.5608E-10
0.65,3.9474E-10
0.66,4.1184E-10
0.67,4.3591E-10
0.68,4.6241E-10
0.69,3.7212E-10
0.7,5.3368E-10
0.71,5.5326E-10
0.72,5.25E-10
0.73,4.9385E-10
0.74,5.3229E-10
0.75,5.8081E-10
0.76,7.718E-10
0.77,6.1808E-10
0.78,6.6619E-10
0.79,8.0241E-10
0.8,1.02511E-09
0.81,1.01391E-09
0.82,1.34502E-09
0.83,1.06272E-09
0.84,1.34114E-09
0.85,1.17116E-09
0.86,1.44576E-09
0.87,1.63305E-09
0.88,1.53023E-09
0.89,1.68275E-09
0.9,1.8005E-09
0.91,1.83714E-09
0.92,2.03206E-09
0.93,2.60147E-09
0.94,2.70307E-09
0.95,2.54831E-09
0.96,2.50059E-09
0.97,2.68442E-09
0.98,2.713E-09
0.99,5.06209E-09
1,6.5225E-09
1.01,6.8166E-09
1.02,7.6666E-09
1.03,6.979E-09
1.04,4.6872E-09
1.05,4.05591E-09
1.06,8.10081E-09
1.07,8.4045E-09
1.08,8.0233E-09
1.09,8.5221E-09
1.1,8.7656E-09
1.11,9.4431E-09
1.12,1.11662E-08
1.13,1.29742E-08
1.14,1.16152E-08
1.15,9.3797E-09
1.16,9.6113E-09
1.17,1.05289E-08
1.18,1.19793E-08
1.19,1.0363E-08
1.2,4.54436E-09
1.21,4.40128E-09
1.22,4.46188E-09
1.23,4.89157E-09
1.24,5.37586E-09
1.25,4.90774E-09
1.26,5.37339E-09
1.27,6.11659E-09
1.28,5.84265E-09
1.29,6.70322E-09
1.3,7.17562E-09
1.31,7.27519E-09
1.32,6.98859E-09
1.33,4.51548E-09
1.34,4.09716E-09
1.35,4.15525E-09
1.36,4.34815E-09
1.37,4.29312E-09
1.38,4.451E-09
1.39,4.51977E-09
1.4,4.68703E-09
1.41,4.74792E-09
1.42,4.7289E-09
1.43,4.33424E-09
1.44,4.79928E-09
1.45,5.05664E-09
1.46,5.69862E-09
1.47,7.74339E-09
1.48,4.98489E-09
1.49,4.84115E-09
1.5,4.98578E-09
1.51,5.399E-09
1.52,6.16357E-09
1.53,7.20411E-09
1.54,6.93223E-09
1.55,6.35532E-09
1.56,5.7221E-09
1.57,6.406E-09
1.58,6.38492E-09
1.59,6.14837E-09
1.6,6.93245E-09
1.61,7.29853E-09
1.62,1.17501E-08
1.63,9.4132E-09
1.64,1.06582E-08
1.65,1.30409E-08
1.66,1.18571E-08
1.67,1.31695E-08
1.68,1.55459E-08
1.69,1.59862E-08
1.7,2.00626E-08
1.71,2.01477E-08
1.72,1.67512E-08
1.73,1.86707E-08
1.74,2.86875E-08
1.75,7.0677E-08
1.76,7.3731E-08
1.77,1.00896E-07
1.78,9.7494E-08
1.79,6.82587E-08
1.8,8.395E-08
1.81,1.23852E-07
1.82,1.87069E-07
1.83,2.31772E-07
1.84,2.37053E-07
1.85,2.47379E-07
1.86,1.96761E-07
1.87,1.7046E-07
1.88,1.69017E-07
1.89,1.38844E-07
1.9,1.63307E-07
1.91,1.77123E-07
1.92,2.03003E-07
1.93,1.72376E-07
1.94,0.000499996
1.95,0.000499995
1.96,0.000499995
1.97,0.000499994
1.98,0.000499994
1.99,0.000499994
2,0.000499994
2,0.000499993
1.99,0.000499994
1.98,0.000499995
1.97,0.000499995
1.96,0.000499995
1.95,0.000499994
1.94,0.000499994
1.93,0.000499994
1.92,0.000499994
1.91,0.000499994
1.9,0.000499994
1.89,0.000499994
1.88,0.000499994
1.87,0.000499994
1.86,0.000499994
1.85,0.000499994
1.84,0.000499993
1.83,0.000499994
1.82,0.000499994
1.81,0.000499994
1.8,0.000499994
1.79,0.000499994
1.78,0.000499993
1.77,0.000499995
1.76,0.000499994
1.75,0.000499994
1.74,0.000499994
1.73,0.000499994
1.72,0.000499994
1.71,0.000499993
1.7,0.000499993
1.69,0.000499994
1.68,0.000499994
1.67,0.000499994
1.66,0.000499994
1.65,0.000499994
1.64,0.000499994
1.63,0.000499994
1.62,0.000499994
1.61,0.000499993
1.6,0.000499994
1.59,0.000499993
1.58,0.000499993
1.57,0.000499993
1.56,0.000499993
1.55,0.000499993
1.54,0.000499994
1.53,0.000499993
1.52,0.000499994
1.51,0.000499993
1.5,0.000499993
1.49,0.000499993
1.48,0.000499993
1.47,0.000499994
1.46,0.000499993
1.45,0.000499993
1.44,0.000499994
1.43,0.000499994
1.42,0.000499993
1.41,0.000499993
1.4,0.000499994
1.39,0.000499994
1.38,0.000499994
1.37,0.000499994
1.36,0.000499993
1.35,0.000499993
1.34,0.000499994
1.33,0.000499994
1.32,0.000499994
1.31,0.000499993
1.3,0.000499993
1.29,0.000499994
1.28,0.000499994
1.27,0.000499994
1.26,0.000499993
1.25,0.000499993
1.24,0.000499992
1.23,0.000497246
1.22,0.000489663
1.21,0.000483686
1.2,0.000477342
1.19,0.000471575
1.18,0.000465335
1.17,0.000459209
1.16,0.000452183
1.15,0.000444585
1.14,0.000437959
1.13,0.000431687
1.12,0.000425225
1.11,0.000418286
1.1,0.000412837
1.09,0.000405739
1.08,0.000399294
1.07,0.000392942
1.06,0.000385937
1.05,0.00038118
1.04,0.000374249
1.03,0.000367658
1.02,0.000362412
1.01,0.000357611
1,0.000353829
0.99,0.000345993
0.98,0.000338507
0.97,0.000332438
0.96,0.000325865
0.95,0.000321023
0.94,0.000314616
0.93,0.000311338
0.92,0.000304879
0.91,0.000298687
0.9,0.000294489
0.89,0.000289366
0.88,0.000284393
0.87,0.000278435
0.86,0.000273664
0.85,0.000267453
0.84,0.000263423
0.83,0.000258574
0.82,0.000253504
0.81,0.000248145
0.8,0.000244306
0.79,0.000239738
0.78,0.000234927
0.77,0.000230401
0.76,0.000226363
0.75,0.000221285
0.74,0.000215461
0.73,0.000210781
0.72,0.000205574
0.71,0.000200826
0.7,0.000196388
0.69,0.000191967
0.68,0.000186718
0.67,0.000183368
0.66,0.000178884
0.65,0.000174644
0.64,0.000170566
0.63,0.000167087
0.62,0.000163109
0.61,0.000159421
0.6,0.000155802
0.59,0.000152159
0.58,0.00014809
0.57,0.000144016
0.56,0.000139657
0.55,0.000135945
0.54,0.000131625
0.53,0.000128074
0.52,0.000124358
0.51,0.000119978
0.5,0.00011605
0.49,0.000112367
0.48,0.000108883
0.47,0.000105936
0.46,0.000102684
