Setup title,"I/V Sweep_0_-2_light"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:43:55
Device ID,
Count,14
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-3.4397E-10
-0.01,-1.07026E-08
-0.02,-1.8766E-08
-0.03,-2.83372E-08
-0.04,-3.71719E-08
-0.05,-4.62768E-08
-0.06,-6.15059E-08
-0.07,-6.46523E-08
-0.08,-7.99191E-08
-0.09,-9.4369E-08
-0.1,-1.0162E-07
-0.11,-1.08645E-07
-0.12,-1.21855E-07
-0.13,-1.27864E-07
-0.14,-1.39838E-07
-0.15,-1.51729E-07
-0.16,-1.6604E-07
-0.17,-1.83525E-07
-0.18,-1.9057E-07
-0.19,-2.06215E-07
-0.2,-2.11107E-07
-0.21,-2.23498E-07
-0.22,-2.42555E-07
-0.23,-2.31133E-07
-0.24,-2.39548E-07
-0.25,-2.6472E-07
-0.26,-3.06067E-07
-0.27,-3.25884E-07
-0.28,-3.10486E-07
-0.29,-3.14264E-07
-0.3,-3.37535E-07
-0.31,-3.40351E-07
-0.32,-3.52119E-07
-0.33,-3.91934E-07
-0.34,-4.08675E-07
-0.35,-4.53073E-07
-0.36,-4.39836E-07
-0.37,-4.42992E-07
-0.38,-4.76208E-07
-0.39,-3.79539E-07
-0.4,-8.7657E-07
-0.41,-1.12154E-06
-0.42,-1.25911E-06
-0.43,-9.8618E-07
-0.44,-1.15995E-06
-0.45,-1.06803E-06
-0.46,-1.06297E-06
-0.47,-1.12409E-06
-0.48,-1.09281E-06
-0.49,-1.1167E-06
-0.5,-1.20343E-06
-0.51,-1.20183E-06
-0.52,-1.28922E-06
-0.53,-1.27133E-06
-0.54,-1.35939E-06
-0.55,-1.44984E-06
-0.56,-1.48245E-06
-0.57,-1.54383E-06
-0.58,-1.99966E-06
-0.59,-2.12234E-06
-0.6,-1.88776E-06
-0.61,-2.02312E-06
-0.62,-2.04321E-06
-0.63,-2.01781E-06
-0.64,-2.07665E-06
-0.65,-1.99824E-06
-0.66,-1.98726E-06
-0.67,-2.06399E-06
-0.68,-2.0295E-06
-0.69,-2.11059E-06
-0.7,-6.039E-06
-0.71,-4.45905E-06
-0.72,-4.13419E-06
-0.73,-9.5458E-05
-0.74,-0.000123377
-0.75,-0.000135465
-0.76,-0.000142257
-0.77,-0.000148848
-0.78,-0.000158111
-0.79,-0.000164169
-0.8,-0.000166798
-0.81,-0.000191325
-0.82,-0.00020004
-0.83,-0.000200041
-0.84,-0.000200041
-0.85,-0.00020004
-0.86,-0.000200041
-0.87,-0.00020004
-0.88,-0.000200041
-0.89,-0.00020004
-0.9,-0.00020004
-0.91,-0.000200041
-0.92,-0.000200039
-0.93,-0.00020004
-0.94,-0.00020004
-0.95,-0.00020004
-0.96,-0.000200039
-0.97,-0.00020004
-0.98,-0.000200041
-0.99,-0.000200041
-1,-0.00020004
-1.01,-0.000200041
-1.02,-0.00020004
-1.03,-0.00020004
-1.04,-0.000200041
-1.05,-0.000200041
-1.06,-0.000200041
-1.07,-0.000200041
-1.08,-0.00020004
-1.09,-0.00020004
-1.1,-0.00020004
-1.11,-0.00020004
-1.12,-0.000200041
-1.13,-0.00020004
-1.14,-0.00020004
-1.15,-0.00020004
-1.16,-0.00020004
-1.17,-0.000200041
-1.18,-0.00020004
-1.19,-0.000200041
-1.2,-0.00020004
-1.21,-0.00020004
-1.22,-0.00020004
-1.23,-0.00020004
-1.24,-0.00020004
-1.25,-0.000200041
-1.26,-0.000200041
-1.27,-0.00020004
-1.28,-0.000200041
-1.29,-0.000200041
-1.3,-0.000200041
-1.31,-0.000200041
-1.32,-0.00020004
-1.33,-0.00020004
-1.34,-0.00020004
-1.35,-0.00020004
-1.36,-0.000200041
-1.37,-0.000200041
-1.38,-0.00020004
-1.39,-0.00020004
-1.4,-0.00020004
-1.41,-0.000200041
-1.42,-0.000200041
-1.43,-0.000200041
-1.44,-0.000200041
-1.45,-0.00020004
-1.46,-0.00020004
-1.47,-0.00020004
-1.48,-0.00020004
-1.49,-0.00020004
-1.5,-0.000200041
-1.51,-0.000200041
-1.52,-0.00020004
-1.53,-0.00020004
-1.54,-0.000200039
-1.55,-0.00020004
-1.56,-0.000200041
-1.57,-0.00020004
-1.58,-0.00020004
-1.59,-0.00020004
-1.6,-0.000200041
-1.61,-0.00020004
-1.62,-0.00020004
-1.63,-0.00020004
-1.64,-0.00020004
-1.65,-0.00020004
-1.66,-0.00020004
-1.67,-0.000200039
-1.68,-0.00020004
-1.69,-0.00020004
-1.7,-0.00020004
-1.71,-0.000200039
-1.72,-0.000200039
-1.73,-0.00020004
-1.74,-0.000200039
-1.75,-0.000200039
-1.76,-0.000200039
-1.77,-0.00020004
-1.78,-0.00020004
-1.79,-0.00020004
-1.8,-0.00020004
-1.81,-0.00020004
-1.82,-0.00020004
-1.83,-0.000200039
-1.84,-0.000200039
-1.85,-0.00020004
-1.86,-0.000200039
-1.87,-0.00020004
-1.88,-0.000200039
-1.89,-0.000200039
-1.9,-0.000200039
-1.91,-0.000200039
-1.92,-0.000200039
-1.93,-0.000200039
-1.94,-0.000200039
-1.95,-0.000200039
-1.96,-0.000200039
-1.97,-0.000200039
-1.98,-0.000200039
-1.99,-0.00020004
-2,-0.000200039
-2,-0.000200039
-1.99,-0.00020004
-1.98,-0.000200039
-1.97,-0.000200039
-1.96,-0.000200039
-1.95,-0.00020004
-1.94,-0.00020004
-1.93,-0.000200039
-1.92,-0.00020004
-1.91,-0.00020004
-1.9,-0.00020004
-1.89,-0.00020004
-1.88,-0.00020004
-1.87,-0.000200039
-1.86,-0.000200039
-1.85,-0.00020004
-1.84,-0.000200039
-1.83,-0.00020004
-1.82,-0.000200039
-1.81,-0.000200039
-1.8,-0.00020004
-1.79,-0.00020004
-1.78,-0.000200039
-1.77,-0.00020004
-1.76,-0.000200039
-1.75,-0.000200039
-1.74,-0.000200039
-1.73,-0.000200039
-1.72,-0.000200039
-1.71,-0.000200039
-1.7,-0.000200039
-1.69,-0.000200039
-1.68,-0.00020004
-1.67,-0.000200039
-1.66,-0.000200039
-1.65,-0.00020004
-1.64,-0.00020004
-1.63,-0.00020004
-1.62,-0.000200039
-1.61,-0.000200039
-1.6,-0.00020004
-1.59,-0.000200039
-1.58,-0.00020004
-1.57,-0.00020004
-1.56,-0.00020004
-1.55,-0.00020004
-1.54,-0.000200039
-1.53,-0.000200039
-1.52,-0.000200039
-1.51,-0.00020004
-1.5,-0.00020004
-1.49,-0.00020004
-1.48,-0.000200039
-1.47,-0.00020004
-1.46,-0.00020004
-1.45,-0.00020004
-1.44,-0.00020004
-1.43,-0.000200039
-1.42,-0.00020004
-1.41,-0.000200039
-1.4,-0.00020004
-1.39,-0.00020004
-1.38,-0.00020004
-1.37,-0.00020004
-1.36,-0.00020004
-1.35,-0.00020004
-1.34,-0.00020004
-1.33,-0.000200041
-1.32,-0.00020004
-1.31,-0.000200039
-1.3,-0.000200041
-1.29,-0.00020004
-1.28,-0.000200041
-1.27,-0.00020004
-1.26,-0.000200039
-1.25,-0.00020004
-1.24,-0.00020004
-1.23,-0.000200039
-1.22,-0.000200039
-1.21,-0.000200039
-1.2,-0.00020004
-1.19,-0.000200039
-1.18,-0.00020004
-1.17,-0.000200039
-1.16,-0.00020004
-1.15,-0.00020004
-1.14,-0.00020004
-1.13,-0.000200039
-1.12,-0.00020004
-1.11,-0.00020004
-1.1,-0.00020004
-1.09,-0.00020004
-1.08,-0.000200039
-1.07,-0.00020004
-1.06,-0.00020004
-1.05,-0.0001998
-1.04,-0.00020004
-1.03,-0.00020004
-1.02,-0.00020004
-1.01,-0.00020004
-1,-0.00020004
-0.99,-0.000200039
-0.98,-0.00020004
-0.97,-0.00020004
-0.96,-0.00020004
-0.95,-0.00020004
-0.94,-0.00020004
-0.93,-0.00020004
-0.92,-0.000200039
-0.91,-0.000200039
-0.9,-0.00020004
-0.89,-0.00020004
