Setup title,"I/V Sweep_0_2_light"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:50:53
Device ID,
Count,18
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.9487E-09
-0.01,-4.11788E-07
-0.02,-8.51058E-07
-0.03,-1.27941E-06
-0.04,-1.71566E-06
-0.05,-2.134E-06
-0.06,-2.6015E-06
-0.07,-3.15532E-06
-0.08,-3.70171E-06
-0.09,-4.31295E-06
-0.1,-5.38214E-06
-0.11,-5.85462E-06
-0.12,-6.38828E-06
-0.13,-7.04849E-06
-0.14,-7.5336E-06
-0.15,-8.30501E-06
-0.16,-9.24829E-06
-0.17,-1.001127E-05
-0.18,-1.15387E-05
-0.19,-1.23526E-05
-0.2,-1.41661E-05
-0.21,-1.50699E-05
-0.22,-1.59815E-05
-0.23,-1.71766E-05
-0.24,-1.90372E-05
-0.25,-2.06035E-05
-0.26,-2.24824E-05
-0.27,-2.38176E-05
-0.28,-2.50307E-05
-0.29,-2.7536E-05
-0.3,-2.91913E-05
-0.31,-3.11853E-05
-0.32,-3.37834E-05
-0.33,-3.62087E-05
-0.34,-3.76473E-05
-0.35,-4.12459E-05
-0.36,-4.51137E-05
-0.37,-4.72032E-05
-0.38,-5.03586E-05
-0.39,-5.35819E-05
-0.4,-5.61895E-05
-0.41,-5.85852E-05
-0.42,-6.03652E-05
-0.43,-6.31974E-05
-0.44,-6.50722E-05
-0.45,-6.76935E-05
-0.46,-7.18299E-05
-0.47,-7.53817E-05
-0.48,-8.03903E-05
-0.49,-8.54056E-05
-0.5,-8.85822E-05
-0.51,-9.32762E-05
-0.52,-9.89463E-05
-0.53,-0.0001058658
-0.54,-0.0001099
-0.55,-0.000116821
-0.56,-0.000120631
-0.57,-0.000129127
-0.58,-0.000134738
-0.59,-0.000144078
-0.6,-0.000151408
-0.61,-0.000162734
-0.62,-0.000168092
-0.63,-0.000171315
-0.64,-0.00018372
-0.65,-0.000193254
-0.66,-0.000200041
-0.67,-0.000200041
-0.68,-0.000200041
-0.69,-0.000200041
-0.7,-0.000200041
-0.71,-0.000200041
-0.72,-0.000200041
-0.73,-0.000200041
-0.74,-0.000200042
-0.75,-0.000200041
-0.76,-0.000200041
-0.77,-0.00020004
-0.78,-0.000200041
-0.79,-0.000200041
-0.8,-0.000200041
-0.81,-0.000200041
-0.82,-0.000200041
-0.83,-0.00020004
-0.84,-0.000200041
-0.85,-0.000200041
-0.86,-0.000200041
-0.87,-0.00020004
-0.88,-0.000200041
-0.89,-0.000200041
-0.9,-0.00020004
-0.91,-0.000200041
-0.92,-0.000200041
-0.93,-0.00020004
-0.94,-0.000200041
-0.95,-0.00020004
-0.96,-0.000200041
-0.97,-0.00020004
-0.98,-0.00020004
-0.99,-0.000200041
-1,-0.00020004
-1.01,-0.00020004
-1.02,-0.000200041
-1.03,-0.000200041
-1.04,-0.000200041
-1.05,-0.000200041
-1.06,-0.000200041
-1.07,-0.00020004
-1.08,-0.00020004
-1.09,-0.00020004
-1.1,-0.000200041
-1.11,-0.000200041
-1.12,-0.000200041
-1.13,-0.000200041
-1.14,-0.000200041
-1.15,-0.000200041
-1.16,-0.000200041
-1.17,-0.00020004
-1.18,-0.00020004
-1.19,-0.000200041
-1.2,-0.000200041
-1.21,-0.000200041
-1.22,-0.000200041
-1.23,-0.00020004
-1.24,-0.000200041
-1.25,-0.000200041
-1.26,-0.000200041
-1.27,-0.000200041
-1.28,-0.00020004
-1.29,-0.00020004
-1.3,-0.000200041
-1.31,-0.00020004
-1.32,-0.00020004
-1.33,-0.00020004
-1.34,-0.00020004
-1.35,-0.00020004
-1.36,-0.00020004
-1.37,-0.00020004
-1.38,-0.000200039
-1.39,-0.00020004
-1.4,-0.00020004
-1.41,-0.00020004
-1.42,-0.000200041
-1.43,-0.00020004
-1.44,-0.00020004
-1.45,-0.00020004
-1.46,-0.000200039
-1.47,-0.00020004
-1.48,-0.00020004
-1.49,-0.00020004
-1.5,-0.00020004
-1.51,-0.00020004
-1.52,-0.00020004
-1.53,-0.00020004
-1.54,-0.00020004
-1.55,-0.000200041
-1.56,-0.000200041
-1.57,-0.000200041
-1.58,-0.000200041
-1.59,-0.00020004
-1.6,-0.00020004
-1.61,-0.000200041
-1.62,-0.00020004
-1.63,-0.000200041
-1.64,-0.00020004
-1.65,-0.000200041
-1.66,-0.00020004
-1.67,-0.00020004
-1.68,-0.00020004
-1.69,-0.000200039
-1.7,-0.00020004
-1.71,-0.00020004
-1.72,-0.00020004
-1.73,-0.00020004
-1.74,-0.00020004
-1.75,-0.000200039
-1.76,-0.00020004
-1.77,-0.000200039
-1.78,-0.000200041
-1.79,-0.00020004
-1.8,-0.00020004
-1.81,-0.00020004
-1.82,-0.000200039
-1.83,-0.00020004
-1.84,-0.00020004
-1.85,-0.000200039
-1.86,-0.000200039
-1.87,-0.000200039
-1.88,-0.00020004
-1.89,-0.00020004
-1.9,-0.000200039
-1.91,-0.00020004
-1.92,-0.00020004
-1.93,-0.00020004
-1.94,-0.00020004
-1.95,-0.00020004
-1.96,-0.000200039
-1.97,-0.00020004
-1.98,-0.00020004
-1.99,-0.00020004
-2,-0.000200039
-2,-0.000200039
-1.99,-0.000200039
-1.98,-0.000200039
-1.97,-0.000200039
-1.96,-0.000200039
-1.95,-0.000200039
-1.94,-0.000200039
-1.93,-0.000200039
-1.92,-0.00020004
-1.91,-0.00020004
-1.9,-0.000200039
-1.89,-0.000200039
-1.88,-0.000200039
-1.87,-0.00020004
-1.86,-0.00020004
-1.85,-0.00020004
-1.84,-0.00020004
-1.83,-0.00020004
-1.82,-0.000200039
-1.81,-0.000200039
-1.8,-0.00020004
-1.79,-0.00020004
-1.78,-0.00020004
-1.77,-0.00020004
-1.76,-0.00020004
-1.75,-0.000200041
-1.74,-0.00020004
-1.73,-0.00020004
-1.72,-0.00020004
-1.71,-0.00020004
-1.7,-0.00020004
-1.69,-0.000200039
-1.68,-0.00020004
-1.67,-0.00020004
-1.66,-0.00020004
-1.65,-0.00020004
-1.64,-0.00020004
-1.63,-0.000200039
-1.62,-0.00020004
-1.61,-0.00020004
-1.6,-0.00020004
-1.59,-0.00020004
-1.58,-0.00020004
-1.57,-0.00020004
-1.56,-0.00020004
-1.55,-0.00020004
-1.54,-0.00020004
-1.53,-0.00020004
-1.52,-0.00020004
-1.51,-0.000200039
-1.5,-0.000200039
-1.49,-0.00020004
-1.48,-0.00020004
-1.47,-0.00020004
-1.46,-0.00020004
-1.45,-0.000200039
-1.44,-0.000200039
-1.43,-0.000200039
-1.42,-0.00020004
-1.41,-0.00020004
-1.4,-0.00020004
-1.39,-0.000200039
-1.38,-0.00020004
-1.37,-0.00020004
-1.36,-0.00020004
-1.35,-0.00020004
-1.34,-0.00020004
-1.33,-0.000200041
-1.32,-0.00020004
-1.31,-0.00020004
-1.3,-0.00020004
-1.29,-0.00020004
-1.28,-0.00020004
-1.27,-0.000200039
-1.26,-0.00020004
-1.25,-0.000200039
-1.24,-0.00020004
-1.23,-0.00020004
-1.22,-0.00020004
-1.21,-0.00020004
-1.2,-0.00020004
-1.19,-0.000200041
-1.18,-0.00020004
-1.17,-0.00020004
-1.16,-0.000200039
-1.15,-0.000200039
-1.14,-0.00020004
-1.13,-0.00020004
-1.12,-0.000200041
-1.11,-0.00020004
-1.1,-0.00020004
-1.09,-0.000200039
-1.08,-0.00020004
-1.07,-0.00020004
-1.06,-0.00020004
-1.05,-0.00020004
-1.04,-0.000200041
-1.03,-0.00020004
-1.02,-0.000200041
-1.01,-0.000200041
-1,-0.00020004
-0.99,-0.00020004
-0.98,-0.00020004
-0.97,-0.00020004
-0.96,-0.00020004
-0.95,-0.00020004
-0.94,-0.00020004
-0.93,-0.00020004
-0.92,-0.000200039
-0.91,-0.00020004
-0.9,-0.000200039
-0.89,-0.000200039
-0.88,-0.000200039
-0.87,-0.00020004
-0.86,-0.000200039
