Setup title,"I/V Sweep_light_part2_0_-2V"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,17:22:04
Device ID,
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-1.7E-13
-0.01,-2E-13
-0.02,-3.9E-13
-0.03,-2.7E-13
-0.04,-1.2E-13
-0.05,-2.7E-13
-0.06,-3.7E-13
-0.07,-1.6E-13
-0.08,-2.6E-13
-0.09,-1.5E-13
-0.1,-3.1E-13
-0.11,-4.1E-13
-0.12,-4.5E-13
-0.13,-3.9E-13
-0.14,-2.6E-13
-0.15,-3.8E-13
-0.16,-4.4E-13
-0.17,-3.2E-13
-0.18,-4.6E-13
-0.19,-5E-13
-0.2,-3.4E-13
-0.21,-5.3E-13
-0.22,-3.7E-13
-0.23,-3.4E-13
-0.24,-5.2E-13
-0.25,-5.4E-13
-0.26,-4.2E-13
-0.27,-4.4E-13
-0.28,-5.6E-13
-0.29,-5.2E-13
-0.3,-4.9E-13
-0.31,-5.3E-13
-0.32,-5.4E-13
-0.33,-5E-13
-0.34,-4.2E-13
-0.35,-5.7E-13
-0.36,-7.1E-13
-0.37,-6.1E-13
-0.38,-4.3E-13
-0.39,-5.3E-13
-0.4,-7.5E-13
-0.41,-5E-13
-0.42,-7E-13
-0.43,-8.3E-13
-0.44,-7.3E-13
-0.45,-6.7E-13
-0.46,-7.4E-13
-0.47,-7.7E-13
-0.48,-7E-13
-0.49,-9E-13
-0.5,-1.05E-12
-0.51,-1E-12
-0.52,-8.1E-13
-0.53,-9.7E-13
-0.54,-9.6E-13
-0.55,-9.4E-13
-0.56,-9.8E-13
-0.57,-8.9E-13
-0.58,-9.8E-13
-0.59,-1.11E-12
-0.6,-1.24E-12
-0.61,-1.06E-12
-0.62,-1.01E-12
-0.63,-1.11E-12
-0.64,-1.14E-12
-0.65,-1.11E-12
-0.66,-1.2E-12
-0.67,-1.3E-12
-0.68,-1.44E-12
-0.69,-1.36E-12
-0.7,-1.5E-12
-0.71,-1.67E-12
-0.72,-1.43E-12
-0.73,-1.62E-12
-0.74,-1.59E-12
-0.75,-1.56E-12
-0.76,-1.7E-12
-0.77,-1.74E-12
-0.78,-1.9E-12
-0.79,-1.71E-12
-0.8,-1.64E-12
-0.81,-1.53E-12
-0.82,-1.67E-12
-0.83,-1.68E-12
-0.84,-1.75E-12
-0.85,-1.7E-12
-0.86,-1.99E-12
-0.87,-2.01E-12
-0.88,-2.1E-12
-0.89,-2.42E-12
-0.9,-2.49E-12
-0.91,-2.27E-12
-0.92,-2.33E-12
-0.93,-2.45E-12
-0.94,-2.05E-12
-0.95,-2.66E-12
-0.96,-2.7E-12
-0.97,-2.81E-12
-0.98,-3.41E-12
-0.99,-3.22E-12
-1,-3.29E-12
-1.01,-3.4E-12
-1.02,-3.55E-12
-1.03,-3.48E-12
-1.04,-3.33E-12
-1.05,-3.26E-12
-1.06,-3.02E-12
-1.07,-3.09E-12
-1.08,-3.22E-12
-1.09,-3.7E-12
-1.1,-3.53E-12
-1.11,-4.31E-12
-1.12,-4.59E-12
-1.13,-4.02E-12
-1.14,-4.01E-12
-1.15,-3.64E-12
-1.16,-3.54E-12
-1.17,-3.91E-12
-1.18,-3.85E-12
-1.19,-4.73E-12
-1.2,-4.51E-12
-1.21,-4.01E-12
-1.22,-4.16E-12
-1.23,-5.79E-12
-1.24,-7.35E-12
-1.25,-6.52E-12
-1.26,-7.61E-12
-1.27,-5.67E-12
-1.28,-5.99E-12
-1.29,-4.98E-12
-1.3,-5.5E-12
-1.31,-5.61E-12
-1.32,-6.43E-12
-1.33,-7.65E-12
-1.34,-7.66E-12
-1.35,-7.94E-12
-1.36,-8.65E-12
-1.37,-7.5E-12
-1.38,-7.58E-12
-1.39,-6.53E-12
-1.4,-7.65E-12
-1.41,-9.32E-12
-1.42,-8.96E-12
-1.43,-8.12E-12
-1.44,-8.4E-12
-1.45,-8.71E-12
-1.46,-8.02E-12
-1.47,-8.48E-12
-1.48,-8.9E-12
-1.49,-9.98E-12
-1.5,-1.052E-11
-1.51,-1.124E-11
-1.52,-1.065E-11
-1.53,-1.086E-11
-1.54,-1.926E-11
-1.55,-1.382E-11
-1.56,-1.361E-11
-1.57,-1.416E-11
-1.58,-1.389E-11
-1.59,-1.32E-11
-1.6,-1.833E-11
-1.61,-2.698E-11
-1.62,-2.415E-11
-1.63,-2.045E-11
-1.64,-2.096E-11
-1.65,-1.918E-11
-1.66,-2.255E-11
-1.67,-3.114E-11
-1.68,-2.492E-11
-1.69,-2.505E-11
-1.7,-2.504E-11
-1.71,-2.176E-11
-1.72,-2.876E-11
-1.73,-3.079E-11
-1.74,-5.473E-11
-1.75,-3.522E-11
-1.76,-1.091E-10
-1.77,-1.29E-10
-1.78,-3.646E-11
-1.79,-2.645E-11
-1.8,-2.439E-11
-1.81,-2.613E-11
-1.82,-2.737E-11
-1.83,-2.07E-11
-1.84,-3.592E-11
-1.85,-2.304E-11
-1.86,-2.704E-11
-1.87,-2.736E-11
-1.88,-4.016E-11
-1.89,-3.586E-11
-1.9,-4.329E-11
-1.91,-4.434E-11
-1.92,-4.113E-11
-1.93,-2.616E-11
-1.94,-2.953E-11
-1.95,-0.000200044
-1.96,-0.000200043
-1.97,-0.000200042
-1.98,-0.000200043
-1.99,-0.000200042
-2,-0.000200042
-2,-0.000200043
-1.99,-0.000200042
-1.98,-0.000200042
-1.97,-0.000200042
-1.96,-0.000200042
-1.95,-0.000200042
-1.94,-0.000200042
-1.93,-0.000200042
-1.92,-0.000200042
-1.91,-0.000200042
-1.9,-0.000200042
-1.89,-0.000200043
-1.88,-0.000200043
-1.87,-0.000200042
-1.86,-0.000200042
-1.85,-0.000200043
-1.84,-0.000200042
-1.83,-0.000200042
-1.82,-0.000200043
-1.81,-0.000200043
-1.8,-0.000200042
-1.79,-0.000200042
-1.78,-0.000200042
-1.77,-0.000200042
-1.76,-0.000200042
-1.75,-0.000200043
-1.74,-0.000200042
-1.73,-0.000200043
-1.72,-0.000200043
-1.71,-0.000200043
-1.7,-0.000200042
-1.69,-0.000200043
-1.68,-0.000200043
-1.67,-0.000200042
-1.66,-0.000200041
-1.65,-0.000200042
-1.64,-0.000200042
-1.63,-0.000200042
-1.62,-0.000200042
-1.61,-0.000200043
-1.6,-0.000200043
-1.59,-0.000200042
-1.58,-0.000200042
-1.57,-0.000200042
-1.56,-0.000200042
-1.55,-0.000200042
-1.54,-0.000200042
-1.53,-0.000200042
-1.52,-0.000200042
-1.51,-0.000200042
-1.5,-0.000200042
-1.49,-0.000200042
-1.48,-0.000200043
-1.47,-0.000200042
-1.46,-0.000200042
-1.45,-0.000200043
-1.44,-0.000200042
-1.43,-0.000200042
-1.42,-0.000200043
-1.41,-0.000200042
-1.4,-0.000200042
-1.39,-0.000200043
-1.38,-0.000200043
-1.37,-0.000200044
-1.36,-0.000200043
-1.35,-0.000200042
-1.34,-0.000200043
-1.33,-0.000200043
-1.32,-0.000200043
-1.31,-0.000200042
-1.3,-0.000200043
-1.29,-0.000200043
-1.28,-0.000200042
-1.27,-0.000200043
-1.26,-0.000200043
-1.25,-0.000200042
-1.24,-0.000200042
-1.23,-0.000200042
-1.22,-0.000200043
-1.21,-0.000200042
-1.2,-0.000200043
-1.19,-0.000200043
-1.18,-0.000200042
-1.17,-0.000200042
-1.16,-0.000200043
-1.15,-0.000200042
-1.14,-0.000200043
-1.13,-0.000200042
-1.12,-0.000200043
-1.11,-0.000200042
-1.1,-0.000200043
-1.09,-0.000200042
-1.08,-0.000200042
-1.07,-0.000200042
-1.06,-0.000200042
-1.05,-0.000200043
-1.04,-0.000200042
-1.03,-0.000200042
-1.02,-0.000200042
-1.01,-0.000200043
-1,-0.000200042
-0.99,-0.000200042
-0.98,-0.000200043
-0.97,-0.000200043
-0.96,-0.000200043
-0.95,-0.000200043
-0.94,-0.000200043
-0.93,-0.000200043
-0.92,-0.000200043
