Setup title,"I/V Sweep_light_part2_0_2V"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,17:17:36
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-6.3E-13
0.01,-2.1E-13
0.02,-4.1E-13
0.03,1.1E-13
0.04,-2.1E-13
0.05,-2.4E-13
0.06,-4E-14
0.07,-3E-13
0.08,-2.7E-13
0.09,-3.1E-13
0.1,1.1E-13
0.11,-2E-13
0.12,-3.2E-13
0.13,-3.6E-13
0.14,2.2E-13
0.15,-9E-14
0.16,-1.6E-13
0.17,-1.7E-13
0.18,1.3E-13
0.19,1.1E-13
0.2,-2.3E-13
0.21,1.2E-13
0.22,-3E-14
0.23,-1.1E-13
0.24,-2.5E-13
0.25,1E-14
0.26,2.7E-13
0.27,1.5E-13
0.28,-2.5E-13
0.29,-1.9E-13
0.3,3.4E-13
0.31,3.6E-13
0.32,2E-14
0.33,-1.9E-13
0.34,2.1E-13
0.35,2.8E-13
0.36,2.9E-13
0.37,3.4E-13
0.38,1.2E-13
0.39,-2.5E-13
0.4,-2E-14
0.41,3.6E-13
0.42,4.8E-13
0.43,1.4E-13
0.44,5E-14
0.45,1.1E-13
0.46,-2.7E-13
0.47,2.5E-13
0.48,5.5E-13
0.49,4.7E-13
0.5,2.4E-13
0.51,1E-14
0.52,4.4E-13
0.53,6.5E-13
0.54,3.6E-13
0.55,5.1E-13
0.56,4.1E-13
0.57,1E-14
0.58,2.3E-13
0.59,5.5E-13
0.6,6.1E-13
0.61,3.4E-13
0.62,1.9E-13
0.63,4.5E-13
0.64,2.5E-13
0.65,7.7E-13
0.66,9.7E-13
0.67,6.5E-13
0.68,3.9E-13
0.69,2.6E-13
0.7,7.6E-13
0.71,8.2E-13
0.72,6.9E-13
0.73,7.1E-13
0.74,5.7E-13
0.75,4.5E-13
0.76,4.9E-13
0.77,8.1E-13
0.78,9.4E-13
0.79,6.2E-13
0.8,4E-13
0.81,7.9E-13
0.82,6.1E-13
0.83,9.2E-13
0.84,1.11E-12
0.85,9.6E-13
0.86,8.7E-13
0.87,9.5E-13
0.88,1.3E-12
0.89,1.52E-12
0.9,1.02E-12
0.91,1.27E-12
0.92,1.15E-12
0.93,7.6E-13
0.94,1.12E-12
0.95,1.39E-12
0.96,1.55E-12
0.97,1.1E-12
0.98,1.16E-12
0.99,1.67E-12
1,1.42E-12
1.01,2.15E-12
1.02,3.25E-12
1.03,2.91E-12
1.04,2.67E-12
1.05,2.44E-12
1.06,3.06E-12
1.07,3.75E-12
1.08,3.78E-12
1.09,4.23E-12
1.1,4.39E-12
1.11,5E-12
1.12,5.26E-12
1.13,4.97E-12
1.14,5.42E-12
1.15,5.71E-12
1.16,5.01E-12
1.17,6.97E-12
1.18,5.32E-12
1.19,5.68E-12
1.2,6.41E-12
1.21,5.8E-12
1.22,5.75E-12
1.23,6.34E-12
1.24,7.85E-12
1.25,7.08E-12
1.26,5.05E-12
1.27,5.77E-12
1.28,5.72E-12
1.29,5.19E-12
1.3,5.67E-12
1.31,6.41E-12
1.32,6.04E-12
1.33,5.81E-12
1.34,7.11E-12
1.35,7.77E-12
1.36,8.01E-12
1.37,7.07E-12
1.38,7.35E-12
1.39,7.09E-12
1.4,7.62E-12
1.41,8.78E-12
1.42,9.77E-12
1.43,8.94E-12
1.44,8.59E-12
1.45,8.6E-12
1.46,1.055E-11
1.47,1.086E-11
1.48,1.567E-11
1.49,1.213E-11
1.5,1.302E-11
1.51,1.305E-11
1.52,1.367E-11
1.53,1.286E-11
1.54,1.268E-11
1.55,1.323E-11
1.56,1.248E-11
1.57,1.38E-11
1.58,1.346E-11
1.59,1.322E-11
1.6,1.426E-11
1.61,1.492E-11
1.62,1.375E-11
1.63,1.594E-11
1.64,1.669E-11
1.65,1.558E-11
1.66,1.606E-11
1.67,1.763E-11
1.68,2.123E-11
1.69,2.725E-11
1.7,2.105E-11
1.71,2.067E-11
1.72,2.137E-11
1.73,2.14E-11
1.74,2.459E-11
1.75,2.509E-11
1.76,2.87E-11
1.77,2.649E-11
1.78,2.744E-11
1.79,2.803E-11
1.8,2.785E-11
1.81,2.933E-11
1.82,3.121E-11
1.83,3.479E-11
1.84,3.254E-11
1.85,3.611E-11
1.86,3.412E-11
1.87,3.438E-11
1.88,2.855E-11
1.89,3.076E-11
1.9,3.312E-11
1.91,3.575E-11
1.92,3.632E-11
1.93,3.522E-11
1.94,3.742E-11
1.95,4.501E-11
1.96,4.35E-11
1.97,4.407E-11
1.98,4.461E-11
1.99,4.813E-11
2,4.706E-11
2,4.836E-11
1.99,4.991E-11
1.98,5.189E-11
1.97,5.182E-11
1.96,5.086E-11
1.95,5.67E-11
1.94,5.447E-11
1.93,5.135E-11
1.92,4.777E-11
1.91,5.033E-11
1.9,5.074E-11
1.89,4.667E-11
1.88,4.782E-11
1.87,4.193E-11
1.86,4.109E-11
1.85,3.924E-11
1.84,3.999E-11
1.83,4.821E-11
1.82,4.589E-11
1.81,4.473E-11
1.8,4.527E-11
1.79,4.633E-11
1.78,3.472E-11
1.77,3.582E-11
1.76,3.675E-11
1.75,3.037E-11
1.74,3.044E-11
1.73,3.192E-11
1.72,3.332E-11
1.71,2.883E-11
1.7,2.575E-11
1.69,2.374E-11
1.68,2.436E-11
1.67,2.459E-11
1.66,2.666E-11
1.65,2.297E-11
1.64,2.462E-11
1.63,2.535E-11
1.62,2.507E-11
1.61,2.172E-11
1.6,2.166E-11
1.59,2.053E-11
1.58,2.042E-11
1.57,1.653E-11
1.56,1.524E-11
1.55,1.724E-11
1.54,1.609E-11
1.53,1.66E-11
1.52,1.703E-11
1.51,1.694E-11
1.5,1.645E-11
1.49,1.584E-11
1.48,1.386E-11
1.47,1.478E-11
1.46,1.374E-11
1.45,1.379E-11
1.44,1.308E-11
1.43,1.439E-11
1.42,1.475E-11
1.41,1.393E-11
1.4,1.304E-11
1.39,1.288E-11
1.38,9.69E-12
1.37,8.37E-12
1.36,8.5E-12
1.35,8.64E-12
1.34,8.23E-12
1.33,7.75E-12
1.32,7.19E-12
1.31,7.06E-12
1.3,7.92E-12
1.29,6.62E-12
1.28,6.05E-12
1.27,5.74E-12
1.26,5.28E-12
1.25,4.84E-12
1.24,4.73E-12
1.23,4.73E-12
1.22,2.82E-12
1.21,2.4E-12
1.2,2.12E-12
1.19,2.48E-12
1.18,2.62E-12
1.17,2.77E-12
1.16,2.26E-12
1.15,3.42E-12
1.14,3.24E-12
1.13,2.24E-12
1.12,3.18E-12
1.11,3.15E-12
1.1,3.1E-12
1.09,2.7E-12
1.08,2.37E-12
1.07,3.53E-12
1.06,2.9E-12
1.05,2.48E-12
1.04,1.95E-12
1.03,2.06E-12
1.02,1.86E-12
1.01,1.94E-12
1,1.99E-12
0.99,1.98E-12
0.98,2E-12
0.97,1.54E-12
0.96,1.78E-12
0.95,1.19E-12
0.94,1.06E-12
0.93,1.34E-12
0.92,1.45E-12
0.91,1.42E-12
0.9,1.16E-12
0.89,1.33E-12
0.88,1.46E-12
0.87,9.9E-13
0.86,9.8E-13
0.85,9.7E-13
0.84,1.28E-12
0.83,8.9E-13
0.82,7.3E-13
0.81,6.3E-13
0.8,1.32E-12
0.79,1.13E-12
0.78,6E-13
0.77,6.7E-13
0.76,7.9E-13
0.75,6.4E-13
0.74,7E-13
0.73,3.8E-13
0.72,8.1E-13
0.71,8.8E-13
0.7,3.8E-13
0.69,4.8E-13
0.68,1.02E-12
0.67,9.3E-13
0.66,4.9E-13
0.65,5.2E-13
0.64,6.3E-13
0.63,3.6E-13
0.62,5.4E-13
0.61,7.6E-13
0.6,4.3E-13
0.59,2.4E-13
0.58,-1.4E-13
0.57,7.4E-13
0.56,5.3E-13
0.55,2.2E-13
0.54,3.4E-13
0.53,4.8E-13
0.52,2E-13
0.51,2.3E-13
0.5,7.1E-13
0.49,5.8E-13
0.48,1.8E-13
0.47,6.1E-13
