Setup title,"I/V Sweep_check"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,17:50:15
Device ID,2
Count,10
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-9E-14
0.01,-1.2E-13
0.02,-1.9E-13
0.03,-2.4E-13
0.04,1E-14
0.05,-1.2E-13
0.06,-2.1E-13
0.07,-2E-14
0.08,0
0.09,-1E-13
0.1,-2E-13
0.11,-6E-14
0.12,7E-14
0.13,-1.3E-13
0.14,-1E-13
0.15,2E-14
0.16,-2.2E-13
0.17,-6E-14
0.18,-5E-14
0.19,-5E-14
0.2,-2E-13
0.21,-1.9E-13
0.22,-3E-14
0.23,-1.8E-13
0.24,-1.5E-13
0.25,-3E-14
0.26,-1.4E-13
0.27,-5E-14
0.28,-1.1E-13
0.29,-1E-14
0.3,-1.1E-13
0.31,-1.8E-13
0.32,5E-14
0.33,-1.6E-13
0.34,-1.4E-13
0.35,-7E-14
0.36,0
0.37,-6E-14
0.38,-6E-14
0.39,0
0.4,-1.7E-13
0.41,-6E-14
0.42,-1.7E-13
0.43,-1.3E-13
0.44,-1.4E-13
0.45,-9E-14
0.46,-1.3E-13
0.47,-2E-13
0.48,-2E-14
0.49,-1.7E-13
0.5,-1.9E-13
0.51,-1.1E-13
0.52,-1.8E-13
0.53,-6E-14
0.54,-1.8E-13
0.55,-1.7E-13
0.56,-8E-14
0.57,-1.3E-13
0.58,5E-14
0.59,-7E-14
0.6,-1.1E-13
0.61,5E-14
0.62,-1.7E-13
0.63,-1.7E-13
0.64,-1.5E-13
0.65,-1.9E-13
0.66,-6E-14
0.67,-3E-14
0.68,-6E-14
0.69,-1.4E-13
0.7,-6E-14
0.71,-1E-13
0.72,-6E-14
0.73,-2.3E-13
0.74,-1.9E-13
0.75,-5E-14
0.76,-7E-14
0.77,-1.6E-13
0.78,-4E-14
0.79,-1.2E-13
0.8,-2.1E-13
0.81,-1.2E-13
0.82,-1.6E-13
0.83,-1.9E-13
0.84,-1.3E-13
0.85,-1.6E-13
0.86,-4.9E-13
0.87,-6.6E-13
0.88,-4.2E-13
0.89,-4.2E-13
0.9,-2.34E-12
0.91,1.61E-12
0.92,-5.9E-13
0.93,-3E-13
0.94,5E-14
0.95,-2E-14
0.96,-1.7E-13
0.97,-1.4E-13
0.98,9E-14
0.99,-1.6E-13
1,-2.9E-13
1,-1.9E-13
0.99,1E-14
0.98,-1.1E-13
0.97,-2.2E-13
0.96,-4E-14
0.95,-8E-14
0.94,-1.1E-13
0.93,0
0.92,-6E-14
0.91,-1.6E-13
0.9,5.00028E-05
0.89,5.00027E-05
0.88,5.00026E-05
0.87,5.00026E-05
0.86,5.00026E-05
0.85,5.00026E-05
0.84,5.00027E-05
0.83,5.00026E-05
0.82,5.00026E-05
0.81,5.00026E-05
0.8,5.00026E-05
0.79,5.00027E-05
0.78,5.00026E-05
0.77,5.00027E-05
0.76,5.00027E-05
0.75,5.00026E-05
0.74,5.00026E-05
0.73,5.00027E-05
0.72,5.00026E-05
0.71,5.00027E-05
0.7,5.00026E-05
0.69,5.00027E-05
0.68,5.00027E-05
0.67,5.00026E-05
0.66,5.00026E-05
0.65,5.00026E-05
0.64,5.00026E-05
0.63,5.00025E-05
0.62,5.00026E-05
0.61,5.00026E-05
0.6,5.00027E-05
0.59,5.00026E-05
0.58,5.00026E-05
0.57,5.00026E-05
0.56,5.00026E-05
0.55,5.00025E-05
0.54,5.00026E-05
0.53,5.00025E-05
0.52,5.00025E-05
0.51,5.00026E-05
0.5,5.00026E-05
0.49,5.00025E-05
0.48,5.00025E-05
0.47,5.00026E-05
0.46,5.00026E-05
0.45,5.00025E-05
0.44,5.00026E-05
0.43,5.00026E-05
0.42,5.00025E-05
0.41,5.00026E-05
0.4,5.00026E-05
0.39,5.00026E-05
0.38,5.00026E-05
0.37,5.00025E-05
0.36,5.00025E-05
0.35,5.00025E-05
0.34,5.00025E-05
0.33,5.00025E-05
0.32,5.00025E-05
0.31,5.00026E-05
0.3,5.00025E-05
0.29,5.00025E-05
0.28,5.00025E-05
0.27,5.00025E-05
0.26,5.00025E-05
0.25,5.00025E-05
0.24,5.00025E-05
0.23,5.00025E-05
0.22,5.00025E-05
0.21,5.00025E-05
0.2,5.00025E-05
0.19,5.00025E-05
0.18,5.00025E-05
0.17,5.00025E-05
0.16,5.00025E-05
0.15,5.00025E-05
0.14,5.00025E-05
0.13,5.00025E-05
0.12,5.00025E-05
0.11,5.00025E-05
0.1,5.00025E-05
0.09,5.00025E-05
0.08,5.00026E-05
0.07,5.00026E-05
0.06,5.00026E-05
0.05,5.00025E-05
0.04,5.00026E-05
0.03,5.00026E-05
0.02,5.00025E-05
0.01,5.00026E-05
0,1.2019E-06
