Setup title,"I/V Sweep_check"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,18:10:04
Device ID,3
Count,20
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.02
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-2.12E-12
0.02,-1.32E-12
0.04,-6.7E-13
0.06,-2.1E-13
0.08,-9E-14
0.1,2.2E-13
0.12,5.8E-13
0.14,8.1E-13
0.16,9E-13
0.18,1.03E-12
0.2,1.4E-12
0.22,1.64E-12
0.24,1.81E-12
0.26,2.13E-12
0.28,1.96E-12
0.3,2.45E-12
0.32,2.33E-12
0.34,2.49E-12
0.36,2.77E-12
0.38,2.94E-12
0.4,2.93E-12
0.42,2.94E-12
0.44,3.05E-12
0.46,3.47E-12
0.48,3.51E-12
0.5,3.63E-12
0.52,3.99E-12
0.54,3.92E-12
0.56,3.99E-12
0.58,4.05E-12
0.6,4.21E-12
0.62,4.12E-12
0.64,4.49E-12
0.66,4.5E-12
0.68,4.75E-12
0.7,4.54E-12
0.72,5.22E-12
0.74,4.99E-12
0.76,4.87E-12
0.78,5.35E-12
0.8,5.32E-12
0.82,5.13E-12
0.84,5.42E-12
0.86,5.47E-12
0.88,5.59E-12
0.9,5.79E-12
0.92,5.82E-12
0.94,5.88E-12
0.96,6.07E-12
0.98,6.33E-12
1,6.16E-12
1.02,6.36E-12
1.04,6.45E-12
1.06,6.69E-12
1.08,6.53E-12
1.1,6.5E-12
1.12,6.83E-12
1.14,6.85E-12
1.16,7.28E-12
1.18,7.25E-12
1.2,7.68E-12
1.22,7.59E-12
1.24,6.73E-12
1.26,5.01E-12
1.28,6.17E-12
1.3,6.82E-12
1.32,6.34E-12
1.34,6.34E-12
1.36,7.31E-12
1.38,7.9E-12
1.4,7.76E-12
1.42,6.63E-12
1.44,8.44E-12
1.46,7.83E-12
1.48,7.58E-12
1.5,7.84E-12
1.52,8.58E-12
1.54,8.35E-12
1.56,7.38E-12
1.58,8.01E-12
1.6,7.89E-12
1.62,8.05E-12
1.64,8.41E-12
1.66,8.64E-12
1.68,8.42E-12
1.7,8.7E-12
1.72,8.29E-12
1.74,8.83E-12
1.76,8.76E-12
1.78,8.95E-12
1.8,9.36E-12
1.82,9.39E-12
1.84,9.35E-12
1.86,9.67E-12
1.88,9.94E-12
1.9,1.005E-11
1.92,1.005E-11
1.94,1.029E-11
1.96,1.045E-11
1.98,1.035E-11
2,1.024E-11
2,9.42E-12
1.98,7.99E-12
1.96,7.16E-12
1.94,6.45E-12
1.92,5.95E-12
1.9,5.21E-12
1.88,4.8E-12
1.86,4.51E-12
1.84,4.12E-12
1.82,3.84E-12
1.8,3.51E-12
1.78,3.27E-12
1.76,2.9E-12
1.74,4.61E-12
1.72,3.31E-12
1.7,2.88E-12
1.68,1.76E-12
1.66,2.02E-12
1.64,1.69E-12
1.62,1.51E-12
1.6,1.05E-12
1.58,4.8E-13
1.56,6.8E-13
1.54,1.7E-13
1.52,1.6E-13
1.5,-2E-13
1.48,-2E-14
1.46,-5.1E-13
1.44,-4.6E-13
1.42,-4.3E-13
1.4,-7.6E-13
1.38,-1.09E-12
1.36,-1.04E-12
1.34,-1.14E-12
1.32,-1.43E-12
1.3,-1.46E-12
1.28,-1.5E-12
1.26,-2.08E-12
1.24,-2.25E-12
1.22,-2.2E-12
1.2,-2.18E-12
1.18,-2.48E-12
1.16,-2.7E-12
1.14,-2.53E-12
1.12,-2.6E-12
1.1,-3.19E-12
1.08,-3.01E-12
1.06,-2.92E-12
1.04,-3.16E-12
1.02,-3.43E-12
1,-3.66E-12
0.98,-3.48E-12
0.96,-3.52E-12
0.94,-3.79E-12
0.92,-4.11E-12
0.9,-4.05E-12
0.88,-3.75E-12
0.86,-3.97E-12
0.84,-4.43E-12
0.82,-4.09E-12
0.8,-4.43E-12
0.78,-4.75E-12
0.76,-4.84E-12
0.74,-5.03E-12
0.72,-4.84E-12
0.7,-4.79E-12
0.68,-5.02E-12
0.66,-5.18E-12
0.64,-5E-12
0.62,-5.28E-12
0.6,-5.52E-12
0.58,-5.54E-12
0.56,-5.91E-12
0.54,-5.6E-12
0.52,-5.61E-12
0.5,-5.71E-12
0.48,-6E-12
0.46,-5.7E-12
0.44,-6.01E-12
0.42,-6.38E-12
0.4,-6.19E-12
0.38,-6.35E-12
0.36,-6.28E-12
0.34,-6.29E-12
0.32,-6.33E-12
0.3,-6.66E-12
0.28,-6.91E-12
0.26,-6.44E-12
0.24,-7.01E-12
0.22,-6.9E-12
0.2,-6.95E-12
0.18,-6.93E-12
0.16,-7.51E-12
0.14,-7.19E-12
0.12,-7.01E-12
0.1,-7.12E-12
0.08,-7.32E-12
0.06,-7.79E-12
0.04,-7.48E-12
0.02,-7.38E-12
0,-7.78E-12
