Setup title,"I/V Sweep_dark"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,18:37:55
Device ID,3
Count,39
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-3.78547E-07
0.01,2.73846E-05
0.02,5.46762E-05
0.03,8.16614E-05
0.04,0.000108589
0.05,0.000134974
0.06,0.000161945
0.07,0.000188723
0.08,0.000215782
0.09,0.000242756
0.1,0.000269784
0.11,0.000296899
0.12,0.00032505
0.13,0.000352473
0.14,0.000380433
0.15,0.000408974
0.16,0.000437005
0.17,0.000465419
0.18,0.000494721
0.19,0.000523395
0.2,0.000552631
0.21,0.000583962
0.22,0.000615714
0.23,0.000647328
0.24,0.000678875
0.25,0.000711122
0.26,0.000742973
0.27,0.000776374
0.28,0.000811734
0.29,0.000846135
0.3,0.000880577
0.31,0.000915082
0.32,0.000952161
0.33,0.000988532
0.34,0.000999974
0.35,0.000999973
0.36,0.000999973
0.37,0.000999974
0.38,0.000999973
0.39,0.000999973
0.4,0.000999973
0.41,0.000999973
0.42,0.000999972
0.43,0.000999973
0.44,0.000999973
0.45,0.000999972
0.46,0.000999973
0.47,0.000999973
0.48,0.000999973
0.49,0.000999973
0.5,0.000999973
0.51,0.000999973
0.52,0.000999973
0.53,0.000999973
0.54,0.000999973
0.55,0.000999973
0.56,0.000999973
0.57,0.000999973
0.58,0.000999973
0.59,0.000999973
0.6,0.000999973
0.61,0.000999973
0.62,0.000999974
0.63,0.000999973
0.64,0.000999974
0.65,0.000999973
0.66,0.000999973
0.67,0.000999973
0.68,0.000999973
0.69,0.000999973
0.7,0.000999974
0.71,0.000999973
0.72,0.000999973
0.73,0.000999973
0.74,0.000999973
0.75,0.000999973
0.76,0.000999974
0.77,0.000999973
0.78,0.000999973
0.79,0.000999973
0.8,0.000999973
0.81,0.000999974
0.82,0.000999973
0.83,0.000999972
0.84,0.000999973
0.85,0.000999973
0.86,0.000999974
0.87,0.000999974
0.88,0.000999973
0.89,0.000999973
0.9,0.000999973
0.91,0.000999973
0.92,0.000999973
0.93,0.000999974
0.94,0.000999973
0.95,0.000999973
0.96,0.000999974
0.97,0.000999973
0.98,0.000999973
0.99,0.000999973
1,0.000999973
1,0.000999973
0.99,0.000999973
0.98,0.000999973
0.97,0.000999973
0.96,0.000999973
0.95,0.000999973
0.94,0.000999973
0.93,0.000999974
0.92,0.000999974
0.91,0.000999974
0.9,0.000999974
0.89,0.000999973
0.88,0.000999973
0.87,0.000999973
0.86,0.000999973
0.85,0.000999973
0.84,0.000999974
0.83,0.000999974
0.82,0.000999973
0.81,0.000999974
0.8,0.000999974
0.79,0.000999973
0.78,0.000999974
0.77,0.000999973
0.76,0.000999974
0.75,0.000999973
0.74,0.000999973
0.73,0.000999974
0.72,0.000999974
0.71,0.000999973
0.7,0.000999975
0.69,0.000999974
0.68,0.000999974
0.67,0.000999974
0.66,0.000999974
0.65,0.000999974
0.64,0.000999974
0.63,0.000999975
0.62,0.000999974
0.61,0.000999974
0.6,0.000999974
0.59,0.000999974
0.58,0.000999974
0.57,0.000999974
0.56,0.000999973
0.55,0.000999974
0.54,0.000999974
0.53,0.000999974
0.52,0.000999974
0.51,0.000999974
0.5,0.000999974
0.49,0.000999973
0.48,0.000999974
0.47,0.000999974
0.46,0.000999974
0.45,0.000999974
0.44,0.000999975
0.43,0.000999974
0.42,0.000999974
0.41,0.000999974
0.4,0.000999974
0.39,0.000999974
0.38,0.000999974
0.37,0.000999973
0.36,0.000999973
0.35,0.000999974
0.34,0.000999188
0.33,0.000962481
0.32,0.000927371
0.31,0.000894455
0.3,0.000859687
0.29,0.000826494
0.28,0.000792933
0.27,0.00076004
0.26,0.000727782
0.25,0.000695646
0.24,0.000663905
0.23,0.000632886
0.22,0.000602186
0.21,0.000572283
0.2,0.000543389
0.19,0.000514216
0.18,0.000484769
0.17,0.00045602
0.16,0.00042705
0.15,0.000399098
0.14,0.000371364
0.13,0.000344535
0.12,0.000317524
0.11,0.000290984
0.1,0.00026453
0.09,0.000238329
0.08,0.000211554
0.07,0.000184916
0.06,0.000158867
0.05,0.000132462
0.04,0.000106184
0.03,7.9719E-05
0.02,5.3469E-05
0.01,2.6796E-05
0,-2.13546E-07
