Setup title,C-V_device2_100k_500k_1M_dark_post_IV
Classic test name,"C-V Sweep"
Test date,3/22/2023
Test time,16:41:31
Device ID,2
Count,1
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-6
Measurement.Primary.Stop,2.5
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,100000,500000,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-6,3.42411E-10
-5.99,3.43245E-10
-5.98,3.43895E-10
-5.97,3.44169E-10
-5.96,3.4463E-10
-5.95,3.44723E-10
-5.94,3.44942E-10
-5.93,3.45247E-10
-5.92,3.45248E-10
-5.91,3.45461E-10
-5.9,3.45523E-10
-5.89,3.45792E-10
-5.88,3.45782E-10
-5.87,3.45969E-10
-5.86,3.46282E-10
-5.85,3.46108E-10
-5.84,3.46577E-10
-5.83,3.46646E-10
-5.82,3.46679E-10
-5.81,3.46974E-10
-5.8,3.4698E-10
-5.79,3.47281E-10
-5.78,3.47473E-10
-5.77,3.47434E-10
-5.76,3.47744E-10
-5.75,3.47541E-10
-5.74,3.47887E-10
-5.73,3.47996E-10
-5.72,3.48012E-10
-5.71,3.48263E-10
-5.7,3.48242E-10
-5.69,3.48601E-10
-5.68,3.48723E-10
-5.67,3.48878E-10
-5.66,3.49031E-10
-5.65,3.48889E-10
-5.64,3.49337E-10
-5.63,3.49139E-10
-5.62,3.49566E-10
-5.61,3.4963E-10
-5.6,3.49738E-10
-5.59,3.50028E-10
-5.58,3.49919E-10
-5.57,3.50037E-10
-5.56,3.50396E-10
-5.55,3.50517E-10
-5.54,3.5054E-10
-5.53,3.50893E-10
-5.52,3.50913E-10
-5.51,3.51039E-10
-5.5,3.51281E-10
-5.49,3.51552E-10
-5.48,3.51448E-10
-5.47,3.51537E-10
-5.46,3.51867E-10
-5.45,3.51747E-10
-5.44,3.52147E-10
-5.43,3.5205E-10
-5.42,3.52348E-10
-5.41,3.5237E-10
-5.4,3.52391E-10
-5.39,3.52779E-10
-5.38,3.52659E-10
-5.37,3.53081E-10
-5.36,3.5324E-10
-5.35,3.53334E-10
-5.34,3.53453E-10
-5.33,3.53783E-10
-5.32,3.53857E-10
-5.31,3.54174E-10
-5.3,3.54027E-10
-5.29,3.54385E-10
-5.28,3.54435E-10
-5.27,3.54769E-10
-5.26,3.54948E-10
-5.25,3.54922E-10
-5.24,3.55235E-10
-5.23,3.55275E-10
-5.22,3.55563E-10
-5.21,3.55654E-10
-5.2,3.55977E-10
-5.19,3.56039E-10
-5.18,3.56167E-10
-5.17,3.5646E-10
-5.16,3.56497E-10
-5.15,3.56734E-10
-5.14,3.57067E-10
-5.13,3.57071E-10
-5.12,3.57616E-10
-5.11,3.57544E-10
-5.1,3.57773E-10
-5.09,3.58009E-10
-5.08,3.57954E-10
-5.07,3.5839E-10
-5.06,3.58305E-10
-5.05,3.58714E-10
-5.04,3.58894E-10
-5.03,3.58879E-10
-5.02,3.5943E-10
-5.01,3.59456E-10
-5,3.59775E-10
-4.99,3.60071E-10
-4.98,3.59983E-10
-4.97,3.60431E-10
-4.96,3.60499E-10
-4.95,3.60928E-10
-4.94,3.61009E-10
-4.93,3.61276E-10
-4.92,3.61524E-10
-4.91,3.61771E-10
-4.9,3.62085E-10
-4.89,3.62267E-10
-4.88,3.62598E-10
-4.87,3.62927E-10
-4.86,3.62934E-10
-4.85,3.63246E-10
-4.84,3.63455E-10
-4.83,3.6393E-10
-4.82,3.64088E-10
-4.81,3.64401E-10
-4.8,3.64622E-10
-4.79,3.64784E-10
-4.78,3.65244E-10
-4.77,3.65337E-10
-4.76,3.65692E-10
-4.75,3.66096E-10
-4.74,3.66182E-10
-4.73,3.66673E-10
-4.72,3.67043E-10
-4.71,3.671E-10
-4.7,3.67614E-10
-4.69,3.67875E-10
-4.68,3.68203E-10
-4.67,3.68714E-10
-4.66,3.68716E-10
-4.65,3.69274E-10
-4.64,3.69546E-10
-4.63,3.69704E-10
-4.62,3.70298E-10
-4.61,3.70195E-10
-4.6,3.70862E-10
-4.59,3.70975E-10
-4.58,3.71477E-10
-4.57,3.7181E-10
-4.56,3.72265E-10
-4.55,3.72692E-10
-4.54,3.73009E-10
-4.53,3.7342E-10
-4.52,3.73903E-10
-4.51,3.74098E-10
-4.5,3.74595E-10
-4.49,3.74975E-10
-4.48,3.75355E-10
-4.47,3.7565E-10
-4.46,3.75834E-10
-4.45,3.76623E-10
-4.44,3.76834E-10
-4.43,3.77289E-10
-4.42,3.7785E-10
-4.41,3.78061E-10
-4.4,3.78595E-10
-4.39,3.78848E-10
-4.38,3.79422E-10
-4.37,3.79912E-10
-4.36,3.80192E-10
-4.35,3.80716E-10
-4.34,3.81267E-10
-4.33,3.81786E-10
-4.32,3.82174E-10
-4.31,3.82647E-10
-4.3,3.83043E-10
-4.29,3.83415E-10
-4.28,3.84001E-10
-4.27,3.84577E-10
-4.26,3.8518E-10
-4.25,3.85666E-10
-4.24,3.86118E-10
-4.23,3.86599E-10
-4.22,3.87176E-10
-4.21,3.87707E-10
-4.2,3.88261E-10
-4.19,3.8857E-10
-4.18,3.89382E-10
-4.17,3.89614E-10
-4.16,3.9005E-10
-4.15,3.90758E-10
-4.14,3.91126E-10
-4.13,3.91955E-10
-4.12,3.92427E-10
-4.11,3.92897E-10
-4.1,3.93584E-10
-4.09,3.93849E-10
-4.08,3.94636E-10
-4.07,3.95049E-10
-4.06,3.95645E-10
-4.05,3.96254E-10
-4.04,3.96746E-10
-4.03,3.97449E-10
-4.02,3.97695E-10
-4.01,3.98411E-10
-4,3.99063E-10
-3.99,3.99106E-10
-3.98,3.99912E-10
-3.97,4.00197E-10
-3.96,4.00936E-10
-3.95,4.01399E-10
-3.94,4.0207E-10
-3.93,4.02567E-10
-3.92,4.02912E-10
-3.91,4.03752E-10
-3.9,4.0389E-10
-3.89,4.04537E-10
-3.88,4.05276E-10
-3.87,4.05409E-10
-3.86,4.06046E-10
-3.85,4.06357E-10
-3.84,4.07048E-10
-3.83,4.07783E-10
-3.82,4.07882E-10
-3.81,4.08664E-10
-3.8,4.08756E-10
-3.79,4.09378E-10
-3.78,4.10209E-10
-3.77,4.10335E-10
-3.76,4.11024E-10
-3.75,4.11382E-10
-3.74,4.11799E-10
-3.73,4.12277E-10
-3.72,4.12417E-10
-3.71,4.13229E-10
-3.7,4.13382E-10
-3.69,4.13879E-10
-3.68,4.14212E-10
-3.67,4.14541E-10
-3.66,4.15178E-10
-3.65,4.15313E-10
-3.64,4.15746E-10
-3.63,4.16122E-10
-3.62,4.16313E-10
-3.61,4.17014E-10
-3.6,4.17229E-10
-3.59,4.17927E-10
-3.58,4.1821E-10
-3.57,4.18517E-10
-3.56,4.18811E-10
-3.55,4.19053E-10
-3.54,4.19479E-10
-3.53,4.1968E-10
-3.52,4.2002E-10
-3.51,4.20388E-10
-3.5,4.20449E-10
-3.49,4.21098E-10
-3.48,4.21315E-10
-3.47,4.21742E-10
-3.46,4.22213E-10
-3.45,4.21959E-10
-3.44,4.22463E-10
-3.43,4.22574E-10
-3.42,4.23043E-10
-3.41,4.23528E-10
-3.4,4.23554E-10
-3.39,4.23901E-10
-3.38,4.24001E-10
-3.37,4.24151E-10
-3.36,4.24462E-10
-3.35,4.24576E-10
-3.34,4.2513E-10
-3.33,4.25084E-10
-3.32,4.25595E-10
-3.31,4.2565E-10
-3.3,4.25701E-10
-3.29,4.26185E-10
-3.28,4.2609E-10
-3.27,4.26619E-10
-3.26,4.26699E-10
-3.25,4.26725E-10
-3.24,4.27271E-10
-3.23,4.2696E-10
-3.22,4.27545E-10
-3.21,4.27407E-10
-3.2,4.27576E-10
-3.19,4.27847E-10
-3.18,4.27671E-10
-3.17,4.28323E-10
-3.16,4.28444E-10
-3.15,4.28292E-10
-3.14,4.28711E-10
-3.13,4.28502E-10
-3.12,4.28983E-10
-3.11,4.28999E-10
-3.1,4.29111E-10
-3.09,4.29335E-10
-3.08,4.29424E-10
-3.07,4.29598E-10
-3.06,4.29529E-10
-3.05,4.29678E-10
-3.04,4.30137E-10
-3.03,4.29824E-10
-3.02,4.30236E-10
-3.01,4.30073E-10
-3,4.30449E-10
-2.99,4.30563E-10
-2.98,4.30393E-10
-2.97,4.30803E-10
-2.96,4.3064E-10
-2.95,4.30821E-10
-2.94,4.30963E-10
-2.93,4.30923E-10
-2.92,4.31354E-10
-2.91,4.31269E-10
-2.9,4.31393E-10
-2.89,4.31425E-10
-2.88,4.3136E-10
-2.87,4.31781E-10
-2.86,4.31427E-10
-2.85,4.31682E-10
-2.84,4.31823E-10
-2.83,4.31773E-10
-2.82,4.32061E-10
-2.81,4.31844E-10
-2.8,4.32352E-10
-2.79,4.32077E-10
-2.78,4.32021E-10
-2.77,4.32451E-10
-2.76,4.32417E-10
-2.75,4.32557E-10
-2.74,4.32588E-10
-2.73,4.32509E-10
-2.72,4.3287E-10
-2.71,4.32466E-10
-2.7,4.32684E-10
-2.69,4.32861E-10
-2.68,4.32722E-10
-2.67,4.32938E-10
-2.66,4.32741E-10
-2.65,4.32949E-10
-2.64,4.33013E-10
-2.63,4.32803E-10
-2.62,4.33114E-10
-2.61,4.32967E-10
-2.6,4.33134E-10
-2.59,4.33117E-10
-2.58,4.33132E-10
-2.57,4.33415E-10
-2.56,4.33399E-10
-2.55,4.33441E-10
-2.54,4.3326E-10
-2.53,4.33477E-10
-2.52,4.33513E-10
-2.51,4.33294E-10
-2.5,4.33501E-10
-2.49,4.3353E-10
-2.48,4.33525E-10
-2.47,4.3388E-10
-2.46,4.33468E-10
-2.45,4.33875E-10
-2.44,4.33458E-10
-2.43,4.33709E-10
-2.42,4.33739E-10
-2.41,4.33597E-10
-2.4,4.34112E-10
-2.39,4.3379E-10
-2.38,4.33881E-10
-2.37,4.3391E-10
-2.36,4.336E-10
-2.35,4.3402E-10
-2.34,4.33787E-10
-2.33,4.34036E-10
-2.32,4.34159E-10
-2.31,4.33774E-10
-2.3,4.34233E-10
-2.29,4.33986E-10
-2.28,4.34224E-10
-2.27,4.34296E-10
-2.26,4.34141E-10
-2.25,4.3437E-10
-2.24,4.34111E-10
-2.23,4.34149E-10
-2.22,4.34649E-10
-2.21,4.34109E-10
-2.2,4.34483E-10
-2.19,4.34178E-10
-2.18,4.34357E-10
-2.17,4.34236E-10
-2.16,4.34364E-10
-2.15,4.3456E-10
-2.14,4.34305E-10
-2.13,4.34367E-10
-2.12,4.34304E-10
-2.11,4.34423E-10
-2.1,4.34628E-10
-2.09,4.34551E-10
-2.08,4.34496E-10
-2.07,4.34406E-10
-2.06,4.34372E-10
-2.05,4.34676E-10
-2.04,4.34388E-10
-2.03,4.34689E-10
-2.02,4.34695E-10
-2.01,4.34392E-10
-2,4.34798E-10
-1.99,4.34453E-10
-1.98,4.34786E-10
-1.97,4.34832E-10
-1.96,4.34782E-10
-1.95,4.34735E-10
-1.94,4.34441E-10
-1.93,4.34839E-10
-1.92,4.34745E-10
-1.91,4.34803E-10
-1.9,4.3492E-10
-1.89,4.34702E-10
-1.88,4.34819E-10
-1.87,4.34747E-10
-1.86,4.3506E-10
-1.85,4.34906E-10
-1.84,4.34602E-10
-1.83,4.35016E-10
-1.82,4.34881E-10
-1.81,4.34773E-10
-1.8,4.34935E-10
-1.79,4.34847E-10
-1.78,4.35119E-10
-1.77,4.34893E-10
-1.76,4.34946E-10
-1.75,4.3498E-10
-1.74,4.34986E-10
-1.73,4.35007E-10
-1.72,4.34907E-10
-1.71,4.3497E-10
-1.7,4.34973E-10
-1.69,4.34885E-10
-1.68,4.35211E-10
-1.67,4.35E-10
-1.66,4.35064E-10
-1.65,4.34904E-10
-1.64,4.34924E-10
-1.63,4.35079E-10
-1.62,4.34935E-10
-1.61,4.3525E-10
-1.6,4.35164E-10
-1.59,4.35071E-10
-1.58,4.3536E-10
-1.57,4.3507E-10
-1.56,4.35408E-10
-1.55,4.35048E-10
-1.54,4.35183E-10
-1.53,4.35218E-10
-1.52,4.35137E-10
-1.51,4.35281E-10
-1.5,4.35233E-10
-1.49,4.35244E-10
-1.48,4.35317E-10
-1.47,4.35034E-10
-1.46,4.35415E-10
-1.45,4.3516E-10
-1.44,4.3533E-10
-1.43,4.35362E-10
-1.42,4.35189E-10
-1.41,4.35535E-10
-1.4,4.35295E-10
-1.39,4.35401E-10
-1.38,4.35326E-10
-1.37,4.35268E-10
-1.36,4.35497E-10
-1.35,4.35254E-10
-1.34,4.35558E-10
-1.33,4.35301E-10
-1.32,4.35414E-10
-1.31,4.35575E-10
-1.3,4.35058E-10
-1.29,4.35572E-10
-1.28,4.35395E-10
-1.27,4.35428E-10
-1.26,4.35591E-10
-1.25,4.35204E-10
-1.24,4.35611E-10
-1.23,4.35347E-10
-1.22,4.35401E-10
-1.21,4.35545E-10
-1.2,4.35283E-10
-1.19,4.35598E-10
-1.18,4.35484E-10
-1.17,4.35475E-10
-1.16,4.35611E-10
-1.15,4.35327E-10
-1.14,4.35619E-10
-1.13,4.35288E-10
-1.12,4.35667E-10
-1.11,4.35477E-10
-1.1,4.35412E-10
-1.09,4.35739E-10
-1.08,4.35479E-10
-1.07,4.35372E-10
-1.06,4.35672E-10
-1.05,4.3561E-10
-1.04,4.35678E-10
-1.03,4.35423E-10
-1.02,4.35596E-10
-1.01,4.35594E-10
-1,4.35672E-10
-0.99,4.35782E-10
-0.98,4.35596E-10
-0.97,4.35714E-10
-0.96,4.35557E-10
-0.95,4.35616E-10
-0.94,4.35654E-10
-0.93,4.35596E-10
-0.92,4.35773E-10
-0.91,4.35591E-10
-0.9,4.35623E-10
-0.89,4.36028E-10
-0.88,4.35594E-10
-0.87,4.35789E-10
-0.86,4.35546E-10
-0.85,4.3555E-10
-0.84,4.35726E-10
-0.83,4.35782E-10
-0.82,4.35909E-10
-0.81,4.3545E-10
-0.8,4.35707E-10
-0.79,4.35744E-10
-0.78,4.35619E-10
-0.77,4.36E-10
-0.76,4.35647E-10
-0.75,4.35771E-10
-0.74,4.35883E-10
-0.73,4.35511E-10
-0.72,4.3592E-10
-0.71,4.35659E-10
-0.7,4.35851E-10
-0.69,4.35863E-10
-0.68,4.35642E-10
-0.67,4.35945E-10
-0.66,4.35729E-10
-0.65,4.35798E-10
-0.64,4.35726E-10
-0.63,4.35706E-10
-0.62,4.35999E-10
-0.61,4.35687E-10
-0.6,4.35891E-10
-0.59,4.3594E-10
-0.58,4.35598E-10
-0.57,4.35956E-10
-0.56,4.35769E-10
-0.55,4.36028E-10
-0.54,4.35985E-10
-0.53,4.35743E-10
-0.52,4.36098E-10
-0.51,4.35714E-10
-0.5,4.35958E-10
-0.49,4.36059E-10
-0.48,4.35827E-10
-0.47,4.35978E-10
