Setup title,"I/V Sweep_device2_light"
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,16:50:18
Device ID,2
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,3.9609E-10
0.01,4.3832E-10
0.02,5.2835E-10
0.03,5.3213E-10
0.04,5.7544E-10
0.05,6.2833E-10
0.06,6.1047E-10
0.07,6.1684E-10
0.08,7.13E-10
0.09,6.6949E-10
0.1,8.3831E-10
0.11,9.0718E-10
0.12,8.6561E-10
0.13,8.6856E-10
0.14,8.1449E-10
0.15,8.4004E-10
0.16,8.9212E-10
0.17,9.7909E-10
0.18,1.03675E-09
0.19,1.05106E-09
0.2,1.19853E-09
0.21,1.11857E-09
0.22,1.20119E-09
0.23,1.18144E-09
0.24,1.19556E-09
0.25,1.16156E-09
0.26,1.37212E-09
0.27,1.36796E-09
0.28,1.42409E-09
0.29,1.55759E-09
0.3,1.5116E-09
0.31,1.47371E-09
0.32,1.34308E-09
0.33,1.33367E-09
0.34,1.43984E-09
0.35,1.54744E-09
0.36,1.45749E-09
0.37,1.37425E-09
0.38,1.24192E-09
0.39,1.32399E-09
0.4,1.37828E-09
0.41,1.396E-09
0.42,1.29588E-09
0.43,1.38231E-09
0.44,1.58766E-09
0.45,1.63354E-09
0.46,1.60245E-09
0.47,1.44574E-09
0.48,1.59772E-09
0.49,1.60236E-09
0.5,1.69067E-09
0.51,1.79354E-09
0.52,1.75381E-09
0.53,1.73746E-09
0.54,1.83833E-09
0.55,1.7391E-09
0.56,1.68973E-09
0.57,1.66654E-09
0.58,1.62735E-09
0.59,1.67019E-09
0.6,1.6128E-09
0.61,1.74184E-09
0.62,1.82346E-09
0.63,1.75554E-09
0.64,1.7049E-09
0.65,1.79935E-09
0.66,1.87117E-09
0.67,1.90259E-09
0.68,1.81738E-09
0.69,1.87173E-09
0.7,1.86416E-09
0.71,1.8667E-09
0.72,1.95223E-09
0.73,1.98912E-09
0.74,1.9758E-09
0.75,1.95853E-09
0.76,1.95412E-09
0.77,1.97372E-09
0.78,1.88254E-09
0.79,1.92876E-09
0.8,2.03994E-09
0.81,1.97925E-09
0.82,2.03865E-09
0.83,2.20223E-09
0.84,2.20502E-09
0.85,2.21142E-09
0.86,2.09155E-09
0.87,2.13017E-09
0.88,2.21492E-09
0.89,2.2213E-09
0.9,2.13602E-09
0.91,2.08629E-09
0.92,2.38726E-09
0.93,2.44314E-09
0.94,2.35311E-09
0.95,2.34163E-09
0.96,2.15789E-09
0.97,2.12312E-09
0.98,2.21367E-09
0.99,2.31177E-09
1,2.25682E-09
1,2.44506E-09
0.99,2.18895E-09
0.98,2.15297E-09
0.97,2.10889E-09
0.96,2.01981E-09
0.95,2.027E-09
0.94,2.00319E-09
0.93,2.03031E-09
0.92,1.95084E-09
0.91,1.8349E-09
0.9,1.91609E-09
0.89,2.15063E-09
0.88,2.03337E-09
0.87,1.83536E-09
