Setup title,I_V_0_-1.2_dark
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,17:32:22
Device ID,3
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1.2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,8.37E-12
-0.01,-7.458E-11
-0.02,-1.5893E-10
-0.03,-2.7383E-10
-0.04,-4.1221E-10
-0.05,-5.4469E-10
-0.06,-6.6324E-10
-0.07,-9.9305E-10
-0.08,-1.33234E-09
-0.09,-1.64604E-09
-0.1,-2.02933E-09
-0.11,-2.5326E-09
-0.12,-3.11235E-09
-0.13,-3.60871E-09
-0.14,-4.02501E-09
-0.15,-4.74217E-09
-0.16,-5.76522E-09
-0.17,-6.29851E-09
-0.18,-6.77994E-09
-0.19,-6.9981E-09
-0.2,-7.3166E-09
-0.21,-8.6759E-09
-0.22,-9.8505E-09
-0.23,-1.05953E-08
-0.24,-1.10185E-08
-0.25,-1.20713E-08
-0.26,-1.28037E-08
-0.27,-1.30521E-08
-0.28,-1.38736E-08
-0.29,-1.51679E-08
-0.3,-1.66623E-08
-0.31,-1.62275E-08
-0.32,-1.66697E-08
-0.33,-1.74203E-08
-0.34,-1.77419E-08
-0.35,-1.91301E-08
-0.36,-1.95073E-08
-0.37,-2.16429E-08
-0.38,-2.14623E-08
-0.39,-2.13389E-08
-0.4,-2.19856E-08
-0.41,-2.22256E-08
-0.42,-2.42834E-08
-0.43,-2.49251E-08
-0.44,-2.61199E-08
-0.45,-2.60905E-08
-0.46,-2.71793E-08
-0.47,-2.72613E-08
-0.48,-2.73521E-08
-0.49,-2.94945E-08
-0.5,-2.9536E-08
-0.51,-3.06338E-08
-0.52,-3.02696E-08
-0.53,-3.00641E-08
-0.54,-3.23218E-08
-0.55,-3.27699E-08
-0.56,-3.42496E-08
-0.57,-3.42828E-08
-0.58,-3.48846E-08
-0.59,-3.59914E-08
-0.6,-3.75643E-08
-0.61,-3.76202E-08
-0.62,-3.77638E-08
-0.63,-3.8718E-08
-0.64,-3.85144E-08
-0.65,-3.96351E-08
-0.66,-4.16439E-08
-0.67,-3.98528E-08
-0.68,-4.17091E-08
-0.69,-4.21878E-08
-0.7,-4.29466E-08
-0.71,-4.28924E-08
-0.72,-4.30195E-08
-0.73,-4.52633E-08
-0.74,-4.48712E-08
-0.75,-4.66488E-08
-0.76,-4.68209E-08
-0.77,-4.68856E-08
-0.78,-4.99532E-08
-0.79,-4.94593E-08
-0.8,-4.89011E-08
-0.81,-5.0456E-08
-0.82,-5.0532E-08
-0.83,-5.24276E-08
-0.84,-5.29125E-08
-0.85,-5.47344E-08
-0.86,-5.37415E-08
-0.87,-5.47651E-08
-0.88,-5.51974E-08
-0.89,-5.53584E-08
-0.9,-5.74927E-08
-0.91,-5.76162E-08
-0.92,-5.83037E-08
-0.93,-5.91758E-08
-0.94,-5.96668E-08
-0.95,-5.90141E-08
-0.96,-5.93343E-08
-0.97,-6.19817E-08
