Setup title,I_V_0_-1_dark
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,17:30:01
Device ID,3
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.014E-11
-0.01,-7.093E-11
-0.02,-1.7803E-10
-0.03,-2.7942E-10
-0.04,-4.3676E-10
-0.05,-6.0816E-10
-0.06,-7.0387E-10
-0.07,-1.01151E-09
-0.08,-1.304E-09
-0.09,-1.56178E-09
-0.1,-2.06565E-09
-0.11,-2.44101E-09
-0.12,-2.90637E-09
-0.13,-3.6518E-09
-0.14,-4.49373E-09
-0.15,-4.85457E-09
-0.16,-5.73854E-09
-0.17,-6.47024E-09
-0.18,-7.2003E-09
-0.19,-8.0201E-09
-0.2,-8.4269E-09
-0.21,-9.1356E-09
-0.22,-1.00286E-08
-0.23,-1.07065E-08
-0.24,-1.20828E-08
-0.25,-1.27537E-08
-0.26,-1.26117E-08
-0.27,-1.30698E-08
-0.28,-1.40602E-08
-0.29,-1.51958E-08
-0.3,-1.59948E-08
-0.31,-1.70101E-08
-0.32,-1.67299E-08
-0.33,-1.78737E-08
-0.34,-1.93364E-08
-0.35,-1.99777E-08
-0.36,-2.03155E-08
-0.37,-2.10489E-08
-0.38,-2.12594E-08
-0.39,-2.20495E-08
-0.4,-2.26166E-08
-0.41,-2.33255E-08
-0.42,-2.44323E-08
-0.43,-2.46683E-08
-0.44,-2.51701E-08
-0.45,-2.61661E-08
-0.46,-2.64482E-08
-0.47,-2.87395E-08
-0.48,-2.85794E-08
-0.49,-2.9221E-08
-0.5,-3.00031E-08
-0.51,-3.06857E-08
-0.52,-2.99339E-08
-0.53,-3.06879E-08
-0.54,-3.1747E-08
-0.55,-3.28251E-08
-0.56,-3.31277E-08
-0.57,-3.38835E-08
-0.58,-3.53215E-08
-0.59,-3.6038E-08
-0.6,-3.63333E-08
-0.61,-3.66198E-08
-0.62,-3.69636E-08
-0.63,-3.81984E-08
-0.64,-3.92749E-08
-0.65,-4.02408E-08
-0.66,-4.10985E-08
-0.67,-4.10979E-08
-0.68,-4.16811E-08
-0.69,-4.1568E-08
-0.7,-4.29088E-08
-0.71,-4.41191E-08
-0.72,-4.31073E-08
-0.73,-4.57407E-08
-0.74,-4.62918E-08
-0.75,-4.7755E-08
-0.76,-4.66451E-08
-0.77,-4.77591E-08
-0.78,-4.79278E-08
-0.79,-4.91286E-08
-0.8,-5.34765E-08
-0.81,-5.2061E-08
-0.82,-4.96953E-08
-0.83,-5.16908E-08
-0.84,-5.26527E-08
-0.85,-5.26156E-08
-0.86,-5.30568E-08
-0.87,-5.48331E-08
-0.88,-5.44767E-08
-0.89,-5.6576E-08
-0.9,-5.68878E-08
-0.91,-5.72795E-08
-0.92,-5.61721E-08
-0.93,-5.8712E-08
-0.94,-5.99066E-08
-0.95,-5.93106E-08
-0.96,-6.03303E-08
-0.97,-6.15021E-08
