Setup title,I_V_0_1_dark
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,17:28:47
Device ID,3
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.996E-11
0.01,9.515E-11
0.02,1.7232E-10
0.03,2.5529E-10
0.04,3.2697E-10
0.05,3.26E-10
0.06,3.8151E-10
0.07,3.976E-10
0.08,4.3339E-10
0.09,5.1175E-10
0.1,4.9644E-10
0.11,5.6787E-10
0.12,6.0156E-10
0.13,5.4711E-10
0.14,5.9204E-10
0.15,5.804E-10
0.16,6.6316E-10
0.17,6.8734E-10
0.18,7.1858E-10
0.19,7.2458E-10
0.2,7.1854E-10
0.21,7.0681E-10
0.22,6.923E-10
0.23,7.8136E-10
0.24,7.6051E-10
0.25,7.4703E-10
0.26,7.7373E-10
0.27,7.5998E-10
0.28,7.9236E-10
0.29,8.2847E-10
0.3,7.9434E-10
0.31,7.2288E-10
0.32,7.6785E-10
0.33,8.1812E-10
0.34,8.3921E-10
0.35,8.5548E-10
0.36,9.3994E-10
0.37,1.02335E-09
0.38,9.6796E-10
0.39,9.8073E-10
0.4,1.10349E-09
0.41,1.0626E-09
0.42,1.04349E-09
0.43,1.15279E-09
0.44,1.20993E-09
0.45,1.22317E-09
0.46,1.29073E-09
0.47,1.33092E-09
0.48,1.28437E-09
0.49,1.29513E-09
0.5,1.30167E-09
0.51,1.24685E-09
0.52,1.33509E-09
0.53,1.41569E-09
0.54,1.42779E-09
0.55,1.44035E-09
0.56,1.43349E-09
0.57,1.39466E-09
0.58,1.50613E-09
0.59,1.52858E-09
0.6,1.38253E-09
0.61,1.46568E-09
0.62,1.409E-09
0.63,1.37981E-09
0.64,1.41355E-09
0.65,1.48349E-09
0.66,1.38978E-09
0.67,1.54014E-09
0.68,1.58014E-09
0.69,1.62704E-09
0.7,1.56876E-09
0.71,1.56377E-09
0.72,1.55348E-09
0.73,1.5155E-09
0.74,1.48836E-09
0.75,1.53665E-09
0.76,1.50998E-09
0.77,1.49649E-09
0.78,1.54786E-09
0.79,1.42483E-09
0.8,1.58102E-09
0.81,1.60386E-09
0.82,1.64019E-09
0.83,1.68821E-09
0.84,1.7037E-09
0.85,1.66341E-09
0.86,1.7105E-09
0.87,1.70938E-09
0.88,1.66439E-09
0.89,1.50595E-09
0.9,1.55212E-09
0.91,1.6188E-09
0.92,1.53063E-09
0.93,1.40486E-09
0.94,1.34733E-09
0.95,1.35128E-09
0.96,1.3217E-09
0.97,1.20668E-09
0.98,1.28603E-09
0.99,1.30229E-09
1,1.27159E-09
1,1.23647E-09
0.99,1.21725E-09
0.98,1.23286E-09
0.97,1.22267E-09
0.96,1.23594E-09
0.95,1.18421E-09
0.94,1.1646E-09
0.93,1.09175E-09
0.92,1.09196E-09
0.91,1.12712E-09
0.9,1.13246E-09
0.89,1.06971E-09
0.88,1.05758E-09
0.87,1.05E-09
