Setup title,I_V_light_0_-1
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,17:52:14
Device ID,3
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-1
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,2.136E-11
-0.01,-1.4157E-10
-0.02,-3.5144E-10
-0.03,-6.0724E-10
-0.04,-8.237E-10
-0.05,-1.11217E-09
-0.06,-1.37281E-09
-0.07,-1.77906E-09
-0.08,-2.18764E-09
-0.09,-2.70446E-09
-0.1,-3.17323E-09
-0.11,-3.88008E-09
-0.12,-4.59993E-09
-0.13,-4.90623E-09
-0.14,-5.72777E-09
-0.15,-6.83492E-09
-0.16,-7.5E-09
-0.17,-8.167E-09
-0.18,-8.7754E-09
-0.19,-9.4673E-09
-0.2,-1.02599E-08
-0.21,-1.12723E-08
-0.22,-1.22614E-08
-0.23,-1.26376E-08
-0.24,-1.32473E-08
-0.25,-1.38674E-08
-0.26,-1.49319E-08
-0.27,-1.5395E-08
-0.28,-1.7062E-08
-0.29,-1.76846E-08
-0.3,-1.79969E-08
-0.31,-1.85567E-08
-0.32,-1.97392E-08
-0.33,-2.04238E-08
-0.34,-2.13518E-08
-0.35,-2.22314E-08
-0.36,-2.2606E-08
-0.37,-2.26222E-08
-0.38,-2.40634E-08
-0.39,-2.39107E-08
-0.4,-2.54236E-08
-0.41,-2.60179E-08
-0.42,-2.63287E-08
-0.43,-2.73378E-08
-0.44,-2.77044E-08
-0.45,-2.89978E-08
-0.46,-3.03223E-08
-0.47,-3.00619E-08
-0.48,-3.0592E-08
-0.49,-3.12572E-08
-0.5,-3.24524E-08
-0.51,-3.31217E-08
-0.52,-3.34893E-08
-0.53,-3.47106E-08
-0.54,-3.49233E-08
-0.55,-3.54628E-08
-0.56,-3.6299E-08
-0.57,-3.74554E-08
-0.58,-3.81397E-08
-0.59,-3.92669E-08
-0.6,-3.96939E-08
-0.61,-4.05734E-08
-0.62,-4.15297E-08
-0.63,-4.25071E-08
-0.64,-4.22079E-08
-0.65,-4.37932E-08
-0.66,-4.44447E-08
-0.67,-4.62998E-08
-0.68,-4.72819E-08
-0.69,-4.43253E-08
-0.7,-4.63376E-08
-0.71,-4.83552E-08
-0.72,-4.99923E-08
-0.73,-5.00614E-08
-0.74,-5.05327E-08
-0.75,-5.18879E-08
-0.76,-5.14014E-08
-0.77,-5.28443E-08
-0.78,-5.34069E-08
-0.79,-5.47007E-08
-0.8,-5.55563E-08
-0.81,-5.84602E-08
-0.82,-5.68029E-08
-0.83,-5.77374E-08
-0.84,-5.91944E-08
-0.85,-5.79498E-08
-0.86,-6.0545E-08
-0.87,-6.1431E-08
-0.88,-6.22256E-08
-0.89,-6.32919E-08
-0.9,-6.35943E-08
-0.91,-6.52966E-08
-0.92,-6.5869E-08
-0.93,-6.76341E-08
-0.94,-6.68526E-08
-0.95,-6.88585E-08
-0.96,-6.93038E-08
-0.97,-7.03562E-08
