Setup title,I_V_light_0_1
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,17:51:12
Device ID,3
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,3.971E-11
0.01,1.8731E-10
0.02,3.0467E-10
0.03,4.177E-10
0.04,4.8294E-10
0.05,5.24E-10
0.06,6.4072E-10
0.07,6.3075E-10
0.08,6.9848E-10
0.09,7.4132E-10
0.1,7.9851E-10
0.11,9.4624E-10
0.12,9.1203E-10
0.13,1.07003E-09
0.14,1.09591E-09
0.15,1.0475E-09
0.16,1.02722E-09
0.17,1.04004E-09
0.18,1.09914E-09
0.19,1.13037E-09
0.2,1.09308E-09
0.21,1.14505E-09
0.22,1.13707E-09
0.23,1.15479E-09
0.24,1.26579E-09
0.25,1.28645E-09
0.26,1.25225E-09
0.27,1.27126E-09
0.28,1.29701E-09
0.29,1.3173E-09
0.3,1.35026E-09
0.31,1.33591E-09
0.32,1.2983E-09
0.33,1.46935E-09
0.34,1.51349E-09
0.35,1.54987E-09
0.36,1.36303E-09
0.37,1.59548E-09
0.38,1.61161E-09
0.39,1.63795E-09
0.4,1.6708E-09
0.41,1.73872E-09
0.42,1.54099E-09
0.43,1.68697E-09
0.44,1.82503E-09
0.45,1.64421E-09
0.46,1.72429E-09
0.47,1.81934E-09
0.48,1.92172E-09
0.49,1.68146E-09
0.5,1.74093E-09
0.51,1.60088E-09
0.52,1.67939E-09
0.53,1.80762E-09
0.54,1.88947E-09
0.55,1.84722E-09
0.56,1.95451E-09
0.57,1.86921E-09
0.58,2.07782E-09
0.59,2.02722E-09
0.6,1.98879E-09
0.61,2.10881E-09
0.62,2.19997E-09
0.63,2.33112E-09
0.64,2.24499E-09
0.65,2.30462E-09
0.66,2.31517E-09
0.67,2.35122E-09
0.68,2.32235E-09
0.69,2.23598E-09
0.7,2.22695E-09
0.71,2.29383E-09
0.72,2.2368E-09
0.73,2.17227E-09
0.74,2.24388E-09
0.75,2.29571E-09
0.76,2.05023E-09
0.77,2.11192E-09
0.78,2.15117E-09
0.79,2.25631E-09
0.8,2.14108E-09
0.81,1.9708E-09
0.82,1.95831E-09
0.83,2.11513E-09
0.84,2.03618E-09
0.85,2.09129E-09
0.86,2.05589E-09
0.87,1.96068E-09
0.88,2.14121E-09
0.89,2.02119E-09
0.9,1.99064E-09
0.91,1.98022E-09
0.92,2.09893E-09
0.93,2.01409E-09
0.94,2.01554E-09
0.95,2.01981E-09
0.96,1.80863E-09
0.97,1.84749E-09
0.98,1.67029E-09
0.99,1.78731E-09
1,1.90237E-09
1,1.72093E-09
0.99,1.7442E-09
0.98,1.83624E-09
0.97,1.68468E-09
0.96,1.87734E-09
0.95,1.79554E-09
0.94,1.78347E-09
0.93,1.62267E-09
0.92,1.62156E-09
0.91,1.55032E-09
0.9,1.48339E-09
0.89,1.56614E-09
0.88,1.58605E-09
0.87,1.57322E-09
