Setup title,I_V_sweep_0_-2.5V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:11:56
Device ID,3
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2.5
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-8.1E-13
-0.01,-8.839E-11
-0.02,-2.0744E-10
-0.03,-3.3739E-10
-0.04,-5.1939E-10
-0.05,-7.9725E-10
-0.06,-1.14597E-09
-0.07,-1.4959E-09
-0.08,-1.82909E-09
-0.09,-2.18439E-09
-0.1,-2.47616E-09
-0.11,-2.80764E-09
-0.12,-3.43152E-09
-0.13,-4.05841E-09
-0.14,-4.74559E-09
-0.15,-5.41718E-09
-0.16,-6.13463E-09
-0.17,-6.77094E-09
-0.18,-7.32654E-09
-0.19,-8.2933E-09
-0.2,-8.7886E-09
-0.21,-9.5107E-09
-0.22,-1.05561E-08
-0.23,-1.1129E-08
-0.24,-1.24696E-08
-0.25,-1.32158E-08
-0.26,-1.45723E-08
-0.27,-1.46985E-08
-0.28,-1.51222E-08
-0.29,-1.57725E-08
-0.3,-1.68257E-08
-0.31,-1.72672E-08
-0.32,-1.83296E-08
-0.33,-1.91564E-08
-0.34,-1.98947E-08
-0.35,-2.01399E-08
-0.36,-2.14236E-08
-0.37,-2.2138E-08
-0.38,-2.32471E-08
-0.39,-2.33493E-08
-0.4,-2.35856E-08
-0.41,-2.58965E-08
-0.42,-2.4169E-08
-0.43,-2.67081E-08
-0.44,-2.85857E-08
-0.45,-2.84918E-08
-0.46,-2.93742E-08
-0.47,-2.92285E-08
-0.48,-2.93235E-08
-0.49,-3.07055E-08
-0.5,-3.20278E-08
-0.51,-3.34096E-08
-0.52,-3.35486E-08
-0.53,-3.39527E-08
-0.54,-3.51088E-08
-0.55,-3.54436E-08
-0.56,-3.63934E-08
-0.57,-3.69927E-08
-0.58,-3.83879E-08
-0.59,-3.83091E-08
-0.6,-3.80986E-08
-0.61,-3.94517E-08
-0.62,-3.96352E-08
-0.63,-4.05319E-08
-0.64,-4.2925E-08
-0.65,-4.3315E-08
-0.66,-4.23981E-08
-0.67,-4.37752E-08
-0.68,-4.56276E-08
-0.69,-4.52122E-08
-0.7,-4.60905E-08
-0.71,-4.72855E-08
-0.72,-4.77569E-08
-0.73,-4.84363E-08
-0.74,-4.90817E-08
-0.75,-5.03307E-08
-0.76,-5.16061E-08
-0.77,-5.33939E-08
-0.78,-5.44391E-08
-0.79,-5.36681E-08
-0.8,-5.46281E-08
-0.81,-5.65308E-08
-0.82,-5.64225E-08
-0.83,-5.63349E-08
-0.84,-5.76745E-08
-0.85,-5.90406E-08
-0.86,-6.0759E-08
-0.87,-6.02413E-08
-0.88,-6.02097E-08
-0.89,-6.07562E-08
-0.9,-6.40556E-08
-0.91,-6.43099E-08
-0.92,-6.39431E-08
-0.93,-6.52404E-08
-0.94,-6.54002E-08
-0.95,-6.71145E-08
-0.96,-6.84849E-08
