Setup title,I_V_sweep_0_2.5V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:09:30
Device ID,3
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2.5
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.94E-12
0.01,7.107E-11
0.02,1.2199E-10
0.03,1.7959E-10
0.04,2.2057E-10
0.05,2.6667E-10
0.06,2.9775E-10
0.07,3.1839E-10
0.08,3.8788E-10
0.09,3.8846E-10
0.1,4.0748E-10
0.11,4.3959E-10
0.12,4.3696E-10
0.13,4.8793E-10
0.14,4.8201E-10
0.15,4.7428E-10
0.16,4.9818E-10
0.17,5.4713E-10
0.18,5.4838E-10
0.19,5.5412E-10
0.2,5.5374E-10
0.21,5.4464E-10
0.22,5.8181E-10
0.23,6.0967E-10
0.24,5.6362E-10
0.25,6.1685E-10
0.26,6.2356E-10
0.27,6.3522E-10
0.28,6.3188E-10
0.29,7.1888E-10
0.3,7.6272E-10
0.31,7.1338E-10
0.32,7.1145E-10
0.33,7.6461E-10
0.34,7.8647E-10
0.35,7.6868E-10
0.36,7.8136E-10
0.37,7.5597E-10
0.38,7.5969E-10
0.39,7.8316E-10
0.4,8.1039E-10
0.41,8.255E-10
0.42,8.4979E-10
0.43,8.039E-10
0.44,8.6208E-10
0.45,8.302E-10
0.46,8.446E-10
0.47,8.5692E-10
0.48,8.3916E-10
0.49,8.6492E-10
0.5,9.561E-10
0.51,1.00648E-09
0.52,1.00916E-09
0.53,1.04264E-09
0.54,1.08622E-09
0.55,1.10827E-09
0.56,1.01699E-09
0.57,1.01973E-09
0.58,1.05812E-09
0.59,1.00102E-09
0.6,1.14018E-09
0.61,1.10201E-09
0.62,1.08347E-09
0.63,1.08286E-09
0.64,1.0801E-09
0.65,1.11305E-09
0.66,1.04834E-09
0.67,1.01336E-09
0.68,1.05124E-09
0.69,1.05331E-09
0.7,9.9529E-10
0.71,1.03564E-09
0.72,1.05974E-09
0.73,1.11185E-09
0.74,1.13827E-09
0.75,1.09556E-09
0.76,1.07981E-09
0.77,1.11163E-09
0.78,1.10813E-09
0.79,1.12053E-09
0.8,1.16277E-09
0.81,1.10619E-09
0.82,1.08424E-09
0.83,1.13203E-09
0.84,1.0575E-09
0.85,1.10259E-09
0.86,1.07607E-09
0.87,1.13324E-09
0.88,1.14938E-09
0.89,1.10421E-09
0.9,1.1338E-09
0.91,1.2433E-09
0.92,1.18456E-09
0.93,1.13517E-09
0.94,1.12036E-09
0.95,1.0712E-09
0.96,1.02055E-09
0.97,1.08974E-09
0.98,1.07685E-09
0.99,1.0855E-09
1,1.03703E-09
1.01,1.07235E-09
1.02,1.09373E-09
1.03,1.05011E-09
1.04,9.6988E-10
1.05,1.04662E-09
1.06,1.05248E-09
1.07,1.06741E-09
1.08,1.07256E-09
1.09,1.07126E-09
1.1,1.0667E-09
1.11,1.09949E-09
1.12,1.11915E-09
1.13,1.23428E-09
