Setup title,I_V_sweep_0_6V_light
Classic test name,"I/V Sweep"
Test date,3/22/2023
Test time,18:31:53
Device ID,3
Count,6
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,6
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,20
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,20
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-4.65E-12
0.01,5.407E-11
0.02,1.016E-10
0.03,1.457E-10
0.04,1.8108E-10
0.05,2.0186E-10
0.06,1.8954E-10
0.07,2.1771E-10
0.08,2.2765E-10
0.09,2.3084E-10
0.1,2.2602E-10
0.11,2.2685E-10
0.12,2.4852E-10
0.13,2.6885E-10
0.14,2.9311E-10
0.15,2.7038E-10
0.16,2.8157E-10
0.17,2.8984E-10
0.18,2.9643E-10
0.19,2.7458E-10
0.2,2.78E-10
0.21,2.8812E-10
0.22,3.3274E-10
0.23,3.3665E-10
0.24,3.3672E-10
0.25,3.366E-10
0.26,3.5513E-10
0.27,3.9091E-10
0.28,4.2316E-10
0.29,4.1385E-10
0.3,4.2726E-10
0.31,4.2992E-10
0.32,4.3065E-10
0.33,4.4161E-10
0.34,4.3694E-10
0.35,4.0937E-10
0.36,4.3619E-10
0.37,4.24E-10
0.38,4.2083E-10
0.39,4.2605E-10
0.4,4.3114E-10
0.41,4.4497E-10
0.42,4.2854E-10
0.43,4.0211E-10
0.44,4.1203E-10
0.45,4.2434E-10
0.46,3.9779E-10
0.47,3.8332E-10
0.48,3.9021E-10
0.49,3.9265E-10
0.5,3.9553E-10
0.51,3.8039E-10
0.52,3.6245E-10
0.53,3.9561E-10
0.54,4.1809E-10
0.55,3.9797E-10
0.56,3.9594E-10
0.57,4.3028E-10
0.58,4.2855E-10
0.59,4.7989E-10
0.6,4.7587E-10
0.61,4.7855E-10
0.62,5.1628E-10
0.63,5.0277E-10
0.64,5.6351E-10
0.65,6.2619E-10
0.66,6.0784E-10
0.67,5.9616E-10
0.68,6.2125E-10
0.69,6.2553E-10
0.7,6.2463E-10
0.71,5.9499E-10
0.72,5.668E-10
0.73,5.5803E-10
0.74,6.3563E-10
0.75,6.3729E-10
0.76,6.7067E-10
0.77,6.5765E-10
0.78,6.4777E-10
0.79,6.1153E-10
0.8,6.2461E-10
0.81,6.0796E-10
0.82,5.7777E-10
0.83,5.7029E-10
0.84,5.9507E-10
0.85,5.5823E-10
0.86,5.2196E-10
0.87,5.5256E-10
0.88,5.4399E-10
0.89,5.6977E-10
0.9,5.9078E-10
0.91,5.8626E-10
0.92,5.8888E-10
0.93,5.5386E-10
0.94,5.5879E-10
0.95,5.5051E-10
0.96,5.3597E-10
0.97,5.5264E-10
0.98,5.5102E-10
0.99,6.0923E-10
1,6.3932E-10
1.01,6.4858E-10
1.02,6.1123E-10
1.03,6.1377E-10
1.04,5.9335E-10
1.05,5.9941E-10
1.06,6.0502E-10
1.07,6.1625E-10
1.08,6.4569E-10
1.09,5.8373E-10
1.1,5.8834E-10
1.11,6.0049E-10
1.12,5.3456E-10
1.13,5.3816E-10
1.14,5.7746E-10
