Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,121
Base Time Seconds,1682787885
Base Time Fractional,.598809440
Base Time,04/29/2023 17:04:45.598809440
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-6.058787221264e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4999980032444,Volt DC,1,T,2W,F,F,04/29/2023,17:04:45,.598809440
2,-5.972641702101e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4899886846542,Volt DC,1,T,2W,F,F,04/29/2023,17:04:45,.683622380
3,-5.88403599977e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4799768626690,Volt DC,1,T,2W,F,F,04/29/2023,17:04:45,.768444640
4,-5.797056473966e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4699683487415,Volt DC,1,T,2W,F,F,04/29/2023,17:04:45,.853250100
5,-5.71172176933e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4599972665310,Volt DC,1,T,2W,F,F,04/29/2023,17:04:45,.938052740
6,-5.622379376291e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4499848783016,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.022848620
7,-5.533939201996e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4399753808975,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.107616820
8,-5.445726401376e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4299967885017,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.192424320
9,-5.356560905057e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4199902117252,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.277223840
10,-5.269010671327e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4099783301353,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.362010860
11,-5.180327207199e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3999768495560,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.446827660
12,-5.091735147289e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3899967670441,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.531630320
13,-5.002858870284e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3799870908260,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.616446600
14,-4.912783424516e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3699776232243,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.701278360
15,-4.821706170333e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3599660992622,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.786105640
16,-4.729983629659e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3499991297722,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.870882600
17,-4.639057806344e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3399885296822,Volt DC,1,T,2W,F,F,04/29/2023,17:04:46,.955697000
18,-4.547421667667e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3299807906151,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.040502760
19,-4.454460849956e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3199623823166,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.125293140
20,-4.361507762951e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3099880218506,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.210091780
21,-4.265956249583e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.2999783456326,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.294888440
22,-4.170583451923e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.2899747490883,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.379698500
23,-4.074907337781e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.2799999415874,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.464507440
24,-3.977966571256e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.2699869275093,Volt DC,1,T,2W,F,F,04/29/2023,17:04:47,.549296580
