Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,121
Base Time Seconds,1682787402
Base Time Fractional,.187611320
Base Time,04/29/2023 16:56:42.187611320
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.01523659098893,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5000019073486,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.187611320
2,-0.01524646114558,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4899910688400,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.271438580
3,-0.01524368021637,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4799815416336,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.355248960
4,-0.0152392713353,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4699708521366,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.439043760
5,-0.01526058651507,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4599997699261,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.522851480
6,-0.01522327866405,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4499880373478,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.606641920
7,-0.01526776887476,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4399793446064,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.690423400
8,-0.01524920389056,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4299997985363,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.774229040
9,-0.01530394610018,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4199926257133,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.858031280
10,-0.01528374478221,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4099823236465,Volt DC,1,T,2W,F,F,04/29/2023,16:56:42,.941835020
11,-0.01514751277864,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3999803662300,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.025615900
12,-0.01533751096576,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3899999856949,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.109392300
13,-0.0152428932488,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3799913823605,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.193200080
14,-0.0152140846476,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3699808120728,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.276996700
15,-0.01532449666411,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3599689006805,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.360788100
16,-0.01528468355536,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3500017225742,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.444593300
17,-0.01526397839189,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3399905860424,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.528417360
18,-0.01529345009476,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3299834728241,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.612266440
19,-0.01526403985918,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3199656605721,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.696065940
20,-0.01526513230056,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3099902272224,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.779846720
21,-0.01517849974334,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2999817430973,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.863647140
22,-0.0152265643701,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2899767458439,Volt DC,1,T,2W,F,F,04/29/2023,16:56:43,.947472620
23,-0.01522752270103,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2800010144711,Volt DC,1,T,2W,F,F,04/29/2023,16:56:44,.031279100
24,-0.01523452904075,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2699886858463,Volt DC,1,T,2W,F,F,04/29/2023,16:56:44,.115081080
25,-0.01533096283674,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2599777281284,Volt DC,1,T,2W,F,F,04/29/2023,16:56:44,.198900020
26,-0.01528305280954,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2499630153179,Volt DC,1,T,2W,F,F,04/29/2023,16:56:44,.282682640
