Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,121
Base Time Seconds,1682784540
Base Time Fractional,.955378760
Base Time,04/29/2023 16:09:00.955378760
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-2.294846854056e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.5000018477440,Volt DC,1,T,2W,F,F,04/29/2023,16:09:00,.955378760
2,-2.265409784741e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4899917542934,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.039205140
3,-2.237320950371e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4799809157848,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.122994620
4,-2.20992933464e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4699721038342,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.206816460
5,-2.181945092161e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4600004553795,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.290626840
6,-2.153269088012e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4499860703945,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.374418300
7,-2.124830098182e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4399793446064,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.458228320
8,-2.097893229802e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4299999475479,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.542051940
9,-2.069723996101e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4199924170971,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.625862240
10,-2.04165608011e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4099819362164,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.709677000
11,-2.014008168771e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3999800682068,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.793474640
12,-1.984513437492e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3899985849857,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.877284080
13,-1.955017796718e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3799901902676,Volt DC,1,T,2W,F,F,04/29/2023,16:09:01,.961111400
14,-1.926166805788e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3699806928635,Volt DC,1,T,2W,F,F,04/29/2023,16:09:02,.044925300
15,-1.896492722153e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3599702119827,Volt DC,1,T,2W,F,F,04/29/2023,16:09:02,.128730980
16,-1.866947422968e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3500019907951,Volt DC,1,T,2W,F,F,04/29/2023,16:09:02,.212523040
17,-1.837187846832e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3399919867516,Volt DC,1,T,2W,F,F,04/29/2023,16:09:02,.296325760
18,-1.807669832488e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3299815952778,Volt DC,1,T,2W,F,F,04/29/2023,16:09:02,.380156420
