Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,121
Base Time Seconds,1682785047
Base Time Fractional,.603287740
Base Time,04/29/2023 16:17:27.603287740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.01592664048076,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5000019073486,Volt DC,1,T,2W,F,F,04/29/2023,16:17:27,.603287740
2,-0.01594875194132,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4899899959564,Volt DC,1,T,2W,F,F,04/29/2023,16:17:27,.687097260
3,-0.01604399271309,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4799793660641,Volt DC,1,T,2W,F,F,04/29/2023,16:17:27,.770920200
4,-0.01590023934841,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4699700474739,Volt DC,1,T,2W,F,F,04/29/2023,16:17:27,.854743140
5,-0.01601349562407,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4599992036819,Volt DC,1,T,2W,F,F,04/29/2023,16:17:27,.938553480
6,-0.0159784629941,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4499868750572,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.022368620
7,-0.01597880572081,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4399780333042,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.106178080
8,-0.01592900790274,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4299980998039,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.189989840
9,-0.01590811647475,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4199923872948,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.273792340
10,-0.01600201241672,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4099808931351,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.357602420
11,-0.01587825082242,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3999793529510,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.441403760
12,-0.01592350192368,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3899983763695,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.525201080
13,-0.01591160707176,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3799892663956,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.609016700
14,-0.01596113853157,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3699793219566,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.692830800
15,-0.01593312434852,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3599682748318,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.776616580
16,-0.01589802838862,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3500003218651,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.860424880
17,-0.0159291755408,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3399903476238,Volt DC,1,T,2W,F,F,04/29/2023,16:17:28,.944221960
18,-0.01587611809373,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3299815356731,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.028045440
19,-0.01593277603388,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3199636340141,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.111836100
20,-0.015933457762,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3099885880947,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.195622580
21,-0.01584454625845,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2999802529812,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.279439600
22,-0.01592840999365,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2899760901928,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.363254540
23,-0.01594822667539,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2800009548664,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.447061520
24,-0.01590638980269,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2699877917767,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.530833280
25,-0.01585500314832,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2599768042564,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.614644480
26,-0.01581272110343,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2499618679285,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.698442300
27,-0.01589323021472,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2399927824736,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.782239400
28,-0.01581189781427,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2299849241972,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.866038740
29,-0.01587473042309,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2199737876654,Volt DC,1,T,2W,F,F,04/29/2023,16:17:29,.949857760
30,-0.0158704072237,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2099624723196,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.033684360
31,-0.01584248058498,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999889165163,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.117541280
32,-0.01595913246274,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899761110544,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.201364360
33,-0.0159368570894,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799715012312,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.285159640
34,-0.01582546904683,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699597239494,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.368958240
35,-0.01579767651856,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599812358618,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.452771720
36,-0.01581714116037,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499734073877,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.536563580
37,-0.01579379104078,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399603337049,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.620373300
38,-0.01575175859034,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299588382244,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.704178700
39,-0.01583655364811,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199786737561,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.787970540
40,-0.01577852480114,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099678725004,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.871746880
41,-0.01576385833323,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999575257301,Volt DC,1,T,2W,F,F,04/29/2023,16:17:30,.955515180
42,-0.01578291319311,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899814888835,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.039308260
43,-0.01563864573836,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799706652761,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.123110260
44,-0.01561243459582,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699689388275,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.206908680
45,-0.01551502849907,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599588938057,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.290712780
46,-0.01550948899239,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499729812145,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.374535420
47,-0.01537922304124,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399659983814,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.458325960
48,-0.01527609117329,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299579650164,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.542127100
49,-0.01524153258651,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199522525072,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.625925900
50,-0.0150417201221,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099753206596,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.709716880
51,-0.01492366474122,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000349714101,Volt DC,1,T,2W,F,F,04/29/2023,16:17:31,.793528640
