V1,I1
1,5.468E-10
0.99,4.176E-10
0.98,3.543E-10
0.97,3.008E-10
0.96,2.66E-10
0.95,2.517E-10
0.94,2.29E-10
0.93,1.998E-10
0.92,1.835E-10
0.91,1.818E-10
0.9,1.707E-10
0.89,1.473E-10
0.88,1.386E-10
0.87,1.407E-10
0.86,1.34E-10
0.85,1.14E-10
0.84,1.086E-10
0.83,1.13E-10
0.82,9.78E-11
0.81,1.023E-10
0.8,8.42E-11
0.79,8.1E-11
0.78,8.86E-11
0.77,7.44E-11
0.76,8.22E-11
0.75,6.5E-11
0.74,6.15E-11
0.73,7.3E-11
0.72,6.86E-11
0.71,5.49E-11
0.7,5.07E-11
0.69,6.11E-11
0.68,5.71E-11
0.67,4.77E-11
0.66,4.73E-11
0.65,3.84E-11
0.64,4.93E-11
0.63,4.84E-11
0.62,3.36E-11
0.61,3.19E-11
0.6,3.87E-11
0.59,4.01E-11
0.58,2.75E-11
0.57,2.39E-11
0.56,3.59E-11
0.55,3.35E-11
0.54,2.08E-11
0.53,1.79E-11
0.52,2.86E-11
0.51,2.9E-11
0.5,1.4E-11
0.49,1.32E-11
0.48,2.51E-11
0.47,2.26E-11
0.46,1.29E-11
0.45,1.47E-11
0.44,8.3E-12
0.43,1.98E-11
0.42,1.75E-11
0.41,5.6E-12
0.4,6.5E-12
0.39,1.57E-11
0.38,1.72E-11
0.37,5.5E-12
0.36,6.2E-12
0.35,1.33E-11
0.34,9.2E-12
0.33,1.5E-11
0.32,3E-12
0.31,1.7E-12
0.3,1.32E-11
0.29,1.17E-11
0.28,2.4E-12
0.27,3.9E-12
0.26,-7E-13
0.25,1E-11
0.24,1.01E-11
0.23,1E-13
0.22,-1.5E-12
0.21,8.8E-12
0.2,1.02E-11
0.19,-2.1E-12
0.18,-1.9E-12
0.17,9E-12
0.16,8E-12
0.15,-1.2E-12
0.14,5.3E-12
0.13,-3.9E-12
0.12,7.3E-12
0.11,5.4E-12
0.1,-1.7E-12
0.09,-2.8E-12
0.08,-4.2E-12
0.07,4.6E-12
0.06,5.4E-12
0.05,-4.1E-12
0.04,-6.2E-12
0.03,3.5E-12
0.02,4.2E-12
0.01,-6.5E-12
0,-7E-12
-0.01,3.2E-12
-0.02,-7.8E-12
-0.03,-8.8E-12
-0.04,1.8E-12
-0.05,-8.2E-12
-0.06,-9.3E-12
-0.07,9E-13
-0.08,0
-0.09,-1.11E-11
-0.1,-1.04E-11
-0.11,-5.9E-12
-0.12,-2.8E-12
-0.13,-1.12E-11
-0.14,-1.2E-11
-0.15,-1.12E-11
-0.16,-5.4E-12
-0.17,-7.1E-12
-0.18,-1.54E-11
-0.19,-1.68E-11
-0.2,-1.97E-11
-0.2,-6.9E-12
-0.19,-1.26E-11
-0.18,-6E-13
-0.17,1.6E-12
-0.16,-7E-12
-0.15,-7.4E-12
-0.14,3.7E-12
-0.13,2.8E-12
-0.12,2.7E-12
-0.11,-4.6E-12
-0.1,-3.3E-12
-0.09,2.9E-12
-0.08,1.7E-12
-0.07,6.7E-12
-0.06,-1.6E-12
-0.05,1.2E-12
-0.04,-2E-12
-0.03,7.1E-12
-0.02,8.2E-12
-0.01,-1.4E-12
0,-2.2E-12
0.01,8.7E-12
0.02,3.3E-12
0.03,8.5E-12
0.04,-2.7E-12
0.05,8.5E-12
0.06,6.4E-12
0.07,5.1E-12
0.08,-2.2E-12
0.09,-5E-13
0.1,7.1E-12
0.11,1.6E-12
0.12,9.6E-12
0.13,-2E-13
0.14,-9E-13
0.15,9.8E-12
0.16,4E-13
0.17,1.1E-11
0.18,2.8E-12
0.19,2.5E-12
0.2,1.15E-11
0.21,1.22E-11
0.22,3.6E-12
0.23,3.6E-12
0.24,1.18E-11
0.25,1.23E-11
0.26,5.4E-12
0.27,7.4E-12
0.28,5.1E-12
0.29,8E-12
0.3,6.1E-12
0.31,1.48E-11
0.32,6.5E-12
0.33,5.6E-12
0.34,1.53E-11
0.35,1.6E-11
0.36,8.3E-12
0.37,8E-12
0.38,1.79E-11
0.39,1.84E-11
0.4,1.06E-11
0.41,9.9E-12
0.42,1.94E-11
0.43,2.01E-11
0.44,1.61E-11
0.45,1.38E-11
0.46,1.63E-11
0.47,2.45E-11
0.48,2.33E-11
0.49,2.83E-11
0.5,2.17E-11
0.51,2.31E-11
0.52,3.35E-11
0.53,3.62E-11
0.54,2.97E-11
0.55,3.92E-11
0.56,4.17E-11
0.57,3.54E-11
0.58,3.58E-11
0.59,4.75E-11
0.6,4.22E-11
0.61,4.46E-11
0.62,5.41E-11
0.63,4.74E-11
0.64,6.02E-11
0.65,5.52E-11
0.66,5.61E-11
0.67,6.81E-11
0.68,7.02E-11
0.69,6.38E-11
0.7,6.65E-11
0.71,7.59E-11
0.72,7.92E-11
0.73,7.39E-11
0.74,8.04E-11
0.75,8.04E-11
0.76,9.24E-11
0.77,9.62E-11
0.78,9.41E-11
0.79,9.94E-11
0.8,1.106E-10
0.81,1.069E-10
0.82,1.208E-10
0.83,1.265E-10
0.84,1.242E-10
0.85,1.264E-10
0.86,1.393E-10
0.87,1.467E-10
0.88,1.453E-10
0.89,1.513E-10
0.9,1.629E-10
0.91,1.718E-10
0.92,1.69E-10
0.93,1.753E-10
0.94,1.918E-10
0.95,1.966E-10
0.96,2.148E-10
0.97,2.188E-10
0.98,2.317E-10
0.99,2.411E-10
1,2.618E-10
