V1,I1
1,1.37E-10
0.99,8.02E-11
0.98,6.01E-11
0.97,5.02E-11
0.96,3.84E-11
0.95,3.66E-11
0.94,3.48E-11
0.93,3.15E-11
0.92,2.79E-11
0.91,2.23E-11
0.9,2.06E-11
0.89,2.29E-11
0.88,2.22E-11
0.87,2.01E-11
0.86,1.99E-11
0.85,1.29E-11
0.84,1.69E-11
0.83,1.49E-11
0.82,1.13E-11
0.81,9.9E-12
0.8,1.11E-11
0.79,1.26E-11
0.78,1.09E-11
0.77,1.21E-11
0.76,6.2E-12
0.75,6E-12
0.74,5.8E-12
0.73,9.2E-12
0.72,4.4E-12
0.71,7.6E-12
0.7,2.5E-12
0.69,2E-12
0.68,6.2E-12
0.67,6.2E-12
0.66,4.4E-12
0.65,5E-12
0.64,1.4E-12
0.63,-1.1E-12
0.62,3.4E-12
0.61,4E-12
0.6,4.3E-12
0.59,-1.7E-12
0.58,7E-13
0.57,-2.3E-12
0.56,1E-12
0.55,3.5E-12
0.54,1.3E-12
0.53,2.9E-12
0.52,-4.7E-12
0.51,-3.7E-12
0.5,-4.9E-12
0.49,5E-13
0.48,5E-13
0.47,-5E-12
0.46,-6E-12
0.45,-5.6E-12
0.44,-6E-12
0.43,-3E-13
0.42,-2.8E-12
0.41,-1.4E-12
0.4,-8.5E-12
0.39,-5.3E-12
0.38,-9.4E-12
0.37,-3.6E-12
0.36,-3.4E-12
0.35,-9E-12
0.34,-1E-11
0.33,-1E-11
0.32,-5E-12
0.31,-7.4E-12
0.3,-3.4E-12
0.29,-9.5E-12
0.28,-1.12E-11
0.27,-9.7E-12
0.26,-9.3E-12
0.25,-3.2E-12
0.24,-5.8E-12
0.23,-3.8E-12
0.22,-1.2E-11
0.21,-1.21E-11
0.2,-6.3E-12
0.19,-6.3E-12
0.18,-1.29E-11
0.17,-1.37E-11
0.16,-1.34E-11
0.15,-9.9E-12
0.14,-8.7E-12
0.13,-7.2E-12
0.12,-1.58E-11
0.11,-1.52E-11
0.1,-1E-11
0.09,-1.05E-11
0.08,-1.06E-11
0.07,-1.68E-11
0.06,-1.89E-11
0.05,-1.95E-11
0.04,-1.64E-11
0.03,-1.45E-11
0.02,-2.21E-11
0.01,-2.4E-11
0,-2.34E-11
-0.01,-1.63E-11
-0.02,-1.92E-11
-0.03,-2.47E-11
-0.04,-2.97E-11
-0.05,-3.03E-11
-0.06,-2.89E-11
-0.07,-2.38E-11
-0.08,-2.71E-11
-0.09,-3.53E-11
-0.1,-3.84E-11
-0.11,-3.89E-11
-0.12,-3.48E-11
-0.13,-3.43E-11
-0.14,-3.76E-11
-0.15,-4.46E-11
-0.16,-4.77E-11
-0.17,-4.79E-11
-0.18,-4.74E-11
-0.19,-4.39E-11
-0.2,-4.75E-11
-0.2,-4.55E-11
-0.19,-4.48E-11
-0.18,-4.51E-11
-0.17,-4.22E-11
-0.16,-3.18E-11
-0.15,-3.07E-11
-0.14,-3.38E-11
-0.13,-3.17E-11
-0.12,-2.47E-11
-0.11,-2.08E-11
-0.1,-2.07E-11
-0.09,-2.46E-11
-0.08,-2.66E-11
-0.07,-2.33E-11
-0.06,-1.94E-11
-0.05,-1.23E-11
-0.04,-1.33E-11
-0.03,-1.79E-11
-0.02,-1.94E-11
-0.01,-1.74E-11
0,-7.9E-12
0.01,-8E-12
0.02,-1.51E-11
0.03,-1.34E-11
0.04,-1.41E-11
0.05,-6.9E-12
0.06,-4.6E-12
0.07,-1.17E-11
0.08,-1.05E-11
0.09,-1.13E-11
0.1,-3.1E-12
0.11,-2.3E-12
0.12,-8.3E-12
0.13,-8.9E-12
0.14,-2.4E-12
0.15,-3E-12
0.16,-2.1E-12
0.17,-6.2E-12
0.18,-8.1E-12
0.19,-6.1E-12
0.2,-2.7E-12
0.21,1.5E-12
0.22,-1.5E-12
0.23,-3E-13
0.24,-6.1E-12
0.25,-3.3E-12
0.26,-5.9E-12
0.27,2.5E-12
0.28,-4E-12
0.29,-4.1E-12
0.3,2.8E-12
0.31,1E-12
0.32,0
0.33,-4.4E-12
0.34,-4.6E-12
0.35,1.6E-12
0.36,2.1E-12
0.37,-3E-12
0.38,-5E-13
0.39,-2.7E-12
0.4,2E-12
0.41,1.8E-12
0.42,4.8E-12
0.43,-1.8E-12
0.44,3.7E-12
0.45,-1.2E-12
0.46,2.7E-12
0.47,2.6E-12
0.48,3.7E-12
0.49,9E-13
0.5,-6E-13
0.51,-3E-13
0.52,4.5E-12
0.53,4.1E-12
0.54,5.3E-12
0.55,1.2E-12
0.56,1.6E-12
0.57,4.2E-12
0.58,6.9E-12
0.59,5.2E-12
0.6,6.1E-12
0.61,3.3E-12
0.62,3.4E-12
0.63,3.7E-12
0.64,3.7E-12
0.65,7.7E-12
0.66,8.3E-12
0.67,5.1E-12
0.68,4.8E-12
0.69,5.5E-12
0.7,5.8E-12
0.71,1.05E-11
0.72,6.6E-12
0.73,6.6E-12
0.74,7.9E-12
0.75,7.7E-12
0.76,7.5E-12
0.77,1.04E-11
0.78,1.12E-11
0.79,8.9E-12
0.8,9.4E-12
0.81,1.19E-11
0.82,1.46E-11
0.83,1.37E-11
0.84,1.22E-11
0.85,1.2E-11
0.86,1.39E-11
0.87,1.56E-11
0.88,1.74E-11
0.89,1.7E-11
0.9,1.63E-11
0.91,1.75E-11
0.92,2.03E-11
0.93,2.25E-11
0.94,2.32E-11
0.95,2.23E-11
0.96,2.27E-11
0.97,2.4E-11
0.98,2.78E-11
0.99,2.9E-11
1,2.81E-11
