Setup title,"I/V Sweep_check"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,14:51:21
Device ID,
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-5.6E-13
0.01,2.2E-13
0.02,-2.1E-13
0.03,-4.6E-13
0.04,2.3E-13
0.05,-1.9E-13
0.06,1.2E-13
0.07,2.9E-13
0.08,-5.6E-13
0.09,-1E-13
0.1,-1.5E-13
0.11,-3.6E-13
0.12,-1E-13
0.13,2.3E-13
0.14,-3.7E-13
0.15,-4.9E-13
0.16,2.3E-13
0.17,-5.6E-13
0.18,-7E-14
0.19,2.1E-13
0.2,-6.6E-13
0.21,-5.4E-13
0.22,3.7E-13
0.23,-5.1E-13
0.24,2.9E-13
0.25,-5.5E-13
0.26,3.7E-13
0.27,9E-14
0.28,-6.3E-13
0.29,-2.2E-13
0.3,-4.4E-13
0.31,1.3E-13
0.32,2.5E-13
0.33,-4.2E-13
0.34,2.2E-13
0.35,-6.6E-13
0.36,-4.4E-13
0.37,1.8E-13
0.38,0
0.39,-6.7E-13
0.4,2.1E-13
0.41,3.2E-13
0.42,1E-14
0.43,-3.8E-13
0.44,-6E-14
0.45,6E-14
0.46,-2.8E-13
0.47,-2.9E-13
0.48,-1.29E-12
0.49,-1.7E-13
0.5,-3.6E-13
0.51,-7E-14
0.52,0
0.53,-2.8E-13
0.54,-1.9E-13
0.55,-5.5E-13
0.56,4.1E-13
0.57,0
0.58,-6.1E-13
0.59,3.4E-13
0.6,3.8E-13
0.61,-5.7E-13
0.62,-3.6E-13
0.63,2.1E-13
0.64,-3.9E-13
0.65,-2.8E-13
0.66,2.5E-13
0.67,-4E-13
0.68,-6.6E-13
0.69,4.8E-13
0.7,-5.2E-13
0.71,-2E-14
0.72,-2.9E-13
0.73,-3.7E-13
0.74,-5E-14
0.75,4.3E-13
0.76,-7.8E-13
0.77,-6.7E-13
0.78,3.7E-13
0.79,-1.4E-13
0.8,-4E-13
0.81,2.7E-13
0.82,1.3E-13
0.83,-5.3E-13
0.84,8E-14
0.85,-5.7E-13
0.86,3.1E-13
0.87,-6.5E-13
0.88,-2.6E-13
0.89,4.2E-13
0.9,-4.8E-13
0.91,-1.7E-13
0.92,1.5E-13
0.93,3.8E-13
0.94,-4.1E-13
0.95,-1.6E-13
0.96,6E-14
0.97,-9E-14
0.98,-4.9E-13
0.99,-8E-14
1,-1.2E-13
1,-2.2E-13
0.99,-1.4E-13
0.98,-3.1E-13
0.97,1E-13
0.96,-2.7E-13
0.95,-2.9E-13
0.94,0
0.93,-8.7E-13
0.92,-3.2E-13
0.91,4E-13
0.9,-2.8E-13
0.89,-6.5E-13
0.88,7E-14
0.87,-2.5E-13
0.86,-4.3E-13
0.85,6E-14
0.84,1.1E-13
0.83,-5.1E-13
0.82,-5E-14
0.81,-3.6E-13
0.8,-4E-14
0.79,-1.2E-13
0.78,2.4E-13
0.77,1.4E-13
0.76,-2.8E-13
0.75,-5.4E-13
0.74,8E-14
0.73,-3.2E-13
0.72,9E-14
0.71,-2.3E-13
0.7,-2.1E-13
0.69,-3.1E-13
0.68,5E-14
0.67,-5.8E-13
0.66,-5E-14
0.65,-3.7E-13
0.64,-3.1E-13
0.63,6E-14
0.62,2.2E-13
0.61,-6.2E-13
0.6,-5.7E-13
0.59,-2.1E-13
0.58,-1.1E-13
0.57,1.1E-13
0.56,3.6E-13
0.55,4E-14
0.54,-3.5E-13
0.53,-7E-14
0.52,-1.8E-13
0.51,-4.2E-13
0.5,3E-14
0.49,-4.5E-13
0.48,1.5E-13
0.47,-1.3E-13
0.46,-3.6E-13
0.45,3E-14
0.44,-2E-13
0.43,-1E-13
0.42,-6.5E-13
0.41,3.4E-13
0.4,2.4E-13
0.39,-6E-13
0.38,-5.8E-13
0.37,2.7E-13
0.36,7E-14
0.35,-2.1E-13
0.34,-1E-13
0.33,-6E-14
0.32,-3.8E-13
0.31,3E-14
0.3,-5.7E-13
0.29,3.2E-13
0.28,-6E-14
0.27,-6.1E-13
0.26,-3E-13
0.25,0
0.24,-3.3E-13
0.23,-7E-14
0.22,-1E-13
0.21,-4.5E-13
0.2,-2E-14
0.19,-2.6E-13
0.18,2.2E-13
0.17,-5.4E-13
0.16,-5.7E-13
0.15,2.3E-13
0.14,-1.2E-13
0.13,-3.7E-13
0.12,-5.2E-13
0.11,-6E-14
0.1,-4.6E-13
0.09,-1.3E-13
0.08,-7E-14
0.07,-3.4E-13
0.06,-1E-13
0.05,-4.7E-13
0.04,1.8E-13
0.03,-5.6E-13
0.02,-1.3E-13
0.01,2E-14
0,-2.6E-13
