Setup title,"I/V Sweep_dark"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,15:56:31
Device ID,"FTO_Contact check"
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,8.5113E-09
0.01,1.64801E-06
0.02,3.35003E-06
0.03,4.84033E-06
0.04,6.66254E-06
0.05,8.31339E-06
0.06,1.00538E-05
0.07,1.15021E-05
0.08,1.2463E-05
0.09,1.54847E-05
0.1,1.77639E-05
0.11,1.93073E-05
0.12,2.13445E-05
0.13,2.28132E-05
0.14,2.30783E-05
0.15,2.7033E-05
0.16,3.10769E-05
0.17,3.18279E-05
0.18,3.51129E-05
0.19,3.67635E-05
0.2,3.94213E-05
0.21,4.00999E-05
0.22,4.3319E-05
0.23,4.48794E-05
0.24,4.79563E-05
0.25,5.16834E-05
0.26,5.35713E-05
0.27,5.64105E-05
0.28,5.99461E-05
0.29,6.21623E-05
0.3,6.16423E-05
0.31,6.37847E-05
0.32,6.98845E-05
0.33,6.89261E-05
0.34,7.72493E-05
0.35,8.13141E-05
0.36,9.1241E-05
0.37,8.11686E-05
0.38,8.00213E-05
0.39,8.3558E-05
0.4,8.2451E-05
0.41,8.87342E-05
0.42,9.21792E-05
0.43,8.9256E-05
0.44,9.6127E-05
0.45,8.5582E-05
0.46,0.000109791
0.47,0.000106632
0.48,0.00011502
0.49,0.000125893
0.5,0.000145446
0.51,0.000148188
0.52,0.000137162
0.53,0.000144075
0.54,0.00017242
0.55,0.000197342
0.56,0.000199483
0.57,0.000199864
0.58,0.000199976
0.59,0.000199976
0.6,0.000199977
0.61,0.000199976
0.62,0.000199976
0.63,0.000199976
0.64,0.000199978
0.65,0.000199975
0.66,0.000199977
0.67,0.000199976
0.68,0.000199976
0.69,0.000199975
0.7,0.000199976
0.71,0.000199976
0.72,0.000199975
0.73,0.000199975
0.74,0.000199975
0.75,0.000199975
0.76,0.000199977
0.77,0.000199977
0.78,0.000199976
0.79,0.000199977
0.8,0.000199976
0.81,0.000199976
0.82,0.000199976
0.83,0.000199976
0.84,0.000199976
0.85,0.000199976
0.86,0.000199977
0.87,0.000199977
0.88,0.000199976
0.89,0.000199976
0.9,0.000199976
0.91,0.000199976
0.92,0.000199975
0.93,0.000199977
0.94,0.000199977
0.95,0.000199976
0.96,0.000199977
0.97,0.000199976
0.98,0.000199976
0.99,0.000199976
1,0.000199976
1,0.000199976
0.99,0.000199975
0.98,0.000199976
0.97,0.000199976
0.96,0.000199976
0.95,0.000199976
0.94,0.000199976
0.93,0.000199976
0.92,0.000199976
0.91,0.000199976
0.9,0.000199976
0.89,0.000199976
0.88,0.000199977
0.87,0.000199977
0.86,0.000199976
0.85,0.000199977
0.84,0.000199977
0.83,0.000199977
0.82,0.000199978
0.81,0.000199978
0.8,0.000199976
0.79,0.000199977
0.78,0.000199976
0.77,0.000199977
0.76,0.000199978
0.75,0.000199977
0.74,0.000199976
0.73,0.000199978
0.72,0.000199977
0.71,0.000199976
0.7,0.000199976
0.69,0.000199977
0.68,0.000199976
0.67,0.000199977
0.66,0.000199977
0.65,0.000199977
0.64,0.000199977
0.63,0.000199977
0.62,0.000199977
0.61,0.000199977
0.6,0.000199977
0.59,0.000199977
0.58,0.000199977
0.57,0.000199977
0.56,0.000199977
0.55,0.000199976
0.54,0.000199978
0.53,0.000199977
0.52,0.000199978
0.51,0.000199976
0.5,0.000199977
0.49,0.000199977
0.48,0.00019989
0.47,0.000199558
0.46,0.000196354
0.45,0.000189
0.44,0.000197911
0.43,0.000189263
0.42,0.000173201
0.41,0.000168883
0.4,0.00016648
0.39,0.000160603
0.38,0.000158992
0.37,0.000158616
0.36,0.000151092
0.35,0.000128827
0.34,0.000121164
0.33,0.000115432
0.32,0.000113189
0.31,0.0001121
0.3,0.000105052
0.29,0.0001069389
0.28,0.0001044526
0.27,9.79769E-05
0.26,9.13064E-05
0.25,8.76951E-05
0.24,8.42369E-05
0.23,7.72013E-05
0.22,7.32049E-05
0.21,7.32259E-05
0.2,7.05353E-05
0.19,6.2726E-05
0.18,5.53567E-05
0.17,4.98439E-05
0.16,4.47257E-05
0.15,4.15665E-05
0.14,3.68048E-05
0.13,3.59147E-05
0.12,3.4027E-05
0.11,3.0005E-05
0.1,2.71224E-05
0.09,2.2617E-05
0.08,1.96072E-05
0.07,1.66636E-05
0.06,1.38061E-05
0.05,1.23164E-05
0.04,9.6915E-06
0.03,6.96977E-06
0.02,4.79142E-06
0.01,2.23642E-06
0,1.10482E-08
