Setup title,"I/V Sweep_dark_0_-0.5V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:07:00
Device ID,"FTO_Contact check"
Count,8
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-0.5
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,6.9125E-10
-0.01,-2.7136E-07
-0.02,-5.47565E-07
-0.03,-8.29864E-07
-0.04,-1.11157E-06
-0.05,-1.39947E-06
-0.06,-1.66735E-06
-0.07,-1.92879E-06
-0.08,-2.18115E-06
-0.09,-2.46201E-06
-0.1,-2.78912E-06
-0.11,-3.06683E-06
-0.12,-3.36949E-06
-0.13,-3.64524E-06
-0.14,-3.97038E-06
-0.15,-4.24693E-06
-0.16,-4.54894E-06
-0.17,-4.84667E-06
-0.18,-5.02002E-06
-0.19,-5.38269E-06
-0.2,-5.6275E-06
-0.21,-6.02912E-06
-0.22,-6.35462E-06
-0.23,-6.86434E-06
-0.24,-7.21629E-06
-0.25,-7.4807E-06
-0.26,-7.7651E-06
-0.27,-7.9401E-06
-0.28,-8.47625E-06
-0.29,-8.75133E-06
-0.3,-9.35811E-06
-0.31,-9.37706E-06
-0.32,-9.81316E-06
-0.33,-9.60638E-06
-0.34,-1.002555E-05
-0.35,-1.043183E-05
-0.36,-1.13872E-05
-0.37,-1.14054E-05
-0.38,-1.22548E-05
-0.39,-1.2022E-05
-0.4,-1.2483E-05
-0.41,-1.27896E-05
-0.42,-1.30253E-05
-0.43,-1.34465E-05
-0.44,-1.46628E-05
-0.45,-1.49964E-05
-0.46,-1.62706E-05
-0.47,-1.67701E-05
-0.48,-1.69686E-05
-0.49,-1.90448E-05
-0.5,-1.94839E-05
-0.5,-1.93955E-05
-0.49,-1.9099E-05
-0.48,-1.79535E-05
-0.47,-1.69657E-05
-0.46,-1.65699E-05
-0.45,-1.62269E-05
-0.44,-1.60653E-05
-0.43,-1.55546E-05
-0.42,-1.52099E-05
-0.41,-1.45875E-05
-0.4,-1.41492E-05
-0.39,-1.37436E-05
-0.38,-1.35904E-05
-0.37,-1.32662E-05
-0.36,-1.26766E-05
-0.35,-1.2351E-05
-0.34,-1.19653E-05
-0.33,-1.16029E-05
-0.32,-1.11793E-05
-0.31,-1.08755E-05
-0.3,-1.03877E-05
-0.29,-1.00099E-05
-0.28,-9.64106E-06
-0.27,-9.22371E-06
-0.26,-8.83439E-06
-0.25,-8.50311E-06
-0.24,-8.17503E-06
-0.23,-7.84122E-06
-0.22,-7.47267E-06
-0.21,-7.08487E-06
-0.2,-6.67832E-06
-0.19,-6.27338E-06
-0.18,-5.9811E-06
-0.17,-5.59528E-06
-0.16,-5.27379E-06
-0.15,-4.97875E-06
-0.14,-4.6309E-06
-0.13,-4.23984E-06
-0.12,-3.8771E-06
-0.11,-3.55083E-06
-0.1,-3.1963E-06
-0.09,-2.88374E-06
-0.08,-2.54417E-06
-0.07,-2.18713E-06
-0.06,-1.79966E-06
-0.05,-1.48267E-06
-0.04,-1.13981E-06
-0.03,-8.82333E-07
-0.02,-5.87939E-07
-0.01,-2.95414E-07
0,7.0192E-10
