Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,78
Base Time Seconds,1682526498
Base Time Fractional,.823697320
Base Time,04/26/2023 16:28:18.823697320
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-5.0115936574e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999869942665,Volt DC,1,T,2W,F,F,04/26/2023,16:28:18,.823697320
2,-5.010125732952e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899758130312,Volt DC,1,T,2W,F,F,04/26/2023,16:28:18,.908530040
3,-5.010020231566e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799711734056,Volt DC,1,T,2W,F,F,04/26/2023,16:28:18,.993361100
4,-5.008327207179e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699556857347,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.078153820
5,-5.005254024582e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599791795015,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.162940020
6,-5.003982550988e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499704867601,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.247732620
7,-5.003821115679e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399586796761,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.332522900
8,-5.002860689274e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299558281898,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.417327800
9,-5.000569217373e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199772283435,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.502126040
10,-4.998916210752e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099667176604,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.586919000
11,-4.999857992516e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999541655183,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.671721220
12,-5.000239070796e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899807363749,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.756523280
13,-5.000668352295e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799673721194,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.841330480
14,-4.999629709346e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699677690864,Volt DC,1,T,2W,F,F,04/26/2023,16:28:19,.926153860
15,-4.9963159654e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599573478103,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.010930960
16,-4.970164354745e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499709583819,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.095724400
17,-4.939915925206e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399635359645,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.180518700
18,-4.963047558704e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299564544111,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.265313900
19,-4.975351203029e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199491437525,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.350116040
20,-4.966875167156e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099733648822,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.434929980
21,-4.958122190146e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000383980951,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.519714360
22,-4.947892648488e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099968845025,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.604853020
23,-4.936211098538e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0200038049370,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.689659260
24,-4.920828814647e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300054661930,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.774472140
25,-4.900140538666e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0400138683617,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.859281240
26,-4.874167188973e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0499926991761,Volt DC,1,T,2W,F,F,04/26/2023,16:28:20,.944076860
27,-4.843109763897e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600026026368,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.028886380
28,-4.808611720364e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700093880296,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.113689260
29,-4.757822807733e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800156295300,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.198494400
30,-4.695320512837e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0900177136064,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.283281920
31,-4.619308583642e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999950021505,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.368074420
32,-4.526934844762e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1100057587028,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.452880380
33,-4.41177689936e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1200130805373,Volt DC,1,T,2W,F,F,04/26/2023,16:28:21,.537707680
