Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,78
Base Time Seconds,1682526624
Base Time Fractional,.158779500
Base Time,04/26/2023 16:30:24.158779500
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.952259132551e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999840140343,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.158779500
2,-4.951802566211e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899732947350,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.243620780
3,-4.949098638463e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799677610397,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.328442620
4,-4.944343800162e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699569076300,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.413236580
5,-4.939518021274e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599778681993,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.498045220
6,-4.940061444358e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499700099230,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.582837380
7,-4.939575774188e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399581581354,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.667641120
8,-4.935288870911e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299578994513,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.752455120
9,-4.93097513754e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199767962098,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.837253100
10,-4.926333986077e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099656894803,Volt DC,1,T,2W,F,F,04/26/2023,16:30:24,.922044400
11,-4.925701887259e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999556705356,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.006843440
12,-4.923455435346e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899769887328,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.091637360
13,-4.893542609352e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799681767821,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.176444320
14,-4.872030785918e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699651017785,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.261256100
15,-4.867270035902e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599547140300,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.346052800
16,-4.864191396337e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499700494111,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.430865780
17,-4.858176907874e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399666130543,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.515673780
18,-4.848864136875e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299555268139,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.600469380
19,-4.841772806685e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199491437525,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.685273580
20,-4.830120360566e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099722156301,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.770076320
21,-4.824022653338e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000375984964,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.854886240
22,-4.820406047656e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099968835711,Volt DC,1,T,2W,F,F,04/26/2023,16:30:25,.940000180
23,-4.816370164917e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0200025420636,Volt DC,1,T,2W,F,F,04/26/2023,16:30:26,.024831760
24,-4.809114670934e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300038699061,Volt DC,1,T,2W,F,F,04/26/2023,16:30:26,.109615920
