Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,69
Base Time Seconds,1682524292
Base Time Fractional,.901692900
Base Time,04/26/2023 15:51:32.901692900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.628422796784e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999946832657,Volt DC,1,T,2W,F,F,04/26/2023,15:51:32,.901692900
2,-1.628303834877e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899806261063,Volt DC,1,T,2W,F,F,04/26/2023,15:51:32,.985499020
3,-1.624201468076e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799766123295,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.069292880
4,-1.626427911106e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699660271406,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.153108460
5,-1.624985998205e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599851697683,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.236912700
6,-1.623550997465e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499778628349,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.320719940
7,-1.626867197047e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399654448032,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.404489780
8,-1.62580236065e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299641281366,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.488302920
9,-1.63418098964e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199842020869,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.572105180
10,-1.634233194636e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099738627672,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.655910580
11,-1.631101986277e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999621003866,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.739708880
12,-1.610861727386e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899856686592,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.823518720
13,-1.572563451191e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799769610167,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.907324400
14,-1.554780283186e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699745491147,Volt DC,1,T,2W,F,F,04/26/2023,15:51:33,.991133560
15,-1.540193079563e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599638111889,Volt DC,1,T,2W,F,F,04/26/2023,15:51:34,.074934660
16,-1.5294752302e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499787367880,Volt DC,1,T,2W,F,F,04/26/2023,15:51:34,.158746560
17,-1.519085526525e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399715565145,Volt DC,1,T,2W,F,F,04/26/2023,15:51:34,.242553980
18,-1.510888523626e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299629829824,Volt DC,1,T,2W,F,F,04/26/2023,15:51:34,.326366740
19,-1.50422229126e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199570413679,Volt DC,1,T,2W,F,F,04/26/2023,15:51:34,.410167920
20,-1.498498841102e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099802277982,Volt DC,1,T,2W,F,F,04/26/2023,15:51:34,.493960740
