Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,78
Base Time Seconds,1682526186
Base Time Fractional,.437158040
Base Time,04/26/2023 16:23:06.437158040
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.97916880704e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999850869179,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.437158040
2,-4.977471235179e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899728029966,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.522003820
3,-4.975657247996e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799688935280,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.606798920
4,-4.973971044819e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699570864439,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.691620120
5,-4.973177965439e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599790900946,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.776426240
6,-4.972752776666e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499696373940,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.861213800
7,-4.971006092092e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399570107460,Volt DC,1,T,2W,F,F,04/26/2023,16:23:06,.946009160
8,-4.967797849531e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299548149109,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.030811220
9,-4.964823347109e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199740096927,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.115608920
10,-4.966801498085e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099643111229,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.200400160
11,-4.965089374309e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999573096633,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.285193820
12,-4.96062602906e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899780020118,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.369995220
13,-4.958343197359e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799663513899,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.454805220
14,-4.958687895851e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699660107493,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.539622960
15,-4.956173597748e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599560774863,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.624413220
16,-4.950425136485e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499679706991,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.709222940
17,-4.939091013512e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399636290967,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.794004860
18,-4.931016064802e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299544855952,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.878806820
19,-4.910128154734e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199491344392,Volt DC,1,T,2W,F,F,04/26/2023,16:23:07,.963603880
20,-4.918784725305e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099732438102,Volt DC,1,T,2W,F,F,04/26/2023,16:23:08,.048410400
