Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,61
Base Time Seconds,1682524885
Base Time Fractional,.632632540
Base Time,04/26/2023 16:01:25.632632540
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.347410579911e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999933421612,Volt DC,1,T,2W,F,F,04/26/2023,16:01:25,.632632540
2,-1.345078180748e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899814456701,Volt DC,1,T,2W,F,F,04/26/2023,16:01:25,.716445020
3,-1.344712291029e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799770295620,Volt DC,1,T,2W,F,F,04/26/2023,16:01:25,.800226200
4,-1.344906650047e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699654608965,Volt DC,1,T,2W,F,F,04/26/2023,16:01:25,.884030920
5,-1.341173447145e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599868386984,Volt DC,1,T,2W,F,F,04/26/2023,16:01:25,.967839940
6,-1.345838700217e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499772518873,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.051648240
7,-1.3469575606e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399650126696,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.135425100
8,-1.343999247183e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299638003111,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.219212880
9,-1.341177267022e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199846714735,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.303014980
10,-1.340885592072e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099745631218,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.386818900
11,-1.344624797639e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999632626772,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.470608580
12,-1.342001905869e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899875685573,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.554425960
13,-1.341050756309e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799752697349,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.638223520
14,-1.346156386717e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699731856585,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.722061260
15,-1.341753795714e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599638111889,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.805886640
16,-1.33935982376e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499785766006,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.889693940
17,-1.342123414361e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399702452123,Volt DC,1,T,2W,F,F,04/26/2023,16:01:26,.973485640
18,-1.339628306596e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299614593387,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.057282060
19,-1.337269986834e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199565570801,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.141069120
20,-1.337789763056e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099802128971,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.224871960
21,-1.336669356533e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000300593601,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.308656620
22,-1.332898045803e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099839726463,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.392776580
23,-1.334951321041e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199910011142,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.476589300
24,-1.334035368927e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0299942549318,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.560378020
25,-1.33139137688e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0400031208992,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.644185280
26,-1.32944123834e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0499793067575,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.727995400
27,-1.322482603427e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0599913671613,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.811803280
28,-1.321780564467e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0699956417084,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.895611700
29,-1.316981069976e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0799998193979,Volt DC,1,T,2W,F,F,04/26/2023,16:01:27,.979419700
30,-1.309581057285e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0900072827935,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.063218860
31,-1.304400211666e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999823585153,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.147006120
32,-1.291204262088e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099935993552,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.230801320
33,-1.276864804822e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1200026497245,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.314586680
34,-1.266652634513e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1300126910210,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.398393960
35,-1.250931927643e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1399799287319,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.482209120
36,-1.228161454492e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1499902456999,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.566020000
37,-1.206637625728e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1599992215633,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.649833960
38,-1.179800619866e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1700057089329,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.733636120
39,-1.146295107901e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1800112873316,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.817417860
40,-1.108364813263e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1899858564138,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.901205880
41,-1.067154425982e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1999963670969,Volt DC,1,T,2W,F,F,04/26/2023,16:01:28,.985003380
42,-1.014474310068e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.2100017517805,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.068782000
43,-9.56726307777e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2200395613909,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.314893000
44,-8.928605893743e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2300145626068,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.399722000
45,-8.171263289114e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2400166243315,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.484527100
46,-7.287482731044e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2500164508820,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.569329140
47,-6.229497557797e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2600242197514,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.654117180
48,-5.003349997423e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2700331509113,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.738934020
49,-3.565965243979e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2800034284592,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.823741120
50,-1.807760440897e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2900034189224,Volt DC,1,T,2W,F,F,04/26/2023,16:01:29,.908578620
51,2.556121785346e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2999934256077,Volt DC,1,T,2W,F,F,04/26/2023,16:01:30,.159672400
52,2.838612999767e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.3099963068962,Volt DC,1,T,2W,F,F,04/26/2023,16:01:30,.577916320
53,6.022170509823e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.3199619650841,Volt DC,1,T,2W,F,F,04/26/2023,16:01:30,.662747740
54,9.948900697054e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.3297748565674,Volt DC,1,T,2W,F,F,04/26/2023,16:01:30,.747532100
55,1.527372842247e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3399958014488,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.145018460
56,2.209665217379e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3500047326088,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.228841160
57,3.104539791821e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3599983155727,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.312656660
58,4.312990859034e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3699711263180,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.396440180
59,5.958141628071e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3799742758274,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.480225240
60,8.203728793887e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3899743556976,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.564012600
61,0.0001133005935117,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.4000074565411,Volt DC,1,T,2W,F,F,04/26/2023,16:01:31,.801190740
