Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,80
Base Time Seconds,1682525499
Base Time Fractional,.432182040
Base Time,04/26/2023 16:11:39.432182040
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.004359374754131,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999883502722,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.432182040
2,-0.004335886798799,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899749934673,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.515964220
3,-0.00434517627582,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799710392952,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.599763680
4,-0.004341520834714,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699568331242,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.683576660
5,-0.004327052272856,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599797159433,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.767362580
6,-0.004335164092481,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499719470739,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.851143760
7,-0.00433395197615,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399580389261,Volt DC,1,T,2W,F,F,04/26/2023,16:11:39,.934939580
8,-0.004347613081336,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299569457769,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.018765040
9,-0.004359481390566,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199774071574,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.102572920
10,-0.00434832368046,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099666953087,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.186354860
11,-0.004345826338977,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999573916197,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.270166680
12,-0.004335728939623,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899789854884,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.353954500
13,-0.004339810460806,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799694657326,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.437749960
14,-0.004338731989264,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699670016766,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.521567280
15,-0.00435517122969,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599583089352,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.605374000
16,-0.004338458646089,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499705336988,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.689181200
17,-0.004329246468842,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399626418948,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.772985380
18,-0.004351729527116,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299555584788,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.856771040
19,-0.004331587348133,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199498366565,Volt DC,1,T,2W,F,F,04/26/2023,16:11:40,.940569960
20,-0.004382190760225,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099742813036,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.024390460
21,-0.00433281250298,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000367989196,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.108195720
22,-0.004343068227172,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0099963210523,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.192342840
23,-0.00434660166502,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0200036913157,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.276149620
24,-0.004321980755776,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0300060566515,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.359961740
25,-0.004336069803685,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0400132238865,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.443766680
26,-0.004344155546278,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0499907881021,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.527571020
27,-0.004323426168412,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0600025914609,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.611372260
28,-0.004340628627688,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0700092837214,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.695166340
29,-0.004359459970146,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0800125896931,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.778976840
30,-0.004332979675382,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0900197327137,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.862815760
31,-0.004311912227422,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0999947860837,Volt DC,1,T,2W,F,F,04/26/2023,16:11:41,.946626840
32,-0.004333045333624,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1100058183074,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.030407560
33,-0.004335016943514,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1200137659907,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.114198900
34,-0.004320415202528,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1300252825022,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.198016380
35,-0.00430585257709,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1399928927422,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.281817880
36,-0.004333367571235,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1500021219254,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.365621060
37,-0.004330202471465,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1600118577480,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.449419020
38,-0.00431909551844,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1700190752745,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.533213940
39,-0.004326525144279,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1800264269114,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.617018720
40,-0.004310233518481,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1899994164705,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.700830760
41,-0.004322567488998,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2000083774328,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.784636680
42,-0.004314954858273,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2100153863430,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.868416760
43,-0.004344011191279,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2200241684914,Volt DC,1,T,2W,F,F,04/26/2023,16:11:42,.952219060
44,-0.004296513274312,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2300005108118,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.036020760
45,-0.004303217399865,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2400065511465,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.119824280
46,-0.004313298501074,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2500090599060,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.203625460
47,-0.004304476082325,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2600204646587,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.287394060
48,-0.004280750639737,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2700327634811,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.371197120
49,-0.004311809316278,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2800080180168,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.454984920
50,-0.004302739631385,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2900113165379,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.538788540
51,-0.004258597735316,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3000168204308,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.622568580
52,-0.004292304627597,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3100207746029,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.706335800
53,-0.004266173578799,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3199967145920,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.790149560
54,-0.00424804771319,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3300137221813,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.873958200
55,-0.004250488243997,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3400193452835,Volt DC,1,T,2W,F,F,04/26/2023,16:11:43,.957764180
56,-0.004198963753879,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3500301837921,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.041545420
57,-0.004211117047817,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3600258231163,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.125336960
58,-0.004145137500018,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3700034618378,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.209128040
59,-0.004100996535271,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3800130486488,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.292930180
60,-0.004070699214935,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3900193572044,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.376731980
61,-0.003970297519118,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4000281989574,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.460523680
62,-0.003852551337332,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4099970459938,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.544322560
63,-0.003700885456055,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4200041592121,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.628104700
64,-0.003496050601825,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4300118088722,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.711954360
65,-0.003252318827435,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4400200247765,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.795761600
66,-0.002938234247267,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4500260353088,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.879572640
67,-0.002487099263817,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4599987864494,Volt DC,1,T,2W,F,F,04/26/2023,16:11:44,.963375080
68,-0.001970488810912,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4700026512146,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.047210220
69,-0.001348918303847,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.4800089895725,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.131041880
70,-0.0005971331847832,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.4900304377079,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.369146260
71,0.0002091218339046,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.4999792575836,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.452987180
72,0.001112828264013,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.5099866986275,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.690185860
73,0.002118200762197,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.5199869871140,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.774024400
74,0.003183239372447,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.5299931764603,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.857819480
75,0.004331352189183,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.5399978756905,Volt DC,1,T,2W,F,F,04/26/2023,16:11:45,.941602040
76,0.005528657697141,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.5499685406685,Volt DC,1,T,2W,F,F,04/26/2023,16:11:46,.025379220
77,0.006788785103709,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.5599718689919,Volt DC,1,T,2W,F,F,04/26/2023,16:11:46,.109145880
