Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,61
Base Time Seconds,1682525151
Base Time Fractional,.973767640
Base Time,04/26/2023 16:05:51.973767640
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-5.098470410303e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999863088131,Volt DC,1,T,2W,F,F,04/26/2023,16:05:51,.973767640
2,-5.098913334223e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899736374617,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.058598680
3,-5.107417564432e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799693852663,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.143404860
4,-5.133408194524e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699571907520,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.228208920
5,-5.156618954061e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599793434143,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.313004200
6,-5.157822215551e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499702483416,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.397795880
7,-5.15665169587e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399564892054,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.482606540
8,-5.15547753821e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299565583467,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.567426900
9,-5.154178325029e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199767142534,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.652260040
10,-5.152235189598e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099660247564,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.737072660
11,-5.150150172994e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999548882246,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.821871420
12,-5.147277079232e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899790823460,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.906678920
13,-5.140263965586e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799679756165,Volt DC,1,T,2W,F,F,04/26/2023,16:05:52,.991462780
14,-5.123326900502e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699649900198,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.076258640
15,-5.105716809339e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599561929703,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.161107640
16,-5.080265964352e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499703548849,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.245909860
17,-5.059915565653e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399632528424,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.330705920
18,-5.067969141237e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299560427666,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.415504040
19,-5.06340074935e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199474524707,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.500317480
20,-5.054880602984e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099712042138,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.585120440
21,-5.060951025371e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000391978683,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.669929940
22,-5.075643002783e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099967848510,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.755014140
23,-5.089958449389e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0200040675700,Volt DC,1,T,2W,F,F,04/26/2023,16:05:53,.839813600
