Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,79
Base Time Seconds,1682525856
Base Time Fractional,.003317740
Base Time,04/26/2023 16:17:36.003317740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.004350070375949,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999871432781,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.003317740
2,-0.004352077841759,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899760514498,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.087104700
3,-0.004335975740105,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799705028534,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.170896940
4,-0.004322378896177,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699583828449,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.254704860
5,-0.004355592187494,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599796861410,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.338521580
6,-0.004382234998047,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499718725681,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.422307180
7,-0.004347720183432,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399596184492,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.506109200
8,-0.004331880714744,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299575120211,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.589916560
9,-0.004343854263425,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199778020382,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.673715420
10,-0.004361728671938,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099662557244,Volt DC,1,T,2W,F,F,04/26/2023,16:17:36,.757540080
