Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,79
Base Time Seconds,1682526016
Base Time Fractional,.538623760
Base Time,04/26/2023 16:20:16.538623760
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.004314516671002,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999824941158,Volt DC,1,T,2W,F,F,04/26/2023,16:20:16,.538623760
2,-0.004342729225755,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899747848511,Volt DC,1,T,2W,F,F,04/26/2023,16:20:16,.622405840
3,-0.004330012015998,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799703687429,Volt DC,1,T,2W,F,F,04/26/2023,16:20:16,.706223100
4,-0.004343033302575,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699592918158,Volt DC,1,T,2W,F,F,04/26/2023,16:20:16,.790030040
5,-0.004338396247476,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599798500538,Volt DC,1,T,2W,F,F,04/26/2023,16:20:16,.873822060
6,-0.0043392512016,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499712616205,Volt DC,1,T,2W,F,F,04/26/2023,16:20:16,.957589120
7,-0.004329300951213,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399581134319,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.041379040
8,-0.004340480547398,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299571096897,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.125179260
9,-0.004354413598776,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199758350849,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.208975620
10,-0.004343256354332,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099674478173,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.292766940
11,-0.00433100387454,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999557226896,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.376583640
12,-0.004337061662227,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899784564972,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.460377520
13,-0.004329555667937,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799695700407,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.544181380
14,-0.004360505845398,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699674487114,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.627965780
15,-0.004330697469413,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599597319961,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.711766920
16,-0.004338986240327,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499700419605,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.795574220
17,-0.004348111338913,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399645529687,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.879370520
18,-0.004318087361753,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299552902579,Volt DC,1,T,2W,F,F,04/26/2023,16:20:17,.963171300
19,-0.004342497326434,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199500452727,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.046985920
20,-0.004343575332314,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099734747782,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.130792320
21,-0.004330963362008,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000367988687,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.214591800
22,-0.004360237158835,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0099937962368,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.298704660
23,-0.004342861007899,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0200016330928,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.382514600
24,-0.004356517922133,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0300055742264,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.466310200
25,-0.004336144775152,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0400135219097,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.550101760
26,-0.004329528659582,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0499920137227,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.633887420
27,-0.004338508937508,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0600023604929,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.717684260
28,-0.00431281235069,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0700092762709,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.801477340
29,-0.00431901216507,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0800187066197,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.885284160
30,-0.004341879393905,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0900202840567,Volt DC,1,T,2W,F,F,04/26/2023,16:20:18,.969097920
31,-0.004343430977315,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0999954864383,Volt DC,1,T,2W,F,F,04/26/2023,16:20:19,.052893220
32,-0.004324298352003,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1100051924586,Volt DC,1,T,2W,F,F,04/26/2023,16:20:19,.136674560
33,-0.004323650617152,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1200146079063,Volt DC,1,T,2W,F,F,04/26/2023,16:20:19,.220507820
34,-0.004337628372014,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1300242990255,Volt DC,1,T,2W,F,F,04/26/2023,16:20:19,.304294380
