Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,79
Base Time Seconds,1682525943
Base Time Fractional,.603788660
Base Time,04/26/2023 16:19:03.603788660
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.004357940983027,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999872028828,Volt DC,1,T,2W,F,F,04/26/2023,16:19:03,.603788660
2,-0.004352634772658,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899755895138,Volt DC,1,T,2W,F,F,04/26/2023,16:19:03,.687588560
3,-0.004356787540019,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799710839987,Volt DC,1,T,2W,F,F,04/26/2023,16:19:03,.771387520
4,-0.004337508231401,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699585169554,Volt DC,1,T,2W,F,F,04/26/2023,16:19:03,.855192120
5,-0.004355925600976,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599797904491,Volt DC,1,T,2W,F,F,04/26/2023,16:19:03,.939008740
6,-0.004346111789346,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499725282192,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.022794420
7,-0.004350010771304,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399591863155,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.106598520
8,-0.004352016374469,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299571096897,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.190425840
9,-0.004330119583756,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199735701084,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.274250060
10,-0.004349835216999,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099668741226,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.358043840
11,-0.004361385945231,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999563857913,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.441863740
12,-0.004370980896056,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899808183312,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.525675080
13,-0.004353131633252,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799691602588,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.609470200
14,-0.004358208272606,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699656754732,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.693252900
15,-0.004347797948867,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599581189454,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.777051640
16,-0.004335383418947,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499709136784,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.860839920
17,-0.004358407109976,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399648658931,Volt DC,1,T,2W,F,F,04/26/2023,16:19:04,.944657180
18,-0.004327910486609,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299566630274,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.028460840
19,-0.004336924292147,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199497099966,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.112272980
20,-0.004369342233986,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099715348333,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.196076260
21,-0.004318393301219,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000367988614,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.279887600
22,-0.004330635070801,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0099955126643,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.363999480
23,-0.004340612329543,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0200025476515,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.447810860
24,-0.004332204349339,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0300060398877,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.531606280
25,-0.004317549988627,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0400129519403,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.615394920
26,-0.004339802078903,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0499924607575,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.699190840
27,-0.004358559381217,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0600024498999,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.783019280
28,-0.004319116938859,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0700085908175,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.866820360
29,-0.004345376975834,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0800125077367,Volt DC,1,T,2W,F,F,04/26/2023,16:19:05,.950607440
30,-0.004366720095277,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0900180637836,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.034419040
31,-0.004316309001297,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0999929308891,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.118244560
32,-0.004324787296355,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1100067943335,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.202068720
33,-0.004325639922172,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1200139299035,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.285884380
34,-0.004325945395976,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1300247907639,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.369681820
35,-0.004332365002483,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1399924457073,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.453503740
36,-0.004322590306401,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1500019580126,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.537311060
37,-0.004345112945884,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1600109636784,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.621118160
38,-0.004308527335525,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1700201928616,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.704909980
39,-0.004311464726925,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1800289005041,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.788706060
40,-0.004339003935456,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.1899973750114,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.872506140
41,-0.004308744333684,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2000076472759,Volt DC,1,T,2W,F,F,04/26/2023,16:19:06,.956306080
42,-0.004310017451644,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2100157886744,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.040126800
43,-0.004323911853135,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2200241237879,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.123945680
44,-0.004288312513381,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2299998551607,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.207737240
45,-0.004323146305978,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2400047034025,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.291532680
46,-0.00432346528396,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2500072717667,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.375340380
47,-0.004320968408138,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2600200176239,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.459118080
48,-0.004301205743104,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2700312733650,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.542912000
49,-0.004274044651538,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2800065875053,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.626722840
50,-0.004266958218068,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.2900134921074,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.710518120
51,-0.004263907205313,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3000164330006,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.794299320
52,-0.004255479667336,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3100212514400,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.878082940
53,-0.004254823084921,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.3199966251850,Volt DC,1,T,2W,F,F,04/26/2023,16:19:07,.961870020
