Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,79
Base Time Seconds,1682526058
Base Time Fractional,.539457500
Base Time,04/26/2023 16:20:58.539457500
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.004351613577455,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999867409468,Volt DC,1,T,2W,F,F,04/26/2023,16:20:58,.539457500
2,-0.004374430980533,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1899755150080,Volt DC,1,T,2W,F,F,04/26/2023,16:20:58,.623244700
3,-0.004341358318925,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1799769699574,Volt DC,1,T,2W,F,F,04/26/2023,16:20:58,.707025060
4,-0.004339884035289,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1699584424496,Volt DC,1,T,2W,F,F,04/26/2023,16:20:58,.790839860
5,-0.004347136709839,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1599798351526,Volt DC,1,T,2W,F,F,04/26/2023,16:20:58,.874635040
6,-0.004339307080954,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499712914228,Volt DC,1,T,2W,F,F,04/26/2023,16:20:58,.958425480
7,-0.004325107205659,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1399601548910,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.042242160
8,-0.004340171813965,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1299583762884,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.126045980
9,-0.004327750764787,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1199764236808,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.209864060
10,-0.004332860931754,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.1099670827389,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.293654680
11,-0.004341358784586,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0999548956752,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.377439420
12,-0.004388983361423,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0899794921279,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.461246680
13,-0.004351371433586,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0799700021744,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.545054600
14,-0.004334555007517,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0699663236737,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.628856900
15,-0.004339642822742,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0599564015865,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.712646020
16,-0.004345014225692,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0499710664153,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.796457180
17,-0.004325180314481,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0399680957198,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.880255840
18,-0.004327001050115,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0299571231008,Volt DC,1,T,2W,F,F,04/26/2023,16:20:59,.964060520
19,-0.004325035493821,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0199502725154,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.047878720
20,-0.004343254957348,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0099740428850,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.131681600
21,-0.004345837049186,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000379411722,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.215461200
22,-0.004379183985293,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0099961981177,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.299593120
23,-0.004359063692391,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0200029984117,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.383395160
24,-0.0043073464185,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0300061292946,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.467197960
25,-0.004371768794954,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0400132909417,Volt DC,1,T,2W,F,F,04/26/2023,16:21:00,.551008860
