VBias,C
-3,1.1638E-10
-2.99,1.16449E-10
-2.98,1.16408E-10
-2.97,1.16443E-10
-2.96,1.16641E-10
-2.95,1.16751E-10
-2.94,1.1672E-10
-2.93,1.16693E-10
-2.92,1.16784E-10
-2.91,1.17011E-10
-2.9,1.1716E-10
-2.89,1.17253E-10
-2.88,1.17334E-10
-2.87,1.17418E-10
-2.86,1.17747E-10
-2.85,1.17849E-10
-2.84,1.18074E-10
-2.83,1.18067E-10
-2.82,1.18082E-10
-2.81,1.18402E-10
-2.8,1.18419E-10
-2.79,1.18572E-10
-2.78,1.18706E-10
-2.77,1.1887E-10
-2.76,1.18902E-10
-2.75,1.18964E-10
-2.74,1.19202E-10
-2.73,1.19323E-10
-2.72,1.19556E-10
-2.71,1.19679E-10
-2.7,1.19964E-10
-2.69,1.19954E-10
-2.68,1.20014E-10
-2.67,1.20281E-10
-2.66,1.20503E-10
-2.65,1.20611E-10
-2.64,1.20839E-10
-2.63,1.20868E-10
-2.62,1.20956E-10
-2.61,1.21258E-10
-2.6,1.21296E-10
-2.59,1.21547E-10
-2.58,1.21616E-10
-2.57,1.21956E-10
-2.56,1.22213E-10
-2.55,1.22155E-10
-2.54,1.22403E-10
-2.53,1.22514E-10
-2.52,1.22668E-10
-2.51,1.22865E-10
-2.5,1.22882E-10
-2.49,1.23195E-10
-2.48,1.23293E-10
-2.47,1.23601E-10
-2.46,1.23806E-10
-2.45,1.23704E-10
-2.44,1.24052E-10
-2.43,1.24242E-10
-2.42,1.24469E-10
-2.41,1.24772E-10
-2.4,1.24629E-10
-2.39,1.25064E-10
-2.38,1.25067E-10
-2.37,1.25369E-10
-2.36,1.257E-10
-2.35,1.2576E-10
-2.34,1.25769E-10
-2.33,1.25959E-10
-2.32,1.26093E-10
-2.31,1.26438E-10
-2.3,1.26537E-10
-2.29,1.26727E-10
-2.28,1.26673E-10
-2.27,1.27071E-10
-2.26,1.27327E-10
-2.25,1.27528E-10
-2.24,1.27755E-10
-2.23,1.27945E-10
-2.22,1.28242E-10
-2.21,1.28182E-10
-2.2,1.2851E-10
-2.19,1.28884E-10
-2.18,1.28962E-10
-2.17,1.29308E-10
-2.16,1.29331E-10
-2.15,1.29542E-10
-2.14,1.29653E-10
-2.13,1.3E-10
-2.12,1.3027E-10
-2.11,1.30546E-10
-2.1,1.30652E-10
-2.09,1.30923E-10
-2.08,1.31013E-10
-2.07,1.31427E-10
-2.06,1.31584E-10
-2.05,1.31933E-10
-2.04,1.32038E-10
-2.03,1.32212E-10
-2.02,1.32545E-10
-2.01,1.32629E-10
-2,1.3301E-10
-1.99,1.33126E-10
-1.98,1.33386E-10
-1.97,1.33696E-10
-1.96,1.33701E-10
-1.95,1.34158E-10
-1.94,1.34222E-10
-1.93,1.34529E-10
-1.92,1.34901E-10
-1.91,1.35112E-10
-1.9,1.35416E-10
-1.89,1.35624E-10
-1.88,1.3581E-10
-1.87,1.35973E-10
-1.86,1.36299E-10
-1.85,1.3664E-10
-1.84,1.37141E-10
-1.83,1.37048E-10
-1.82,1.37386E-10
-1.81,1.37694E-10
-1.8,1.37988E-10
-1.79,1.38051E-10
-1.78,1.38491E-10
-1.77,1.38732E-10
-1.76,1.38855E-10
-1.75,1.39216E-10
-1.74,1.39556E-10
-1.73,1.39663E-10
-1.72,1.4007E-10
-1.71,1.40284E-10
-1.7,1.40704E-10
-1.69,1.4095E-10
-1.68,1.4128E-10
-1.67,1.41695E-10
-1.66,1.41795E-10
-1.65,1.42213E-10
-1.64,1.42506E-10
-1.63,1.42718E-10
-1.62,1.42904E-10
-1.61,1.43156E-10
-1.6,1.4371E-10
-1.59,1.43795E-10
-1.58,1.44304E-10
-1.57,1.44515E-10
-1.56,1.44706E-10
-1.55,1.45116E-10
-1.54,1.45571E-10
-1.53,1.45816E-10
-1.52,1.46139E-10
-1.51,1.46277E-10
-1.5,1.46903E-10
-1.49,1.47087E-10
-1.48,1.47421E-10
-1.47,1.47739E-10
-1.46,1.48197E-10
-1.45,1.48745E-10
-1.44,1.48751E-10
-1.43,1.49131E-10
-1.42,1.49536E-10
-1.41,1.49791E-10
-1.4,1.50215E-10
-1.39,1.50561E-10
-1.38,1.51035E-10
-1.37,1.51221E-10
-1.36,1.51482E-10
-1.35,1.51992E-10
-1.34,1.5225E-10
-1.33,1.52724E-10
-1.32,1.53075E-10
-1.31,1.533E-10
-1.3,1.53879E-10
-1.29,1.54061E-10
-1.28,1.54655E-10
-1.27,1.54947E-10
-1.26,1.55216E-10
-1.25,1.55955E-10
-1.24,1.56071E-10
-1.23,1.56752E-10
-1.22,1.56903E-10
-1.21,1.57519E-10
-1.2,1.58097E-10
-1.19,1.58249E-10
-1.18,1.5891E-10
-1.17,1.59309E-10
-1.16,1.59829E-10
-1.15,1.60176E-10
-1.14,1.60629E-10
-1.13,1.61037E-10
-1.12,1.6162E-10
-1.11,1.62008E-10
-1.1,1.62473E-10
-1.09,1.62967E-10
-1.08,1.63592E-10
-1.07,1.63829E-10
-1.06,1.64558E-10
-1.05,1.65154E-10
-1.04,1.65448E-10
-1.03,1.66045E-10
-1.02,1.66571E-10
-1.01,1.67117E-10
-1,1.67531E-10
-0.99,1.68143E-10
-0.98,1.68506E-10
-0.97,1.69204E-10
-0.96,1.69807E-10
-0.95,1.70397E-10
-0.94,1.71035E-10
-0.93,1.71475E-10
-0.92,1.72351E-10
-0.91,1.72429E-10
-0.9,1.7336E-10
-0.89,1.73983E-10
-0.88,1.74213E-10
-0.87,1.74862E-10
-0.86,1.75351E-10
-0.85,1.76203E-10
-0.84,1.76723E-10
-0.83,1.77401E-10
-0.82,1.78122E-10
-0.81,1.78273E-10
-0.8,1.7904E-10
-0.79,1.79539E-10
-0.78,1.80132E-10
-0.77,1.80985E-10
-0.76,1.81269E-10
-0.75,1.82192E-10
-0.74,1.82433E-10
-0.73,1.8306E-10
-0.72,1.83706E-10
-0.71,1.84195E-10
-0.7,1.85166E-10
-0.69,1.85037E-10
-0.68,1.85597E-10
-0.67,1.85874E-10
-0.66,1.86454E-10
-0.65,1.86892E-10
-0.64,1.87134E-10
-0.63,1.87511E-10
-0.62,1.87549E-10
-0.61,1.87714E-10
-0.6,1.87757E-10
-0.59,1.88113E-10
-0.58,1.8827E-10
-0.57,1.88559E-10
-0.56,1.88686E-10
-0.55,1.88999E-10
-0.54,1.88805E-10
-0.53,1.89069E-10
-0.52,1.89484E-10
-0.51,1.89247E-10
-0.5,1.89618E-10
-0.49,1.89315E-10
-0.48,1.89856E-10
-0.47,1.89918E-10
-0.46,1.89935E-10
-0.45,1.90269E-10
-0.44,1.90397E-10
-0.43,1.90679E-10
-0.42,1.91287E-10
-0.41,1.91299E-10
-0.4,1.9176E-10
-0.39,1.91715E-10
-0.38,1.92298E-10
-0.37,1.92997E-10
-0.36,1.93284E-10
-0.35,1.94564E-10
-0.34,1.94926E-10
-0.33,1.96305E-10
-0.32,1.96926E-10
-0.31,1.97967E-10
-0.3,1.9937E-10
-0.29,2.00109E-10
-0.28,2.01422E-10
-0.27,2.024E-10
-0.26,2.03534E-10
-0.25,2.05137E-10
-0.24,2.05769E-10
-0.23,2.07254E-10
-0.22,2.08494E-10
-0.21,2.09918E-10
-0.2,2.11189E-10
-0.19,2.1192E-10
-0.18,2.13672E-10
-0.17,2.15038E-10
-0.16,2.1613E-10
-0.15,2.17751E-10
-0.14,2.18983E-10
-0.13,2.20814E-10
-0.12,2.22253E-10
-0.11,2.23763E-10
-0.1,2.25718E-10
-0.09,2.2674E-10
-0.08,2.28876E-10
-0.07,2.30017E-10
-0.06,2.31799E-10
-0.05,2.33753E-10
-0.04,2.35024E-10
-0.03,2.37653E-10
-0.02,2.38913E-10
-0.01,2.41114E-10
0,2.43509E-10
0.01,2.44769E-10
0.02,2.47533E-10
0.03,2.48943E-10
0.04,2.51499E-10
0.05,2.54088E-10
0.06,2.55642E-10
0.07,2.58455E-10
0.08,2.60316E-10
0.09,2.62906E-10
0.1,2.65412E-10
0.11,2.67456E-10
0.12,2.70432E-10
0.13,2.72185E-10
0.14,2.74968E-10
0.15,2.77256E-10
0.16,2.79695E-10
0.17,2.82761E-10
0.18,2.84644E-10
0.19,2.88016E-10
0.2,2.90393E-10
0.21,2.92346E-10
0.22,2.95713E-10
0.23,2.97704E-10
0.24,3.00947E-10
0.25,3.0318E-10
0.26,3.05522E-10
0.27,3.08376E-10
0.28,3.10132E-10
0.29,3.12937E-10
0.3,3.14961E-10
0.31,3.16947E-10
0.32,3.19139E-10
0.33,3.20669E-10
0.34,3.23493E-10
0.35,3.25107E-10
0.36,3.2689E-10
0.37,3.28857E-10
0.38,3.30063E-10
0.39,3.32619E-10
0.4,3.33815E-10
0.41,3.35229E-10
0.42,3.36883E-10
0.43,3.38023E-10
0.44,3.39988E-10
0.45,3.40617E-10
0.46,3.42104E-10
0.47,3.4355E-10
0.48,3.44269E-10
0.49,3.45802E-10
0.5,3.46645E-10
0.51,3.47559E-10
0.52,3.48254E-10
0.53,3.49444E-10
0.54,3.50357E-10
0.55,3.50838E-10
0.56,3.52213E-10
0.57,3.52661E-10
0.58,3.53685E-10
0.59,3.54282E-10
0.6,3.55086E-10
0.61,3.55844E-10
0.62,3.56269E-10
0.63,3.56904E-10
0.64,3.57326E-10
0.65,3.57838E-10
0.66,3.58508E-10
0.67,3.59167E-10
0.68,3.59586E-10
0.69,3.59962E-10
0.7,3.60201E-10
0.71,3.61021E-10
0.72,3.60985E-10
0.73,3.6163E-10
0.74,3.62143E-10
0.75,3.62552E-10
0.76,3.62831E-10
0.77,3.63092E-10
0.78,3.63811E-10
0.79,3.63863E-10
0.8,3.63639E-10
0.81,3.64589E-10
0.82,3.64569E-10
0.83,3.65147E-10
0.84,3.65198E-10
0.85,3.65508E-10
0.86,3.65813E-10
0.87,3.66015E-10
0.88,3.66191E-10
0.89,3.66665E-10
0.9,3.66753E-10
0.91,3.66797E-10
0.92,3.67265E-10
0.93,3.6718E-10
0.94,3.67418E-10
0.95,3.67905E-10
0.96,3.67982E-10
0.97,3.6805E-10
0.98,3.68127E-10
0.99,3.68132E-10
1,3.68082E-10
1.01,3.68568E-10
1.02,3.68816E-10
1.03,3.69068E-10
1.04,3.69336E-10
1.05,3.69379E-10
1.06,3.69527E-10
1.07,3.69573E-10
1.08,3.69807E-10
1.09,3.69973E-10
1.1,3.70015E-10
1.11,3.70113E-10
1.12,3.70146E-10
