VBias,C
-3,1.2834E-10
-2.99,1.2855E-10
-2.98,1.28713E-10
-2.97,1.28908E-10
-2.96,1.29094E-10
-2.95,1.29302E-10
-2.94,1.29444E-10
-2.93,1.29647E-10
-2.92,1.29773E-10
-2.91,1.29991E-10
-2.9,1.3018E-10
-2.89,1.30341E-10
-2.88,1.30539E-10
-2.87,1.30693E-10
-2.86,1.3091E-10
-2.85,1.31073E-10
-2.84,1.31276E-10
-2.83,1.31459E-10
-2.82,1.31637E-10
-2.81,1.31832E-10
-2.8,1.32036E-10
-2.79,1.32224E-10
-2.78,1.32466E-10
-2.77,1.32686E-10
-2.76,1.32853E-10
-2.75,1.33031E-10
-2.74,1.33249E-10
-2.73,1.33426E-10
-2.72,1.33646E-10
-2.71,1.33874E-10
-2.7,1.34053E-10
-2.69,1.34243E-10
-2.68,1.34447E-10
-2.67,1.34654E-10
-2.66,1.34837E-10
-2.65,1.35057E-10
-2.64,1.35253E-10
-2.63,1.35488E-10
-2.62,1.35689E-10
-2.61,1.35896E-10
-2.6,1.36139E-10
-2.59,1.3626E-10
-2.58,1.36516E-10
-2.57,1.36719E-10
-2.56,1.36973E-10
-2.55,1.37183E-10
-2.54,1.37412E-10
-2.53,1.37631E-10
-2.52,1.37853E-10
-2.51,1.38097E-10
-2.5,1.38318E-10
-2.49,1.38547E-10
-2.48,1.38764E-10
-2.47,1.39028E-10
-2.46,1.3923E-10
-2.45,1.39454E-10
-2.44,1.39675E-10
-2.43,1.39872E-10
-2.42,1.40067E-10
-2.41,1.40365E-10
-2.4,1.40596E-10
-2.39,1.40846E-10
-2.38,1.4109E-10
-2.37,1.41336E-10
-2.36,1.4158E-10
-2.35,1.41817E-10
-2.34,1.42089E-10
-2.33,1.42287E-10
-2.32,1.42524E-10
-2.31,1.42826E-10
-2.3,1.43061E-10
-2.29,1.43336E-10
-2.28,1.43528E-10
-2.27,1.43811E-10
-2.26,1.4409E-10
-2.25,1.44325E-10
-2.24,1.44551E-10
-2.23,1.44828E-10
-2.22,1.4508E-10
-2.21,1.45385E-10
-2.2,1.45653E-10
-2.19,1.45946E-10
-2.18,1.46184E-10
-2.17,1.46449E-10
-2.16,1.46688E-10
-2.15,1.46973E-10
-2.14,1.47266E-10
-2.13,1.47552E-10
-2.12,1.47819E-10
-2.11,1.48102E-10
-2.1,1.48363E-10
-2.09,1.48684E-10
-2.08,1.48963E-10
-2.07,1.49231E-10
-2.06,1.49545E-10
-2.05,1.49802E-10
-2.04,1.50083E-10
-2.03,1.50419E-10
-2.02,1.50708E-10
-2.01,1.5101E-10
-2,1.51289E-10
-1.99,1.51537E-10
-1.98,1.51893E-10
-1.97,1.5218E-10
-1.96,1.52498E-10
-1.95,1.52794E-10
-1.94,1.53102E-10
-1.93,1.53401E-10
-1.92,1.53768E-10
-1.91,1.54066E-10
-1.9,1.54415E-10
-1.89,1.54716E-10
-1.88,1.55026E-10
-1.87,1.55364E-10
-1.86,1.55694E-10
-1.85,1.56043E-10
-1.84,1.56367E-10
-1.83,1.56709E-10
-1.82,1.5704E-10
-1.81,1.57353E-10
