VBias,C
-3,1.55741E-10
-2.99,1.57437E-10
-2.98,1.5844E-10
-2.97,1.57076E-10
-2.96,1.57666E-10
-2.95,1.5955E-10
-2.94,1.6034E-10
-2.93,1.60804E-10
-2.92,1.59635E-10
-2.91,1.61548E-10
-2.9,1.627E-10
-2.89,1.62721E-10
-2.88,1.61545E-10
-2.87,1.63087E-10
-2.86,1.65209E-10
-2.85,1.64888E-10
-2.84,1.63614E-10
-2.83,1.63412E-10
-2.82,1.67231E-10
-2.81,1.66471E-10
-2.8,1.65304E-10
-2.79,1.64884E-10
-2.78,1.6917E-10
-2.77,1.68639E-10
-2.76,1.67329E-10
-2.75,1.6845E-10
-2.74,1.7125E-10
-2.73,1.70028E-10
-2.72,1.7066E-10
-2.71,1.72086E-10
-2.7,1.73419E-10
-2.69,1.72398E-10
-2.68,1.74661E-10
-2.67,1.76048E-10
-2.66,1.78995E-10
-2.65,1.76225E-10
-2.64,1.7752E-10
-2.63,1.8087E-10
-2.62,1.82335E-10
-2.61,1.82995E-10
-2.6,1.82367E-10
-2.59,1.84656E-10
-2.58,1.85972E-10
-2.57,1.86344E-10
-2.56,1.8519E-10
-2.55,1.88051E-10
-2.54,1.89937E-10
-2.53,1.89676E-10
-2.52,1.88568E-10
-2.51,1.91348E-10
-2.5,1.92938E-10
-2.49,1.92517E-10
-2.48,1.918E-10
-2.47,1.92412E-10
-2.46,1.9695E-10
-2.45,1.96575E-10
-2.44,1.96197E-10
-2.43,1.95609E-10
-2.42,1.97551E-10
-2.41,2.01229E-10
-2.4,2.01016E-10
-2.39,2.01253E-10
-2.38,2.01717E-10
-2.37,2.03362E-10
-2.36,2.0639E-10
-2.35,2.05444E-10
-2.34,2.07301E-10
-2.33,2.08059E-10
-2.32,2.11272E-10
-2.31,2.12255E-10
-2.3,2.11684E-10
-2.29,2.13114E-10
-2.28,2.15696E-10
-2.27,2.18029E-10
-2.26,2.18185E-10
-2.25,2.19031E-10
-2.24,2.20259E-10
-2.23,2.23205E-10
-2.22,2.25502E-10
-2.21,2.2609E-10
-2.2,2.26525E-10
-2.19,2.28456E-10
-2.18,2.33299E-10
-2.17,2.34391E-10
-2.16,2.3491E-10
-2.15,2.35673E-10
-2.14,2.36795E-10
-2.13,2.42216E-10
-2.12,2.43733E-10
-2.11,2.43578E-10
-2.1,2.44383E-10
-2.09,2.46528E-10
-2.08,2.48034E-10
-2.07,2.5326E-10
-2.06,2.54641E-10
-2.05,2.55376E-10
-2.04,2.57213E-10
-2.03,2.57699E-10
-2.02,2.63749E-10
-2.01,2.65611E-10
-2,2.67342E-10
-1.99,2.68166E-10
-1.98,2.69858E-10
-1.97,2.73964E-10
-1.96,2.76506E-10
-1.95,2.78694E-10
-1.94,2.80834E-10
-1.93,2.80593E-10
-1.92,2.83647E-10
-1.91,2.86249E-10
-1.9,2.89011E-10
-1.89,2.90103E-10
-1.88,2.88544E-10
-1.87,2.90199E-10
-1.86,2.91884E-10
-1.85,2.94027E-10
-1.84,2.95063E-10
-1.83,2.92879E-10
-1.82,2.93019E-10
-1.81,2.93801E-10
-1.8,2.94957E-10
-1.79,2.96555E-10
-1.78,2.95513E-10
-1.77,2.94574E-10
-1.76,2.93917E-10
-1.75,2.94226E-10
-1.74,2.94565E-10
-1.73,2.96331E-10
-1.72,2.95585E-10
-1.71,2.95424E-10
-1.7,2.93971E-10
-1.69,2.9442E-10
-1.68,2.97427E-10
-1.67,2.96751E-10
-1.66,2.95502E-10
-1.65,2.95158E-10
-1.64,2.94389E-10
-1.63,2.97787E-10
-1.62,2.97114E-10
-1.61,2.97055E-10
-1.6,2.95134E-10
-1.59,2.95119E-10
-1.58,2.98336E-10
-1.57,2.98259E-10
-1.56,2.96858E-10
-1.55,2.96219E-10
-1.54,2.95198E-10
-1.53,2.97572E-10
-1.52,2.98345E-10
-1.51,2.97429E-10
-1.5,2.96921E-10
-1.49,2.96984E-10
-1.48,2.98213E-10
-1.47,2.98175E-10
-1.46,2.98064E-10
-1.45,2.96766E-10
-1.44,2.96936E-10
-1.43,2.98032E-10
-1.42,2.98924E-10
-1.41,2.97789E-10
-1.4,2.96179E-10
-1.39,2.97767E-10
-1.38,2.97855E-10
-1.37,2.98734E-10
-1.36,2.97423E-10
-1.35,2.95927E-10
-1.34,2.97272E-10
-1.33,2.9789E-10
-1.32,2.98219E-10
-1.31,2.97008E-10
-1.3,2.96105E-10
-1.29,2.97106E-10
-1.28,2.98269E-10
-1.27,2.97468E-10
-1.26,2.96164E-10
-1.25,2.96539E-10
-1.24,2.97562E-10
-1.23,2.98401E-10
-1.22,2.98542E-10
-1.21,2.94873E-10
-1.2,2.95547E-10
-1.19,2.96988E-10
-1.18,2.9742E-10
-1.17,2.97953E-10
-1.16,2.94567E-10
-1.15,2.94665E-10
-1.14,2.95545E-10
-1.13,2.96592E-10
-1.12,2.96951E-10
-1.11,2.9477E-10
-1.1,2.94386E-10
-1.09,2.93757E-10
-1.08,2.94692E-10
-1.07,2.97073E-10
-1.06,2.97362E-10
-1.05,2.9713E-10
-1.04,2.96284E-10
-1.03,2.96309E-10
-1.02,2.96689E-10
-1.01,2.97864E-10
-1,2.98129E-10
-0.99,2.99833E-10
-0.98,2.99825E-10
-0.97,3.00021E-10
-0.96,2.96973E-10
-0.95,2.96622E-10
-0.94,2.97062E-10
-0.93,2.97199E-10
-0.92,2.97848E-10
-0.91,2.99099E-10
-0.9,3.00534E-10
-0.89,2.99691E-10
-0.88,3.00564E-10
-0.87,3.00957E-10
-0.86,3.03272E-10
-0.85,3.0368E-10
-0.84,3.04955E-10
-0.83,3.06125E-10
-0.82,3.08369E-10
-0.81,3.07183E-10
-0.8,3.09476E-10
-0.79,3.10384E-10
-0.78,3.1354E-10
-0.77,3.15598E-10
-0.76,3.18475E-10
-0.75,3.20037E-10
-0.74,3.22296E-10
-0.73,3.23823E-10
-0.72,3.25821E-10
-0.71,3.27745E-10
-0.7,3.29913E-10
-0.69,3.31875E-10
-0.68,3.34883E-10
-0.67,3.37152E-10
-0.66,3.40507E-10
-0.65,3.41793E-10
-0.64,3.44858E-10
-0.63,3.4744E-10
-0.62,3.50933E-10
-0.61,3.53479E-10
-0.6,3.57591E-10
-0.59,3.60881E-10
-0.58,3.64196E-10
-0.57,3.683E-10
-0.56,3.71345E-10
-0.55,3.74525E-10
-0.54,3.78088E-10
-0.53,3.82338E-10
-0.52,3.86492E-10
-0.51,3.91102E-10
-0.5,3.95182E-10
-0.49,3.99314E-10
-0.48,4.05337E-10
-0.47,4.10678E-10
-0.46,4.14839E-10
-0.45,4.19961E-10
-0.44,4.26647E-10
-0.43,4.33707E-10
-0.42,4.4064E-10
-0.41,4.46336E-10
-0.4,4.52929E-10
-0.39,4.6026E-10
-0.38,4.63247E-10
-0.37,4.69792E-10
-0.36,4.78213E-10
-0.35,4.8479E-10
-0.34,4.93133E-10
-0.33,5.01033E-10
-0.32,5.13625E-10
-0.31,5.22708E-10
-0.3,5.31803E-10
-0.29,5.41727E-10
-0.28,5.51433E-10
-0.27,5.61599E-10
-0.26,5.72885E-10
-0.25,5.8623E-10
-0.24,5.9831E-10
-0.23,6.12834E-10
-0.22,6.25252E-10
-0.21,6.42704E-10
-0.2,6.58107E-10
-0.19,6.73904E-10
-0.18,6.91649E-10
-0.17,7.13803E-10
-0.16,7.3338E-10
-0.15,7.54139E-10
-0.14,7.74264E-10
-0.13,7.96179E-10
-0.12,8.16144E-10
-0.11,8.3989E-10
-0.1,8.62877E-10
-0.09,8.88567E-10
-0.08,9.18199E-10
-0.07,9.44284E-10
-0.06,9.69498E-10
-0.05,9.97539E-10
-0.04,1.02412E-09
-0.03,1.05041E-09
-0.02,1.07726E-09
-0.01,1.10383E-09
0,1.1319E-09
0.01,1.15796E-09
0.02,1.18501E-09
0.03,1.21082E-09
0.04,1.23591E-09
0.05,1.25978E-09
0.06,1.28439E-09
0.07,1.30768E-09
0.08,1.3302E-09
0.09,1.35476E-09
0.1,1.37555E-09
0.11,1.39608E-09
0.12,1.41604E-09
0.13,1.43184E-09
0.14,1.44828E-09
0.15,1.46625E-09
0.16,1.48249E-09
0.17,1.49815E-09
0.18,1.5148E-09
0.19,1.52887E-09
0.2,1.54153E-09
0.21,1.55551E-09
0.22,1.57045E-09
0.23,1.58278E-09
0.24,1.59536E-09
0.25,1.6031E-09
0.26,1.61603E-09
0.27,1.62756E-09
0.28,1.63253E-09
0.29,1.64622E-09
0.3,1.65128E-09
0.31,1.66347E-09
0.32,1.66969E-09
0.33,1.67612E-09
0.34,1.68733E-09
0.35,1.69001E-09
0.36,1.70047E-09
0.37,1.70453E-09
0.38,1.71367E-09
0.39,1.71863E-09
0.4,1.7243E-09
0.41,1.73189E-09
0.42,1.73421E-09
0.43,1.74228E-09
0.44,1.74723E-09
0.45,1.7517E-09
0.46,1.75706E-09
0.47,1.76108E-09
0.48,1.76601E-09
0.49,1.77097E-09
0.5,1.77242E-09
0.51,1.77961E-09
0.52,1.77987E-09
0.53,1.7884E-09
0.54,1.78815E-09
0.55,1.79722E-09
0.56,1.79661E-09
0.57,1.79783E-09
0.58,1.80584E-09
0.59,1.80463E-09
0.6,1.81204E-09
0.61,1.81091E-09
0.62,1.81735E-09
0.63,1.81764E-09
0.64,1.81794E-09
0.65,1.82659E-09
0.66,1.82559E-09
0.67,1.83066E-09
0.68,1.82996E-09
0.69,1.8357E-09
0.7,1.83521E-09
0.71,1.83805E-09
0.72,1.84134E-09
0.73,1.84164E-09
0.74,1.84529E-09
0.75,1.84599E-09
0.76,1.84804E-09
0.77,1.85009E-09
0.78,1.85208E-09
0.79,1.85464E-09
0.8,1.8559E-09
0.81,1.85735E-09
0.82,1.86039E-09
0.83,1.86011E-09
0.84,1.86367E-09
0.85,1.86391E-09
0.86,1.86708E-09
0.87,1.86626E-09
0.88,1.8679E-09
0.89,1.8716E-09
0.9,1.86921E-09
0.91,1.87571E-09
0.92,1.87481E-09
0.93,1.87714E-09
0.94,1.87618E-09
0.95,1.87991E-09
0.96,1.88144E-09
0.97,1.87867E-09
0.98,1.88478E-09
0.99,1.88131E-09
1,1.88566E-09
1.01,1.88459E-09
1.02,1.88885E-09
1.03,1.88876E-09
1.04,1.88791E-09
1.05,1.89238E-09
1.06,1.88974E-09
1.07,1.89323E-09
1.08,1.89213E-09
1.09,1.89593E-09
1.1,1.89449E-09
1.11,1.89659E-09
1.12,1.89899E-09
1.13,1.89637E-09
1.14,1.90085E-09
1.15,1.89879E-09
1.16,1.90125E-09
1.17,1.90002E-09
1.18,1.90341E-09
1.19,1.90385E-09
1.2,1.90395E-09
1.21,1.90642E-09
1.22,1.90538E-09
1.23,1.90631E-09
1.24,1.90753E-09
1.25,1.90703E-09
1.26,1.90993E-09
1.27,1.91115E-09
1.28,1.90964E-09
1.29,1.912E-09
1.3,1.91003E-09
1.31,1.91314E-09
1.32,1.91302E-09
1.33,1.91485E-09
1.34,1.91479E-09
1.35,1.91497E-09
1.36,1.91734E-09
1.37,1.9142E-09
1.38,1.91899E-09
1.39,1.91589E-09
1.4,1.92023E-09
1.41,1.91874E-09
1.42,1.91754E-09
1.43,1.92138E-09
1.44,1.9187E-09
1.45,1.92299E-09
1.46,1.91954E-09
1.47,1.92355E-09
1.48,1.92059E-09
1.49,1.92519E-09
1.5,1.9222E-09
1.51,1.92252E-09
1.52,1.92734E-09
1.53,1.92344E-09
1.54,1.92726E-09
1.55,1.92423E-09
1.56,1.92778E-09
1.57,1.92635E-09
1.58,1.92709E-09
1.59,1.93029E-09
1.6,1.92763E-09
1.61,1.93082E-09
1.62,1.92821E-09
1.63,1.93124E-09
1.64,1.92875E-09
1.65,1.93143E-09
1.66,1.93237E-09
1.67,1.93136E-09
1.68,1.93392E-09
1.69,1.93146E-09
1.7,1.93436E-09
1.71,1.93282E-09
1.72,1.93396E-09
1.73,1.93414E-09
1.74,1.93412E-09
1.75,1.93659E-09
1.76,1.93517E-09
1.77,1.93726E-09
1.78,1.93517E-09
1.79,1.93677E-09
1.8,1.93668E-09
1.81,1.93794E-09
1.82,1.93845E-09
1.83,1.93667E-09
1.84,1.93971E-09
1.85,1.93733E-09
1.86,1.93848E-09
1.87,1.93934E-09
1.88,1.93896E-09
1.89,1.94103E-09
1.9,1.94011E-09
1.91,1.94026E-09
1.92,1.94079E-09
1.93,1.94087E-09
1.94,1.94026E-09
1.95,1.94263E-09
1.96,1.94295E-09
1.97,1.94213E-09
1.98,1.94317E-09
1.99,1.94196E-09
2,1.94342E-09
2.01,1.94237E-09
2.02,1.94444E-09
2.03,1.94431E-09
2.04,1.94439E-09
2.05,1.9443E-09
2.06,1.94606E-09
2.07,1.94573E-09
2.08,1.94471E-09
2.09,1.94686E-09
2.1,1.9461E-09
2.11,1.94589E-09
2.12,1.9433E-09
2.13,1.94821E-09
2.14,1.94753E-09
2.15,1.94713E-09
2.16,1.94962E-09
2.17,1.94852E-09
2.18,1.94817E-09
2.19,1.94878E-09
2.2,1.94988E-09
2.21,1.94927E-09
2.22,1.94877E-09
2.23,1.94886E-09
2.24,1.94919E-09
2.25,1.95096E-09
2.26,1.94983E-09
2.27,1.95062E-09
2.28,1.95114E-09
2.29,1.9516E-09
2.3,1.95096E-09
2.31,1.95063E-09
2.32,1.9515E-09
2.33,1.9508E-09
2.34,1.95218E-09
2.35,1.95185E-09
2.36,1.95205E-09
2.37,1.9537E-09
2.38,1.95241E-09
2.39,1.9532E-09
2.4,1.95214E-09
2.41,1.95342E-09
2.42,1.95338E-09
2.43,1.95396E-09
2.44,1.9538E-09
2.45,1.95478E-09
2.46,1.95493E-09
2.47,1.95429E-09
2.48,1.95481E-09
2.49,1.95439E-09
2.5,1.95488E-09
2.51,1.95624E-09
2.52,1.95597E-09
2.53,1.9551E-09
2.54,1.95641E-09
2.55,1.95652E-09
2.56,1.95588E-09
2.57,1.9579E-09
2.58,1.95701E-09
2.59,1.95601E-09
2.6,1.95656E-09
2.61,1.95709E-09
2.62,1.95662E-09
2.63,1.95707E-09
2.64,1.95706E-09
2.65,1.95803E-09
2.66,1.95647E-09
2.67,1.95935E-09
2.68,1.95949E-09
2.69,1.95811E-09
2.7,1.9586E-09
2.71,1.95958E-09
2.72,1.95955E-09
2.73,1.95853E-09
2.74,1.95916E-09
2.75,1.95828E-09
2.76,1.95945E-09
2.77,1.96018E-09
2.78,1.95936E-09
2.79,1.96051E-09
2.8,1.96037E-09
2.81,1.96057E-09
2.82,1.96068E-09
2.83,1.96027E-09
2.84,1.96047E-09
2.85,1.96026E-09
2.86,1.96167E-09
2.87,1.96212E-09
2.88,1.96125E-09
2.89,1.96083E-09
2.9,1.96152E-09
2.91,1.96275E-09
2.92,1.9611E-09
2.93,1.96273E-09
2.94,1.96182E-09
2.95,1.96254E-09
2.96,1.96164E-09
2.97,1.96366E-09
2.98,1.96248E-09
2.99,1.96226E-09
3,1.96406E-09
3,1.96225E-09
2.99,1.96348E-09
2.98,1.96089E-09
2.97,1.96201E-09
2.96,1.96313E-09
2.95,1.96284E-09
2.94,1.96337E-09
2.93,1.96142E-09
2.92,1.96259E-09
2.91,1.96064E-09
2.9,1.96012E-09
2.89,1.96265E-09
2.88,1.95929E-09
2.87,1.96265E-09
2.86,1.95816E-09
2.85,1.96069E-09
2.84,1.95873E-09
2.83,1.9591E-09
2.82,1.96185E-09
2.81,1.95882E-09
2.8,1.96157E-09
2.79,1.9574E-09
2.78,1.96155E-09
2.77,1.9587E-09
2.76,1.95861E-09
2.75,1.95882E-09
2.74,1.95728E-09
2.73,1.95988E-09
2.72,1.95672E-09
2.71,1.9607E-09
2.7,1.95714E-09
2.69,1.96011E-09
2.68,1.95702E-09
2.67,1.95623E-09
2.66,1.9595E-09
2.65,1.95599E-09
2.64,1.95982E-09
2.63,1.95529E-09
2.62,1.95822E-09
2.61,1.9559E-09
2.6,1.95765E-09
2.59,1.95922E-09
2.58,1.95533E-09
2.57,1.95699E-09
2.56,1.95542E-09
2.55,1.95679E-09
2.54,1.95627E-09
2.53,1.95674E-09
2.52,1.95398E-09
2.51,1.95435E-09
2.5,1.95487E-09
2.49,1.95551E-09
2.48,1.95461E-09
2.47,1.95528E-09
2.46,1.95381E-09
2.45,1.95432E-09
2.44,1.95265E-09
2.43,1.95273E-09
2.42,1.95507E-09
2.41,1.95091E-09
2.4,1.95497E-09
2.39,1.94972E-09
2.38,1.95598E-09
2.37,1.95068E-09
2.36,1.95038E-09
2.35,1.95382E-09
2.34,1.95018E-09
2.33,1.95279E-09
2.32,1.95013E-09
2.31,1.95241E-09
2.3,1.95112E-09
2.29,1.95014E-09
2.28,1.95111E-09
2.27,1.94943E-09
2.26,1.94934E-09
2.25,1.95002E-09
2.24,1.94846E-09
2.23,1.94968E-09
2.22,1.94668E-09
2.21,1.94948E-09
2.2,1.95042E-09
2.19,1.94648E-09
2.18,1.94945E-09
2.17,1.94551E-09
2.16,1.95051E-09
2.15,1.94665E-09
2.14,1.94937E-09
2.13,1.9457E-09
2.12,1.94579E-09
2.11,1.94826E-09
2.1,1.94477E-09
2.09,1.94728E-09
2.08,1.94479E-09
2.07,1.94615E-09
2.06,1.94573E-09
2.05,1.9453E-09
2.04,1.94444E-09
2.03,1.9457E-09
2.02,1.94215E-09
2.01,1.94469E-09
2,1.94146E-09
1.99,1.94336E-09
1.98,1.94226E-09
1.97,1.94476E-09
1.96,1.94394E-09
1.95,1.9374E-09
1.94,1.94377E-09
1.93,1.93888E-09
1.92,1.94167E-09
1.91,1.9389E-09
1.9,1.94182E-09
1.89,1.93862E-09
1.88,1.93731E-09
1.87,1.94099E-09
1.86,1.93711E-09
1.85,1.93998E-09
1.84,1.93723E-09
1.83,1.93882E-09
1.82,1.93661E-09
1.81,1.93755E-09
1.8,1.93755E-09
1.79,1.93561E-09
1.78,1.93607E-09
1.77,1.93584E-09
1.76,1.93525E-09
1.75,1.93527E-09
1.74,1.93408E-09
1.73,1.93453E-09
1.72,1.9342E-09
1.71,1.932E-09
1.7,1.93457E-09
1.69,1.93172E-09
1.68,1.93311E-09
1.67,1.92999E-09
1.66,1.93283E-09
1.65,1.93209E-09
1.64,1.92819E-09
1.63,1.93076E-09
1.62,1.92809E-09
1.61,1.92927E-09
1.6,1.92508E-09
1.59,1.92954E-09
1.58,1.92646E-09
1.57,1.92546E-09
1.56,1.9285E-09
1.55,1.92484E-09
1.54,1.92765E-09
1.53,1.92271E-09
1.52,1.92635E-09
1.51,1.92327E-09
1.5,1.92251E-09
1.49,1.92132E-09
1.48,1.91975E-09
1.47,1.92395E-09
1.46,1.91953E-09
1.45,1.92375E-09
1.44,1.91865E-09
1.43,1.92233E-09
1.42,1.91757E-09
1.41,1.91766E-09
1.4,1.91929E-09
1.39,1.91643E-09
1.38,1.91998E-09
1.37,1.91461E-09
1.36,1.91709E-09
1.35,1.91359E-09
1.34,1.91686E-09
1.33,1.91656E-09
1.32,1.91078E-09
1.31,1.9147E-09
1.3,1.90921E-09
1.29,1.91221E-09
1.28,1.90899E-09
1.27,1.91114E-09
1.26,1.91098E-09
1.25,1.90598E-09
1.24,1.9085E-09
1.23,1.90426E-09
1.22,1.90726E-09
1.21,1.90384E-09
1.2,1.90695E-09
1.19,1.90159E-09
1.18,1.90079E-09
1.17,1.90259E-09
1.16,1.89917E-09
1.15,1.90218E-09
1.14,1.8976E-09
1.13,1.90086E-09
1.12,1.8959E-09
1.11,1.89684E-09
1.1,1.8967E-09
1.09,1.89234E-09
1.08,1.89592E-09
1.07,1.89066E-09
1.06,1.89337E-09
1.05,1.88797E-09
1.04,1.89051E-09
1.03,1.88704E-09
1.02,1.88536E-09
1.01,1.88797E-09
1,1.88316E-09
0.99,1.88531E-09
0.98,1.88082E-09
0.97,1.88244E-09
0.96,1.87919E-09
0.95,1.87746E-09
0.94,1.87923E-09
0.93,1.87558E-09
0.92,1.87616E-09
0.91,1.87108E-09
0.9,1.87321E-09
0.89,1.87022E-09
0.88,1.87081E-09
0.87,1.86919E-09
0.86,1.86459E-09
0.85,1.86594E-09
0.84,1.86186E-09
0.83,1.86196E-09
0.82,1.85841E-09
0.81,1.8594E-09
0.8,1.85719E-09
0.79,1.85527E-09
0.78,1.85409E-09
0.77,1.85021E-09
0.76,1.84988E-09
0.75,1.8454E-09
0.74,1.84518E-09
0.73,1.84141E-09
0.72,1.84175E-09
0.71,1.83973E-09
0.7,1.83514E-09
0.69,1.83469E-09
0.68,1.83134E-09
0.67,1.8289E-09
0.66,1.8263E-09
0.65,1.82388E-09
0.64,1.82074E-09
0.63,1.81912E-09
0.62,1.81605E-09
0.61,1.81262E-09
0.6,1.80906E-09
0.59,1.80565E-09
0.58,1.80389E-09
0.57,1.79996E-09
0.56,1.79731E-09
0.55,1.79324E-09
0.54,1.78977E-09
0.53,1.78484E-09
0.52,1.7834E-09
0.51,1.77858E-09
0.5,1.77435E-09
0.49,1.76969E-09
0.48,1.76458E-09
0.47,1.76223E-09
0.46,1.75605E-09
0.45,1.75265E-09
0.44,1.7456E-09
0.43,1.7434E-09
0.42,1.73484E-09
0.41,1.73003E-09
0.4,1.72645E-09
0.39,1.71695E-09
0.38,1.7147E-09
0.37,1.70405E-09
0.36,1.70124E-09
0.35,1.69123E-09
0.34,1.68743E-09
0.33,1.67772E-09
0.32,1.6681E-09
0.31,1.66443E-09
0.3,1.65273E-09
0.29,1.64607E-09
0.28,1.63361E-09
0.27,1.62695E-09
0.26,1.61439E-09
0.25,1.60285E-09
0.24,1.59605E-09
0.23,1.58524E-09
0.22,1.57227E-09
0.21,1.55809E-09
0.2,1.54448E-09
0.19,1.53001E-09
0.18,1.51427E-09
0.17,1.49762E-09
0.16,1.48291E-09
0.15,1.46783E-09
0.14,1.45074E-09
0.13,1.43314E-09
0.12,1.41295E-09
0.11,1.39264E-09
0.1,1.37308E-09
0.09,1.35078E-09
0.08,1.33033E-09
0.07,1.31144E-09
0.06,1.2871E-09
0.05,1.26307E-09
0.04,1.23863E-09
0.03,1.21353E-09
0.02,1.18771E-09
0.01,1.1578E-09
0,1.13349E-09
-0.01,1.10494E-09
-0.02,1.07955E-09
-0.03,1.05057E-09
-0.04,1.02146E-09
-0.05,9.9515E-10
-0.06,9.66638E-10
-0.07,9.4106E-10
-0.08,9.17819E-10
-0.09,8.91332E-10
-0.1,8.65561E-10
-0.11,8.4199E-10
-0.12,8.17641E-10
-0.13,7.94279E-10
-0.14,7.73984E-10
