VBias,C
-3,1.54722E-10
-2.99,1.55724E-10
-2.98,1.55662E-10
-2.97,1.55393E-10
-2.96,1.55869E-10
-2.95,1.56963E-10
-2.94,1.57079E-10
-2.93,1.56983E-10
-2.92,1.57083E-10
-2.91,1.58054E-10
-2.9,1.5876E-10
-2.89,1.58537E-10
-2.88,1.59041E-10
-2.87,1.59228E-10
-2.86,1.59578E-10
-2.85,1.60372E-10
-2.84,1.6074E-10
-2.83,1.60917E-10
-2.82,1.61207E-10
-2.81,1.62242E-10
-2.8,1.62423E-10
-2.79,1.62532E-10
-2.78,1.62618E-10
-2.77,1.63765E-10
-2.76,1.63814E-10
-2.75,1.64389E-10
-2.74,1.64904E-10
-2.73,1.64738E-10
-2.72,1.64696E-10
-2.71,1.658E-10
-2.7,1.66956E-10
-2.69,1.6664E-10
-2.68,1.66275E-10
-2.67,1.67349E-10
-2.66,1.68632E-10
-2.65,1.68479E-10
-2.64,1.68663E-10
-2.63,1.68687E-10
-2.62,1.69849E-10
-2.61,1.69741E-10
-2.6,1.70546E-10
-2.59,1.71961E-10
-2.58,1.72048E-10
-2.57,1.72278E-10
-2.56,1.71979E-10
-2.55,1.72899E-10
-2.54,1.73779E-10
-2.53,1.74646E-10
-2.52,1.74545E-10
-2.51,1.7552E-10
-2.5,1.76015E-10
-2.49,1.76088E-10
-2.48,1.76479E-10
-2.47,1.76678E-10
-2.46,1.77573E-10
-2.45,1.78587E-10
-2.44,1.79168E-10
-2.43,1.79336E-10
-2.42,1.79295E-10
-2.41,1.79727E-10
-2.4,1.80631E-10
-2.39,1.81705E-10
-2.38,1.82807E-10
-2.37,1.82464E-10
-2.36,1.83493E-10
-2.35,1.83918E-10
-2.34,1.84217E-10
-2.33,1.84419E-10
-2.32,1.85027E-10
-2.31,1.858E-10
-2.3,1.87262E-10
-2.29,1.88027E-10
-2.28,1.88126E-10
-2.27,1.88329E-10
-2.26,1.88451E-10
-2.25,1.89261E-10
-2.24,1.90514E-10
-2.23,1.91585E-10
-2.22,1.91444E-10
-2.21,1.92916E-10
-2.2,1.93315E-10
-2.19,1.93748E-10
-2.18,1.93807E-10
-2.17,1.94477E-10
-2.16,1.95545E-10
-2.15,1.96927E-10
-2.14,1.98077E-10
-2.13,1.97996E-10
-2.12,1.99223E-10
-2.11,1.99589E-10
-2.1,2.0016E-10
