VBias,C
-3,1.54394E-10
-2.99,1.54803E-10
-2.98,1.55825E-10
-2.97,1.56781E-10
-2.96,1.57206E-10
-2.95,1.57654E-10
-2.94,1.57682E-10
-2.93,1.58329E-10
-2.92,1.58997E-10
-2.91,1.59088E-10
-2.9,1.60184E-10
-2.89,1.60516E-10
-2.88,1.61362E-10
-2.87,1.61708E-10
-2.86,1.62437E-10
-2.85,1.63329E-10
-2.84,1.63677E-10
-2.83,1.63578E-10
-2.82,1.64093E-10
-2.81,1.64833E-10
-2.8,1.66118E-10
-2.79,1.66239E-10
-2.78,1.66283E-10
-2.77,1.68052E-10
-2.76,1.67571E-10
-2.75,1.68358E-10
-2.74,1.69594E-10
-2.73,1.70422E-10
-2.72,1.70971E-10
-2.71,1.71287E-10
-2.7,1.71979E-10
-2.69,1.73316E-10
-2.68,1.73293E-10
-2.67,1.74589E-10
-2.66,1.75099E-10
-2.65,1.75693E-10
-2.64,1.75897E-10
-2.63,1.77119E-10
-2.62,1.78011E-10
-2.61,1.78063E-10
-2.6,1.78344E-10
-2.59,1.80157E-10
-2.58,1.80592E-10
-2.57,1.81197E-10
-2.56,1.81982E-10
-2.55,1.84028E-10
-2.54,1.8424E-10
-2.53,1.84453E-10
-2.52,1.86067E-10
-2.51,1.86841E-10
-2.5,1.87059E-10
-2.49,1.88727E-10
-2.48,1.89471E-10
-2.47,1.89917E-10
-2.46,1.91098E-10
-2.45,1.91431E-10
-2.44,1.92892E-10
-2.43,1.93497E-10
-2.42,1.94648E-10
-2.41,1.94875E-10
-2.4,1.96728E-10
-2.39,1.97144E-10
-2.38,1.98031E-10
-2.37,1.99088E-10
-2.36,2.00471E-10
-2.35,2.01764E-10
-2.34,2.02149E-10
-2.33,2.03146E-10
-2.32,2.05558E-10
-2.31,2.05776E-10
-2.3,2.06614E-10
-2.29,2.08577E-10
-2.28,2.09975E-10
-2.27,2.10583E-10
-2.26,2.11061E-10
-2.25,2.13151E-10
-2.24,2.14457E-10
-2.23,2.15176E-10
-2.22,2.16341E-10
-2.21,2.18278E-10
-2.2,2.18758E-10
-2.19,2.20422E-10
-2.18,2.21719E-10
-2.17,2.231E-10
-2.16,2.24227E-10
-2.15,2.25613E-10
-2.14,2.26789E-10
-2.13,2.28431E-10
-2.12,2.29556E-10
-2.11,2.30825E-10
-2.1,2.32741E-10
-2.09,2.33949E-10
-2.08,2.35994E-10
-2.07,2.37522E-10
-2.06,2.38422E-10
-2.05,2.41096E-10
-2.04,2.41098E-10
-2.03,2.43943E-10
-2.02,2.44774E-10
-2.01,2.46482E-10
-2,2.4866E-10
-1.99,2.50374E-10
-1.98,2.51383E-10
-1.97,2.53692E-10
-1.96,2.55237E-10
-1.95,2.56767E-10
-1.94,2.58504E-10
-1.93,2.60793E-10
-1.92,2.62899E-10
-1.91,2.64792E-10
-1.9,2.65833E-10
-1.89,2.6871E-10
-1.88,2.7033E-10
-1.87,2.72111E-10
-1.86,2.74776E-10
-1.85,2.75751E-10
-1.84,2.7813E-10
-1.83,2.80417E-10
-1.82,2.8233E-10
-1.81,2.83663E-10
-1.8,2.8518E-10
-1.79,2.87705E-10
-1.78,2.89176E-10
-1.77,2.90093E-10
-1.76,2.90518E-10
-1.75,2.93139E-10
-1.74,2.94194E-10
-1.73,2.94022E-10
-1.72,2.95005E-10
-1.71,2.9513E-10
-1.7,2.95322E-10
-1.69,2.95975E-10
-1.68,2.96211E-10
-1.67,2.9678E-10
-1.66,2.95477E-10
-1.65,2.96995E-10
-1.64,2.96175E-10
-1.63,2.96327E-10
-1.62,2.95251E-10
-1.61,2.96977E-10
-1.6,2.97503E-10
-1.59,2.95535E-10
-1.58,2.96378E-10
-1.57,2.96099E-10
-1.56,2.97044E-10
-1.55,2.96068E-10
-1.54,2.95972E-10
-1.53,2.96337E-10
-1.52,2.96201E-10
-1.51,2.96896E-10
-1.5,2.95512E-10
-1.49,2.95684E-10
-1.48,2.96704E-10
-1.47,2.95773E-10
-1.46,2.95881E-10
-1.45,2.95484E-10
-1.44,2.96111E-10
-1.43,2.9654E-10
-1.42,2.94662E-10
-1.41,2.95905E-10
-1.4,2.95674E-10
-1.39,2.96736E-10
-1.38,2.9661E-10
-1.37,2.95896E-10
-1.36,2.96094E-10
-1.35,2.97076E-10
-1.34,2.95585E-10
-1.33,2.96386E-10
-1.32,2.9518E-10
-1.31,2.95965E-10
-1.3,2.96701E-10
-1.29,2.96179E-10
-1.28,2.94841E-10
-1.27,2.95559E-10
-1.26,2.96548E-10
-1.25,2.96331E-10
-1.24,2.96336E-10
-1.23,2.95371E-10
-1.22,2.95699E-10
-1.21,2.95807E-10
-1.2,2.96023E-10
-1.19,2.96355E-10
-1.18,2.94963E-10
-1.17,2.94936E-10
-1.16,2.96105E-10
-1.15,2.96678E-10
-1.14,2.96456E-10
-1.13,2.96851E-10
-1.12,2.97066E-10
-1.11,2.97084E-10
-1.1,2.9647E-10
