VBias,C
-3,1.94108E-09
-2.99,1.93967E-09
-2.98,1.94028E-09
-2.97,1.93818E-09
-2.96,1.93891E-09
-2.95,1.93962E-09
-2.94,1.94027E-09
-2.93,1.93773E-09
-2.92,1.93808E-09
-2.91,1.93847E-09
-2.9,1.93723E-09
-2.89,1.93623E-09
-2.88,1.93575E-09
-2.87,1.93619E-09
-2.86,1.93425E-09
-2.85,1.93294E-09
-2.84,1.93402E-09
-2.83,1.93658E-09
-2.82,1.93585E-09
-2.81,1.93485E-09
-2.8,1.9359E-09
-2.79,1.93365E-09
-2.78,1.93557E-09
-2.77,1.93629E-09
-2.76,1.93543E-09
-2.75,1.93452E-09
-2.74,1.93532E-09
-2.73,1.9339E-09
-2.72,1.93589E-09
-2.71,1.93517E-09
-2.7,1.93347E-09
-2.69,1.93359E-09
-2.68,1.93477E-09
-2.67,1.93331E-09
-2.66,1.93414E-09
-2.65,1.93469E-09
-2.64,1.93296E-09
-2.63,1.93227E-09
-2.62,1.93278E-09
-2.61,1.93399E-09
-2.6,1.9329E-09
-2.59,1.93302E-09
-2.58,1.93122E-09
-2.57,1.93181E-09
-2.56,1.93219E-09
-2.55,1.93142E-09
-2.54,1.93225E-09
-2.53,1.93161E-09
-2.52,1.92913E-09
-2.51,1.93091E-09
-2.5,1.93191E-09
-2.49,1.9311E-09
-2.48,1.93054E-09
-2.47,1.92947E-09
-2.46,1.92818E-09
-2.45,1.92835E-09
-2.44,1.92923E-09
-2.43,1.92829E-09
-2.42,1.92694E-09
-2.41,1.92788E-09
-2.4,1.92717E-09
-2.39,1.92653E-09
-2.38,1.92693E-09
-2.37,1.92626E-09
-2.36,1.9253E-09
-2.35,1.92514E-09
-2.34,1.92472E-09
-2.33,1.92469E-09
-2.32,1.92551E-09
-2.31,1.92437E-09
-2.3,1.92368E-09
-2.29,1.92452E-09
-2.28,1.92334E-09
-2.27,1.92279E-09
-2.26,1.92428E-09
-2.25,1.9224E-09
-2.24,1.92058E-09
-2.23,1.92265E-09
-2.22,1.92277E-09
-2.21,1.92084E-09
-2.2,1.92112E-09
-2.19,1.9195E-09
-2.18,1.9207E-09
-2.17,1.92118E-09
-2.16,1.92111E-09
-2.15,1.92137E-09
-2.14,1.92009E-09
-2.13,1.91797E-09
-2.12,1.91738E-09
-2.11,1.91858E-09
-2.1,1.91865E-09
-2.09,1.91925E-09
-2.08,1.91771E-09
-2.07,1.91694E-09
-2.06,1.91693E-09
-2.05,1.91625E-09
-2.04,1.91486E-09
-2.03,1.91378E-09
-2.02,1.91537E-09
-2.01,1.91305E-09
-2,1.91446E-09
-1.99,1.9138E-09
-1.98,1.91238E-09
-1.97,1.91089E-09
-1.96,1.91278E-09
-1.95,1.9125E-09
-1.94,1.91156E-09
-1.93,1.91149E-09
-1.92,1.91006E-09
-1.91,1.90997E-09
-1.9,1.91079E-09
-1.89,1.90872E-09
-1.88,1.91023E-09
-1.87,1.90905E-09
-1.86,1.90627E-09
-1.85,1.90763E-09
-1.84,1.90804E-09
-1.83,1.9055E-09
-1.82,1.90635E-09
-1.81,1.90423E-09
-1.8,1.90494E-09
-1.79,1.90635E-09
-1.78,1.90481E-09
-1.77,1.90226E-09
-1.76,1.90291E-09
-1.75,1.90179E-09
-1.74,1.9015E-09
-1.73,1.9028E-09
-1.72,1.90194E-09
-1.71,1.89966E-09
-1.7,1.9001E-09
-1.69,1.89842E-09
-1.68,1.90026E-09
-1.67,1.89879E-09
-1.66,1.89741E-09
-1.65,1.89618E-09
-1.64,1.89769E-09
-1.63,1.89574E-09
-1.62,1.89657E-09
-1.61,1.89567E-09
-1.6,1.89305E-09
-1.59,1.89373E-09
-1.58,1.89295E-09
-1.57,1.89055E-09
-1.56,1.89195E-09
-1.55,1.89025E-09
-1.54,1.8899E-09
-1.53,1.89049E-09
-1.52,1.88848E-09
-1.51,1.88535E-09
-1.5,1.88667E-09
-1.49,1.88508E-09
-1.48,1.88595E-09
-1.47,1.88474E-09
-1.46,1.88305E-09
-1.45,1.88242E-09
-1.44,1.88358E-09
-1.43,1.882E-09
-1.42,1.88198E-09
-1.41,1.87933E-09
-1.4,1.87804E-09
-1.39,1.87836E-09
-1.38,1.87834E-09
-1.37,1.87631E-09
-1.36,1.87705E-09
-1.35,1.87318E-09
-1.34,1.8732E-09
-1.33,1.87291E-09
-1.32,1.87229E-09
-1.31,1.86828E-09
-1.3,1.86705E-09
-1.29,1.86772E-09
-1.28,1.86608E-09
-1.27,1.86487E-09
-1.26,1.86127E-09
-1.25,1.86067E-09
-1.24,1.86271E-09
-1.23,1.85821E-09
-1.22,1.85954E-09
-1.21,1.85706E-09
-1.2,1.85477E-09
-1.19,1.85411E-09
-1.18,1.85338E-09
-1.17,1.84989E-09
-1.16,1.84933E-09
-1.15,1.84734E-09
-1.14,1.84641E-09
-1.13,1.84568E-09
-1.12,1.84431E-09
-1.11,1.84135E-09
-1.1,1.83944E-09
-1.09,1.83714E-09
-1.08,1.83698E-09
-1.07,1.83528E-09
-1.06,1.83144E-09
-1.05,1.82969E-09
-1.04,1.83002E-09
-1.03,1.82634E-09
-1.02,1.81854E-09
-1.01,1.81203E-09
-1,1.81045E-09
-0.99,1.80849E-09
-0.98,1.81421E-09
-0.97,1.81135E-09
-0.96,1.80701E-09
-0.95,1.80153E-09
-0.94,1.79855E-09
-0.93,1.79629E-09
-0.92,1.79254E-09
-0.91,1.78953E-09
-0.9,1.78548E-09
-0.89,1.78452E-09
-0.88,1.77494E-09
-0.87,1.76992E-09
-0.86,1.768E-09
-0.85,1.7647E-09
-0.84,1.762E-09
-0.83,1.75611E-09
-0.82,1.74721E-09
-0.81,1.74589E-09
-0.8,1.73734E-09
-0.79,1.73273E-09
-0.78,1.7108E-09
-0.77,1.70652E-09
-0.76,1.6982E-09
-0.75,1.70012E-09
-0.74,1.69862E-09
-0.73,1.69785E-09
-0.72,1.68581E-09
-0.71,1.67902E-09
-0.7,1.67198E-09
-0.69,1.66461E-09
-0.68,1.6585E-09
-0.67,1.65005E-09
-0.66,1.64019E-09
-0.65,1.63235E-09
-0.64,1.61449E-09
-0.63,1.58344E-09
-0.62,1.58641E-09
-0.61,1.5679E-09
-0.6,1.55804E-09
-0.59,1.53436E-09
-0.58,1.525E-09
-0.57,1.51068E-09
-0.56,1.4889E-09
-0.55,1.46835E-09
-0.54,1.44496E-09
-0.53,1.41578E-09
-0.52,1.37954E-09
-0.51,1.3504E-09
-0.5,1.31487E-09
-0.49,1.27006E-09
-0.48,1.22614E-09
-0.47,1.17937E-09
-0.46,1.13044E-09
-0.45,1.07398E-09
-0.44,1.01938E-09
-0.43,9.65169E-10
-0.42,9.10021E-10
-0.41,8.63944E-10
-0.4,8.20671E-10
-0.39,7.85505E-10
-0.38,7.56582E-10
-0.37,7.34678E-10
-0.36,7.18709E-10
-0.35,7.06455E-10
-0.34,7.01138E-10
-0.33,7.01104E-10
-0.32,7.00964E-10
-0.31,7.0526E-10
-0.3,7.14984E-10
-0.29,7.23518E-10
-0.28,7.34956E-10
-0.27,7.4803E-10
-0.26,7.63586E-10
-0.25,7.80183E-10
-0.24,7.99593E-10
-0.23,8.16923E-10
-0.22,8.3874E-10
-0.21,8.60724E-10
-0.2,8.82771E-10
-0.19,9.08341E-10
-0.18,9.31538E-10
-0.17,9.55377E-10
-0.16,9.81471E-10
-0.15,1.00734E-09
-0.14,1.03021E-09
-0.13,1.05786E-09
-0.12,1.08519E-09
-0.11,1.11188E-09
-0.1,1.13702E-09
-0.09,1.16312E-09
-0.08,1.18859E-09
-0.07,1.21268E-09
-0.06,1.23798E-09
-0.05,1.26165E-09
-0.04,1.28715E-09
-0.03,1.31062E-09
-0.02,1.33107E-09
-0.01,1.35189E-09
0,1.37266E-09
0.01,1.39404E-09
0.02,1.41045E-09
0.03,1.42778E-09
0.04,1.44647E-09
0.05,1.46176E-09
0.06,1.47911E-09
0.07,1.49508E-09
0.08,1.50889E-09
0.09,1.522E-09
0.1,1.53471E-09
0.11,1.54948E-09
0.12,1.56236E-09
0.13,1.57169E-09
0.14,1.58338E-09
0.15,1.59445E-09
0.16,1.59928E-09
0.17,1.61341E-09
0.18,1.61881E-09
0.19,1.62762E-09
0.2,1.6336E-09
0.21,1.64175E-09
0.22,1.6552E-09
0.23,1.66383E-09
0.24,1.6655E-09
0.25,1.67321E-09
0.26,1.67705E-09
0.27,1.68507E-09
0.28,1.68803E-09
0.29,1.69435E-09
0.3,1.69472E-09
0.31,1.69976E-09
0.32,1.67516E-09
0.33,1.7022E-09
0.34,1.70693E-09
0.35,1.71401E-09
0.36,1.71319E-09
0.37,1.71392E-09
0.38,1.71938E-09
0.39,1.72575E-09
0.4,1.71296E-09
0.41,1.72406E-09
0.42,1.73861E-09
