Setup title,"2-terminal dual Vsweep"
Application test name,"2-terminal dual Vsweep"
Test date,1/25/2023
Test time,17:41:53
Device ID,
Count,1
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,1,0.01,-1,0.01,MEDIUM,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
0,3.795E-11
0.01,3.202E-11
0.02,4.669E-11
0.03,5.247E-11
0.04,7.15E-11
0.05,6.622E-11
0.06,7.746E-11
0.07,8.83E-11
0.08,8.813E-11
0.09,8.443E-11
0.1,9.117E-11
0.11,9.867E-11
0.12,1.0624E-10
0.13,1.125E-10
0.14,1.1991E-10
0.15,1.1977E-10
0.16,1.2881E-10
0.17,1.0791E-10
0.18,1.6201E-10
0.19,1.5362E-10
0.2,1.7773E-10
0.21,1.7018E-10
0.22,1.7669E-10
0.23,1.6997E-10
0.24,1.7658E-10
0.25,1.7563E-10
0.26,1.8303E-10
0.27,1.7448E-10
0.28,1.8637E-10
0.29,1.808E-10
0.3,1.839E-10
0.31,1.8387E-10
0.32,1.8812E-10
0.33,1.8283E-10
0.34,1.8957E-10
0.35,1.8723E-10
0.36,1.9438E-10
0.37,1.8742E-10
0.38,2.003E-10
0.39,1.9779E-10
0.4,2.0364E-10
0.41,1.9527E-10
0.42,2.0727E-10
0.43,2.0616E-10
0.44,2.093E-10
0.45,2.0484E-10
0.46,2.2049E-10
0.47,2.1199E-10
0.48,2.1331E-10
0.49,2.1525E-10
0.5,2.2284E-10
0.51,2.1759E-10
0.52,2.2243E-10
0.53,2.1336E-10
0.54,2.2032E-10
0.55,2.1921E-10
0.56,2.285E-10
0.57,2.268E-10
0.58,2.2793E-10
0.59,2.2858E-10
0.6,2.3525E-10
0.61,2.2382E-10
0.62,2.3117E-10
0.63,2.3331E-10
0.64,2.3576E-10
0.65,2.2762E-10
0.66,2.4326E-10
0.67,2.2718E-10
0.68,2.3852E-10
0.69,2.3442E-10
0.7,2.3854E-10
0.71,2.3052E-10
0.72,2.3534E-10
0.73,2.2969E-10
0.74,2.4856E-10
0.75,2.4231E-10
0.76,2.526E-10
0.77,2.4536E-10
0.78,2.5558E-10
0.79,2.4548E-10
0.8,2.5294E-10
0.81,2.4045E-10
0.82,2.6181E-10
0.83,2.6322E-10
0.84,2.6765E-10
0.85,2.5553E-10
0.86,2.698E-10
0.87,2.6491E-10
0.88,2.7221E-10
0.89,2.6319E-10
0.9,2.735E-10
0.91,2.69E-10
0.92,2.7576E-10
0.93,2.6654E-10
0.94,2.6998E-10
0.95,2.5761E-10
0.96,2.7337E-10
0.97,2.6919E-10
0.98,2.7327E-10
0.99,2.7E-10
1,2.6667E-10
0.99,2.2286E-10
0.98,1.9827E-10
0.97,1.6702E-10
0.96,1.4826E-10
0.95,1.3123E-10
0.94,1.195E-10
0.93,1.0252E-10
0.92,9.452E-11
0.91,8.229E-11
0.9,8.023E-11
0.89,6.271E-11
0.88,6.195E-11
0.87,5.1E-11
0.86,5.554E-11
0.85,3.811E-11
0.84,4.173E-11
0.83,2.683E-11
0.82,2.798E-11
0.81,1.632E-11
0.8,1.815E-11
0.79,8.44E-12
0.78,1.027E-11
0.77,1.43E-12
0.76,3.22E-12
0.75,-9.56E-12
0.74,-7.16E-12
0.73,-1.458E-11
0.72,-1.298E-11
0.71,-2.457E-11
0.7,-2.078E-11
0.69,-3.113E-11
0.68,-2.68E-11
0.67,-3.612E-11
0.66,-3.427E-11
0.65,-4.421E-11
0.64,-3.843E-11
0.63,-4.911E-11
0.62,-4.544E-11
0.61,-5.426E-11
0.6,-5.48E-11
0.59,-6.256E-11
0.58,-5.948E-11
0.57,-6.838E-11
0.56,-6.704E-11
0.55,-7.612E-11
0.54,-7.247E-11
0.53,-8.209E-11
0.52,-7.868E-11
0.51,-8.758E-11
0.5,-8.748E-11
0.49,-9.793E-11
0.48,-9.178E-11
0.47,-1.0391E-10
0.46,-1.0071E-10
0.45,-1.1137E-10
0.44,-1.0875E-10
0.43,-1.1659E-10
0.42,-1.1669E-10
0.41,-1.2564E-10
0.4,-1.2352E-10
0.39,-1.2818E-10
0.38,-1.2927E-10
0.37,-1.4045E-10
0.36,-1.3666E-10
0.35,-1.4741E-10
0.34,-1.4365E-10
0.33,-1.5372E-10
0.32,-1.5049E-10
0.31,-1.633E-10
0.3,-1.5954E-10
0.29,-1.704E-10
0.28,-1.6745E-10
0.27,-1.7709E-10
0.26,-1.7497E-10
0.25,-1.8319E-10
0.24,-1.8077E-10
0.23,-1.8826E-10
0.22,-1.8898E-10
