VBias,C
3,1.96401E-09
2.99,1.96454E-09
2.98,1.96317E-09
2.97,1.96305E-09
2.96,1.96338E-09
2.95,1.96173E-09
2.94,1.96207E-09
2.93,1.96267E-09
2.92,1.9627E-09
2.91,1.96082E-09
2.9,1.96218E-09
2.89,1.96227E-09
2.88,1.9596E-09
2.87,1.96267E-09
2.86,1.9604E-09
2.85,1.96053E-09
2.84,1.96104E-09
2.83,1.96029E-09
2.82,1.96059E-09
2.81,1.95928E-09
2.8,1.96051E-09
2.79,1.96152E-09
2.78,1.95973E-09
2.77,1.96076E-09
2.76,1.9609E-09
2.75,1.96031E-09
2.74,1.95807E-09
2.73,1.95895E-09
2.72,1.96084E-09
2.71,1.95957E-09
2.7,1.96051E-09
2.69,1.95873E-09
2.68,1.95796E-09
2.67,1.95931E-09
2.66,1.95831E-09
2.65,1.95825E-09
2.64,1.95669E-09
2.63,1.9577E-09
2.62,1.9584E-09
2.61,1.95754E-09
2.6,1.95715E-09
2.59,1.95806E-09
2.58,1.95765E-09
2.57,1.95699E-09
2.56,1.95814E-09
2.55,1.9557E-09
2.54,1.95731E-09
2.53,1.95644E-09
2.52,1.95648E-09
2.51,1.95462E-09
2.5,1.95352E-09
2.49,1.95575E-09
2.48,1.95724E-09
2.47,1.9537E-09
2.46,1.95488E-09
2.45,1.95479E-09
2.44,1.95364E-09
2.43,1.95438E-09
2.42,1.95227E-09
2.41,1.95329E-09
2.4,1.95185E-09
2.39,1.95247E-09
2.38,1.95281E-09
2.37,1.95197E-09
2.36,1.9534E-09
2.35,1.9518E-09
2.34,1.95389E-09
2.33,1.95188E-09
2.32,1.95196E-09
2.31,1.95237E-09
2.3,1.95006E-09
2.29,1.95138E-09
2.28,1.95258E-09
2.27,1.95025E-09
2.26,1.94981E-09
2.25,1.95025E-09
2.24,1.94977E-09
2.23,1.95043E-09
2.22,1.95007E-09
2.21,1.9494E-09
2.2,1.94835E-09
2.19,1.94939E-09
2.18,1.94888E-09
2.17,1.94885E-09
2.16,1.94734E-09
2.15,1.94737E-09
2.14,1.94546E-09
2.13,1.94691E-09
2.12,1.94694E-09
2.11,1.94786E-09
2.1,1.94662E-09
2.09,1.94472E-09
2.08,1.94568E-09
2.07,1.94644E-09
2.06,1.94652E-09
2.05,1.94399E-09
2.04,1.94334E-09
2.03,1.94342E-09
2.02,1.94456E-09
2.01,1.94415E-09
