Setup title,"C-V Sweep(1M-light)"
Classic test name,"C-V Sweep"
Test date,1/25/2023
Test time,15:07:04
Device ID,Dev1
Count,6
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,6
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,7.04055E-11
-2.99,7.03665E-11
-2.98,7.0348E-11
-2.97,7.03411E-11
-2.96,7.03845E-11
-2.95,7.01653E-11
-2.94,6.9659E-11
-2.93,6.96141E-11
-2.92,7.00134E-11
-2.91,7.02559E-11
-2.9,7.01668E-11
-2.89,7.05023E-11
-2.88,7.02837E-11
-2.87,7.02416E-11
-2.86,7.04248E-11
-2.85,7.0298E-11
-2.84,7.06918E-11
-2.83,7.03153E-11
-2.82,7.03608E-11
-2.81,7.04582E-11
-2.8,7.04833E-11
-2.79,7.04442E-11
-2.78,7.05427E-11
-2.77,7.09462E-11
-2.76,7.11277E-11
-2.75,7.08655E-11
-2.74,7.13079E-11
-2.73,7.12177E-11
-2.72,7.10181E-11
-2.71,7.09001E-11
-2.7,7.08451E-11
-2.69,7.10109E-11
-2.68,7.16294E-11
-2.67,7.08417E-11
-2.66,7.08962E-11
-2.65,7.09208E-11
-2.64,7.0506E-11
-2.63,7.04637E-11
-2.62,7.09517E-11
-2.61,7.08672E-11
-2.6,7.06566E-11
-2.59,7.03142E-11
-2.58,7.03485E-11
-2.57,7.03792E-11
-2.56,7.03473E-11
-2.55,7.03237E-11
-2.54,7.03845E-11
-2.53,7.05585E-11
-2.52,7.04691E-11
-2.51,7.04094E-11
-2.5,7.03881E-11
-2.49,7.05597E-11
-2.48,7.0648E-11
-2.47,7.06295E-11
-2.46,7.05178E-11
-2.45,7.11636E-11
-2.44,7.11648E-11
-2.43,7.10939E-11
-2.42,7.11724E-11
-2.41,7.04761E-11
-2.4,7.05805E-11
-2.39,7.0504E-11
-2.38,7.00781E-11
-2.37,7.04892E-11
-2.36,6.99634E-11
-2.35,7.07809E-11
-2.34,7.09428E-11
-2.33,7.11457E-11
-2.32,7.11646E-11
-2.31,7.14717E-11
-2.3,7.14151E-11
-2.29,7.14149E-11
-2.28,7.13E-11
-2.27,7.13502E-11
-2.26,7.14637E-11
-2.25,7.15042E-11
-2.24,7.2062E-11
-2.23,7.1885E-11
-2.22,7.15412E-11
-2.21,7.14993E-11
-2.2,7.16038E-11
-2.19,7.19131E-11
-2.18,7.14236E-11
-2.17,7.16689E-11
-2.16,7.17313E-11
-2.15,7.15821E-11
-2.14,7.185E-11
-2.13,7.16221E-11
-2.12,7.18525E-11
-2.11,7.18106E-11
-2.1,7.18159E-11
-2.09,7.14416E-11
-2.08,7.17793E-11
-2.07,7.23008E-11
-2.06,7.14831E-11
-2.05,7.15865E-11
-2.04,7.16465E-11
-2.03,7.15964E-11
-2.02,7.15334E-11
-2.01,7.15288E-11
-2,7.17079E-11
-1.99,7.17799E-11
-1.98,7.19283E-11
-1.97,7.21882E-11
-1.96,7.21898E-11
-1.95,7.18621E-11
-1.94,7.16049E-11
-1.93,7.13957E-11
-1.92,7.11725E-11
-1.91,7.07672E-11
-1.9,7.07823E-11
-1.89,7.07727E-11
-1.88,7.12294E-11
-1.87,7.12723E-11
-1.86,7.11979E-11
-1.85,7.12195E-11
-1.84,7.14676E-11
-1.83,7.15024E-11
-1.82,7.1228E-11
-1.81,7.14958E-11
-1.8,7.1588E-11
-1.79,7.15935E-11
-1.78,7.1745E-11
-1.77,7.05613E-11
-1.76,7.06696E-11
-1.75,7.15038E-11
-1.74,7.16068E-11
-1.73,7.14814E-11
-1.72,7.17086E-11
-1.71,7.16546E-11
-1.7,7.15964E-11
-1.69,7.07124E-11
-1.68,7.08859E-11
-1.67,7.06864E-11
-1.66,7.09778E-11
-1.65,7.09308E-11
-1.64,7.10404E-11
-1.63,7.07694E-11
-1.62,7.05501E-11
-1.61,7.03904E-11
-1.6,7.04671E-11
-1.59,7.06944E-11
-1.58,7.07628E-11
-1.57,7.05545E-11
-1.56,7.07407E-11
-1.55,7.10168E-11
-1.54,7.09772E-11
-1.53,7.09006E-11
-1.52,7.12387E-11
-1.51,7.07545E-11
-1.5,7.06276E-11
-1.49,7.08361E-11
-1.48,7.07843E-11
-1.47,7.08783E-11
-1.46,7.09073E-11
-1.45,7.11236E-11
-1.44,7.1215E-11
-1.43,7.14246E-11
-1.42,7.15964E-11
-1.41,7.10598E-11
-1.4,7.15929E-11
-1.39,7.10314E-11
-1.38,7.07246E-11
-1.37,7.18334E-11
-1.36,7.21392E-11
-1.35,7.18694E-11
-1.34,7.14439E-11
-1.33,7.18887E-11
-1.32,7.16449E-11
-1.31,7.18435E-11
-1.3,7.20391E-11
-1.29,7.20427E-11
-1.28,7.15867E-11
-1.27,7.21443E-11
-1.26,7.14329E-11
-1.25,7.15037E-11
-1.24,7.14055E-11
-1.23,7.11776E-11
-1.22,7.13995E-11
-1.21,7.1693E-11
-1.2,7.19594E-11
-1.19,7.15644E-11
-1.18,7.14718E-11
-1.17,7.16602E-11
-1.16,7.14107E-11
-1.15,7.16631E-11
-1.14,7.14331E-11
-1.13,7.1681E-11
-1.12,7.19251E-11
-1.11,7.24695E-11
-1.1,7.24471E-11
-1.09,7.23816E-11
-1.08,7.27773E-11
-1.07,7.28558E-11
-1.06,7.28843E-11
-1.05,7.34474E-11
-1.04,7.32172E-11
-1.03,7.29666E-11
-1.02,7.34328E-11
-1.01,7.34844E-11
-1,7.3213E-11
-0.99,7.30522E-11
-0.98,7.33337E-11
-0.97,7.35582E-11
-0.96,7.34639E-11
-0.95,7.31103E-11
-0.94,7.32537E-11
-0.93,7.27082E-11
-0.92,7.2578E-11
-0.91,7.29015E-11
-0.9,7.30787E-11
-0.89,7.31114E-11
-0.88,7.31325E-11
-0.87,7.35057E-11
-0.86,7.3546E-11
-0.85,7.37686E-11
-0.84,7.40218E-11
-0.83,7.43814E-11
-0.82,7.43106E-11
-0.81,7.47453E-11
-0.8,7.43235E-11
-0.79,7.48075E-11
-0.78,7.52141E-11
-0.77,7.51563E-11
-0.76,7.54657E-11
-0.75,7.54133E-11
-0.74,7.52526E-11
-0.73,7.4481E-11
-0.72,7.55785E-11
-0.71,7.59646E-11
-0.7,7.56433E-11
-0.69,7.57012E-11
-0.68,7.62292E-11
-0.67,7.68903E-11
-0.66,7.68955E-11
-0.65,7.71121E-11
-0.64,7.77165E-11
-0.63,7.74367E-11
-0.62,7.77786E-11
-0.61,7.83921E-11
-0.6,7.87967E-11
-0.59,7.88259E-11
-0.58,7.91152E-11
-0.57,7.9498E-11
-0.56,7.98592E-11
-0.55,8.04447E-11
-0.54,8.12372E-11
-0.53,8.14224E-11
-0.52,8.18269E-11
-0.51,8.2058E-11
-0.5,8.23976E-11
-0.49,8.33934E-11
-0.48,8.41842E-11
-0.47,8.46712E-11
-0.46,8.53504E-11
-0.45,8.52849E-11
-0.44,8.58825E-11
-0.43,8.68696E-11
-0.42,8.80588E-11
-0.41,8.84923E-11
-0.4,8.77525E-11
-0.39,8.84E-11
-0.38,8.84036E-11
-0.37,8.82631E-11
-0.36,8.8074E-11
-0.35,8.76138E-11
-0.34,8.70711E-11
-0.33,8.61377E-11
