Setup title,"C-V Sweep(1k,1M)"
Classic test name,"C-V Sweep"
Test date,1/25/2023
Test time,15:38:34
Device ID,Dev1
Count,1
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,6
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,1.5387E-10
-2.99,1.5465E-10
-2.98,1.55162E-10
-2.97,1.55842E-10
-2.96,1.5641E-10
-2.95,1.56162E-10
-2.94,1.56394E-10
-2.93,1.56474E-10
-2.92,1.57051E-10
-2.91,1.57055E-10
-2.9,1.57012E-10
-2.89,1.58157E-10
-2.88,1.59026E-10
-2.87,1.59448E-10
-2.86,1.59924E-10
-2.85,1.60485E-10
-2.84,1.60316E-10
-2.83,1.604E-10
-2.82,1.61058E-10
-2.81,1.6069E-10
-2.8,1.61369E-10
-2.79,1.61998E-10
-2.78,1.62407E-10
-2.77,1.62679E-10
-2.76,1.6326E-10
-2.75,1.6382E-10
-2.74,1.64391E-10
-2.73,1.64895E-10
-2.72,1.65341E-10
-2.71,1.65229E-10
-2.7,1.65241E-10
-2.69,1.65897E-10
-2.68,1.66402E-10
-2.67,1.66557E-10
-2.66,1.67031E-10
-2.65,1.67638E-10
-2.64,1.68864E-10
-2.63,1.69235E-10
-2.62,1.69411E-10
-2.61,1.6988E-10
-2.6,1.70137E-10
-2.59,1.71199E-10
-2.58,1.71021E-10
-2.57,1.71561E-10
-2.56,1.71616E-10
-2.55,1.72605E-10
-2.54,1.73215E-10
-2.53,1.73375E-10
-2.52,1.74091E-10
-2.51,1.74673E-10
-2.5,1.75511E-10
-2.49,1.76667E-10
-2.48,1.76709E-10
-2.47,1.76478E-10
-2.46,1.7704E-10
-2.45,1.77992E-10
-2.44,1.78666E-10
-2.43,1.79518E-10
-2.42,1.80252E-10
-2.41,1.80509E-10
-2.4,1.81593E-10
-2.39,1.81495E-10
-2.38,1.81642E-10
-2.37,1.82346E-10
-2.36,1.8297E-10
-2.35,1.84177E-10
-2.34,1.84407E-10
-2.33,1.85126E-10
-2.32,1.85823E-10
-2.31,1.86027E-10
-2.3,1.86583E-10
-2.29,1.86592E-10
-2.28,1.87217E-10
-2.27,1.88828E-10
-2.26,1.89069E-10
-2.25,1.89795E-10
-2.24,1.89746E-10
-2.23,1.90582E-10
-2.22,1.91338E-10
-2.21,1.91457E-10
-2.2,1.91423E-10
-2.19,1.92051E-10
-2.18,1.93617E-10
-2.17,1.93731E-10
-2.16,1.95569E-10
-2.15,1.95547E-10
-2.14,1.9729E-10
-2.13,1.96827E-10
-2.12,1.9688E-10
-2.11,1.98314E-10
-2.1,1.98875E-10
-2.09,2.00732E-10
-2.08,2.01254E-10
-2.07,2.01786E-10
-2.06,2.02552E-10
-2.05,2.02243E-10
-2.04,2.03332E-10
-2.03,2.04013E-10
-2.02,2.05361E-10
-2.01,2.06013E-10
-2,2.07342E-10
-1.99,2.08516E-10
-1.98,2.09925E-10
-1.97,2.10593E-10
-1.96,2.10057E-10
-1.95,2.11995E-10
-1.94,2.11703E-10
-1.93,2.12975E-10
-1.92,2.13957E-10
-1.91,2.15463E-10
-1.9,2.15985E-10
-1.89,2.16784E-10
-1.88,2.17359E-10
-1.87,2.18125E-10
-1.86,2.19118E-10
-1.85,2.19733E-10
-1.84,2.2059E-10
-1.83,2.23354E-10
-1.82,2.23674E-10
-1.81,2.24979E-10
-1.8,2.25461E-10
-1.79,2.26331E-10
-1.78,2.27094E-10
-1.77,2.27413E-10
-1.76,2.28647E-10
-1.75,2.29714E-10
-1.74,2.30722E-10
-1.73,2.33344E-10
-1.72,2.33345E-10
-1.71,2.34682E-10
-1.7,2.36618E-10
-1.69,2.3698E-10
-1.68,2.37637E-10
-1.67,2.39123E-10
-1.66,2.40168E-10
-1.65,2.40996E-10
-1.64,2.44277E-10
-1.63,2.45238E-10
-1.62,2.4731E-10
-1.61,2.48152E-10
-1.6,2.49216E-10
-1.59,2.49879E-10
-1.58,2.51284E-10
-1.57,2.52197E-10
-1.56,2.53476E-10
-1.55,2.55334E-10
-1.54,2.57057E-10
-1.53,2.58828E-10
-1.52,2.60454E-10
-1.51,2.62454E-10
-1.5,2.65365E-10
-1.49,2.65448E-10
-1.48,2.67631E-10
-1.47,2.68276E-10
-1.46,2.69592E-10
-1.45,2.71845E-10
-1.44,2.73868E-10
-1.43,2.72892E-10
-1.42,2.74951E-10
-1.41,2.77506E-10
-1.4,2.78585E-10
-1.39,2.81115E-10
-1.38,2.81654E-10
-1.37,2.82689E-10
-1.36,2.85679E-10
-1.35,2.87945E-10
-1.34,2.8951E-10
-1.33,2.90452E-10
-1.32,2.92712E-10
-1.31,2.92995E-10
-1.3,2.94582E-10
-1.29,2.95708E-10
-1.28,2.95956E-10
-1.27,2.96502E-10
-1.26,2.96756E-10
-1.25,2.96636E-10
-1.24,2.97105E-10
-1.23,2.98404E-10
-1.22,2.97862E-10
-1.21,2.97768E-10
-1.2,2.98435E-10
-1.19,2.98239E-10
-1.18,2.9868E-10
-1.17,2.98695E-10
-1.16,2.98206E-10
-1.15,2.98692E-10
-1.14,2.97503E-10
-1.13,2.9777E-10
-1.12,2.98749E-10
-1.11,2.97469E-10
-1.1,2.97311E-10
-1.09,2.97698E-10
-1.08,2.97407E-10
-1.07,2.9789E-10
-1.06,2.99122E-10
-1.05,2.9914E-10
-1.04,2.97297E-10
-1.03,2.98953E-10
-1.02,2.98015E-10
-1.01,2.97745E-10
-1,2.98672E-10
-0.99,2.97782E-10
-0.98,2.97949E-10
-0.97,2.98271E-10
-0.96,2.99736E-10
-0.95,3.00522E-10
-0.94,2.9887E-10
-0.93,3.00121E-10
-0.92,2.99464E-10
-0.91,3.00307E-10
-0.9,3.00065E-10
-0.89,3.0054E-10
-0.88,3.01122E-10
-0.87,3.02175E-10
-0.86,3.0257E-10
-0.85,3.04097E-10
-0.84,3.04305E-10
-0.83,3.05822E-10
-0.82,3.05901E-10
-0.81,3.07443E-10
-0.8,3.08478E-10
-0.79,3.11262E-10
-0.78,3.12712E-10
-0.77,3.1463E-10
-0.76,3.14915E-10
-0.75,3.17006E-10
-0.74,3.19523E-10
-0.73,3.22585E-10
-0.72,3.25103E-10
-0.71,3.26834E-10
-0.7,3.28712E-10
-0.69,3.31028E-10
-0.68,3.33691E-10
-0.67,3.37276E-10
-0.66,3.40313E-10
-0.65,3.42468E-10
-0.64,3.46365E-10
-0.63,3.48827E-10
-0.62,3.52494E-10
-0.61,3.54748E-10
-0.6,3.57752E-10
-0.59,3.60382E-10
-0.58,3.64925E-10
-0.57,3.67213E-10
-0.56,3.69844E-10
-0.55,3.73852E-10
-0.54,3.77131E-10
-0.53,3.81252E-10
-0.52,3.86535E-10
-0.51,3.90246E-10
-0.5,3.95201E-10
-0.49,3.99577E-10
-0.48,4.04574E-10
-0.47,4.12173E-10
-0.46,4.17001E-10
-0.45,4.22052E-10
-0.44,4.27771E-10
-0.43,4.33871E-10
-0.42,4.3994E-10
-0.41,4.46362E-10
-0.4,4.51567E-10
-0.39,4.59518E-10
-0.38,4.64463E-10
-0.37,4.71219E-10
-0.36,4.79381E-10
-0.35,4.8727E-10
-0.34,4.93709E-10
-0.33,5.03253E-10
