VBias,C
-3,1.5411E-10
-2.99,1.55211E-10
-2.98,1.55086E-10
-2.97,1.55918E-10
-2.96,1.5658E-10
-2.95,1.56851E-10
-2.94,1.56731E-10
-2.93,1.57438E-10
-2.92,1.57156E-10
-2.91,1.57605E-10
-2.9,1.58389E-10
-2.89,1.5832E-10
-2.88,1.59567E-10
-2.87,1.59766E-10
-2.86,1.59493E-10
-2.85,1.60154E-10
-2.84,1.60438E-10
-2.83,1.61208E-10
-2.82,1.61726E-10
-2.81,1.62187E-10
-2.8,1.62098E-10
-2.79,1.62532E-10
-2.78,1.63003E-10
-2.77,1.62997E-10
-2.76,1.6341E-10
-2.75,1.6445E-10
-2.74,1.64768E-10
-2.73,1.64846E-10
-2.72,1.65257E-10
-2.71,1.66397E-10
-2.7,1.66009E-10
-2.69,1.66317E-10
-2.68,1.67579E-10
-2.67,1.6717E-10
-2.66,1.67743E-10
-2.65,1.68707E-10
-2.64,1.68695E-10
-2.63,1.68809E-10
-2.62,1.69757E-10
-2.61,1.70117E-10
-2.6,1.70407E-10
-2.59,1.71368E-10
-2.58,1.71696E-10
-2.57,1.72217E-10
-2.56,1.72517E-10
-2.55,1.72841E-10
-2.54,1.73062E-10
-2.53,1.74483E-10
-2.52,1.74504E-10
-2.51,1.74721E-10
-2.5,1.76062E-10
-2.49,1.76008E-10
-2.48,1.76828E-10
-2.47,1.7717E-10
-2.46,1.78501E-10
-2.45,1.78165E-10
-2.44,1.78738E-10
-2.43,1.79385E-10
-2.42,1.79619E-10
-2.41,1.8053E-10
-2.4,1.81033E-10
-2.39,1.81665E-10
-2.38,1.81701E-10
-2.37,1.8208E-10
-2.36,1.83773E-10
-2.35,1.8338E-10
-2.34,1.83711E-10
-2.33,1.85314E-10
-2.32,1.85176E-10
-2.31,1.85279E-10
-2.3,1.86937E-10
-2.29,1.87329E-10
-2.28,1.87507E-10
-2.27,1.88597E-10
-2.26,1.89E-10
-2.25,1.90006E-10
-2.24,1.90623E-10
-2.23,1.91082E-10
-2.22,1.92037E-10
-2.21,1.92057E-10
-2.2,1.92735E-10
-2.19,1.93299E-10
-2.18,1.94446E-10
-2.17,1.95364E-10
-2.16,1.95682E-10
-2.15,1.96517E-10
-2.14,1.97589E-10
-2.13,1.97595E-10
-2.12,1.98988E-10
-2.11,1.99769E-10
-2.1,2.00058E-10
-2.09,2.01022E-10
-2.08,2.02158E-10
-2.07,2.02619E-10
-2.06,2.03137E-10
-2.05,2.04002E-10
-2.04,2.04927E-10
-2.03,2.05345E-10
-2.02,2.0651E-10
-2.01,2.06547E-10
-2,2.08433E-10
-1.99,2.08937E-10
-1.98,2.0908E-10
-1.97,2.10313E-10
-1.96,2.1137E-10
-1.95,2.12785E-10
-1.94,2.12887E-10
-1.93,2.14274E-10
-1.92,2.14244E-10
-1.91,2.15269E-10
-1.9,2.16798E-10
-1.89,2.17878E-10
-1.88,2.19001E-10
-1.87,2.19212E-10
-1.86,2.20422E-10
-1.85,2.21785E-10
-1.84,2.22176E-10
-1.83,2.23585E-10
-1.82,2.24934E-10
-1.81,2.26016E-10
-1.8,2.26741E-10
-1.79,2.27399E-10
-1.78,2.28648E-10
-1.77,2.30155E-10
-1.76,2.30862E-10
-1.75,2.3228E-10
-1.74,2.34154E-10
-1.73,2.35199E-10
-1.72,2.35538E-10
-1.71,2.37365E-10
-1.7,2.38516E-10
-1.69,2.38899E-10
-1.68,2.40241E-10
-1.67,2.42898E-10
-1.66,2.42556E-10
-1.65,2.44425E-10
-1.64,2.46212E-10
-1.63,2.47096E-10
-1.62,2.48863E-10
-1.61,2.50143E-10
