VBias,C
-3,1.94353E-09
-2.99,1.94369E-09
-2.98,1.94326E-09
-2.97,1.94326E-09
-2.96,1.94301E-09
-2.95,1.94293E-09
-2.94,1.94304E-09
-2.93,1.94248E-09
-2.92,1.94246E-09
-2.91,1.94199E-09
-2.9,1.94201E-09
-2.89,1.94197E-09
-2.88,1.94176E-09
-2.87,1.9416E-09
-2.86,1.94167E-09
-2.85,1.94142E-09
-2.84,1.9411E-09
-2.83,1.94112E-09
-2.82,1.94146E-09
-2.81,1.94082E-09
-2.8,1.94096E-09
-2.79,1.9403E-09
-2.78,1.94077E-09
-2.77,1.94E-09
-2.76,1.94005E-09
-2.75,1.94012E-09
-2.74,1.93956E-09
-2.73,1.93923E-09
-2.72,1.93914E-09
-2.71,1.93883E-09
-2.7,1.93845E-09
-2.69,1.93856E-09
-2.68,1.93893E-09
-2.67,1.93831E-09
-2.66,1.93827E-09
-2.65,1.9377E-09
-2.64,1.93737E-09
-2.63,1.93774E-09
-2.62,1.93713E-09
-2.61,1.93723E-09
-2.6,1.93666E-09
-2.59,1.93683E-09
-2.58,1.93673E-09
-2.57,1.93662E-09
-2.56,1.9356E-09
-2.55,1.93586E-09
-2.54,1.9351E-09
-2.53,1.93525E-09
-2.52,1.93482E-09
-2.51,1.93537E-09
-2.5,1.93433E-09
-2.49,1.93457E-09
-2.48,1.93384E-09
-2.47,1.93401E-09
-2.46,1.9337E-09
-2.45,1.9335E-09
-2.44,1.93348E-09
-2.43,1.9332E-09
-2.42,1.9329E-09
-2.41,1.93274E-09
-2.4,1.93229E-09
-2.39,1.93206E-09
-2.38,1.93211E-09
-2.37,1.93182E-09
-2.36,1.93121E-09
-2.35,1.93086E-09
-2.34,1.93075E-09
-2.33,1.93E-09
-2.32,1.93016E-09
-2.31,1.93016E-09
-2.3,1.92971E-09
-2.29,1.92908E-09
-2.28,1.92905E-09
-2.27,1.92895E-09
-2.26,1.92887E-09
-2.25,1.92814E-09
-2.24,1.92855E-09
-2.23,1.92777E-09
-2.22,1.92773E-09
-2.21,1.92681E-09
-2.2,1.92685E-09
-2.19,1.92651E-09
-2.18,1.92641E-09
-2.17,1.92597E-09
-2.16,1.92559E-09
-2.15,1.92533E-09
-2.14,1.92498E-09
-2.13,1.92497E-09
-2.12,1.9244E-09
-2.11,1.924E-09
-2.1,1.92377E-09
-2.09,1.92308E-09
-2.08,1.92301E-09
-2.07,1.92296E-09
-2.06,1.92239E-09
-2.05,1.92242E-09
-2.04,1.9216E-09
-2.03,1.92134E-09
-2.02,1.92142E-09
-2.01,1.9207E-09
-2,1.91987E-09
-1.99,1.91991E-09
-1.98,1.91913E-09
-1.97,1.91926E-09
-1.96,1.91845E-09
-1.95,1.91795E-09
-1.94,1.91795E-09
-1.93,1.91784E-09
-1.92,1.91726E-09
-1.91,1.91626E-09
-1.9,1.91634E-09
-1.89,1.91604E-09
-1.88,1.91516E-09
-1.87,1.91434E-09
-1.86,1.91407E-09
-1.85,1.91401E-09
-1.84,1.91347E-09
-1.83,1.91275E-09
-1.82,1.91253E-09
-1.81,1.91193E-09
-1.8,1.91181E-09
-1.79,1.91086E-09
-1.78,1.91067E-09
-1.77,1.90994E-09
-1.76,1.90932E-09
-1.75,1.90885E-09
-1.74,1.90848E-09
-1.73,1.90803E-09
-1.72,1.90759E-09
-1.71,1.90676E-09
-1.7,1.90647E-09
-1.69,1.90602E-09
-1.68,1.90515E-09
-1.67,1.90468E-09
-1.66,1.90369E-09
-1.65,1.90352E-09
-1.64,1.90293E-09
-1.63,1.90235E-09
-1.62,1.90122E-09
-1.61,1.90086E-09
-1.6,1.9004E-09
-1.59,1.8994E-09
-1.58,1.89857E-09
-1.57,1.89824E-09
-1.56,1.89755E-09
-1.55,1.89647E-09
-1.54,1.89641E-09
-1.53,1.8959E-09
-1.52,1.89473E-09
-1.51,1.89377E-09
-1.5,1.89344E-09
-1.49,1.89225E-09
-1.48,1.89169E-09
-1.47,1.89064E-09
-1.46,1.89032E-09
-1.45,1.88916E-09
-1.44,1.88833E-09
-1.43,1.88752E-09
-1.42,1.88632E-09
-1.41,1.88548E-09
-1.4,1.88488E-09
-1.39,1.88396E-09
-1.38,1.88259E-09
-1.37,1.88213E-09
-1.36,1.88076E-09
-1.35,1.87986E-09
-1.34,1.87895E-09
-1.33,1.8778E-09
-1.32,1.87716E-09
-1.31,1.87619E-09
-1.3,1.87453E-09
-1.29,1.87364E-09
-1.28,1.87226E-09
-1.27,1.87097E-09
-1.26,1.86989E-09
-1.25,1.86859E-09
-1.24,1.86753E-09
-1.23,1.86595E-09
-1.22,1.86478E-09
-1.21,1.86345E-09
-1.2,1.8621E-09
-1.19,1.86071E-09
-1.18,1.8594E-09
-1.17,1.85854E-09
-1.16,1.85648E-09
-1.15,1.85524E-09
-1.14,1.85371E-09
-1.13,1.85121E-09
-1.12,1.85002E-09
-1.11,1.84844E-09
-1.1,1.847E-09
-1.09,1.84508E-09
-1.08,1.8431E-09
-1.07,1.84118E-09
-1.06,1.83893E-09
-1.05,1.83691E-09
-1.04,1.83484E-09
-1.03,1.8329E-09
-1.02,1.83068E-09
-1.01,1.82877E-09
-1,1.82667E-09
-0.99,1.82381E-09
-0.98,1.82136E-09
-0.97,1.81917E-09
-0.96,1.81665E-09
-0.95,1.81401E-09
-0.94,1.81097E-09
-0.93,1.80846E-09
-0.92,1.80548E-09
-0.91,1.80254E-09
-0.9,1.79941E-09
-0.89,1.79661E-09
-0.88,1.79334E-09
-0.87,1.78967E-09
-0.86,1.78609E-09
-0.85,1.78163E-09
-0.84,1.77778E-09
-0.83,1.77382E-09
-0.82,1.77028E-09
-0.81,1.76553E-09
-0.8,1.76059E-09
-0.79,1.75621E-09
-0.78,1.75081E-09
-0.77,1.74586E-09
-0.76,1.74061E-09
-0.75,1.73495E-09
-0.74,1.7289E-09
-0.73,1.72241E-09
-0.72,1.71636E-09
-0.71,1.7088E-09
-0.7,1.70168E-09
-0.69,1.69459E-09
-0.68,1.68598E-09
-0.67,1.67726E-09
-0.66,1.66751E-09
-0.65,1.6575E-09
-0.64,1.64649E-09
-0.63,1.63529E-09
-0.62,1.62306E-09
-0.61,1.60964E-09
-0.6,1.59517E-09
-0.59,1.57995E-09
-0.58,1.56295E-09
-0.57,1.54462E-09
-0.56,1.52429E-09
-0.55,1.50242E-09
-0.54,1.47791E-09
-0.53,1.45078E-09
-0.52,1.42075E-09
-0.51,1.38728E-09
-0.5,1.35095E-09
-0.49,1.30973E-09
-0.48,1.26424E-09
-0.47,1.21541E-09
-0.46,1.1621E-09
-0.45,1.10579E-09
-0.44,1.04803E-09
-0.43,9.90772E-10
-0.42,9.28607E-10
-0.41,8.77093E-10
-0.4,8.3081E-10
-0.39,7.88741E-10
-0.38,7.5565E-10
-0.37,7.30076E-10
-0.36,7.09456E-10
-0.35,6.96509E-10
-0.34,6.87507E-10
-0.33,6.84135E-10
-0.32,6.84732E-10
-0.31,6.88022E-10
-0.3,6.94127E-10
-0.29,7.03235E-10
-0.28,7.13146E-10
-0.27,7.25475E-10
-0.26,7.39801E-10
-0.25,7.55315E-10
-0.24,7.71476E-10
-0.23,7.90381E-10
-0.22,8.09304E-10
-0.21,8.31815E-10
-0.2,8.54401E-10
-0.19,8.76615E-10
-0.18,8.99143E-10
-0.17,9.24709E-10
-0.16,9.4864E-10
-0.15,9.74766E-10
-0.14,1.00145E-09
-0.13,1.02746E-09
-0.12,1.05456E-09
-0.11,1.08099E-09
-0.1,1.10789E-09
-0.09,1.13421E-09
-0.08,1.16259E-09
-0.07,1.18691E-09
-0.06,1.21226E-09
-0.05,1.2388E-09
-0.04,1.26087E-09
-0.03,1.28833E-09
-0.02,1.31008E-09
-0.01,1.33222E-09
0,1.35724E-09
0.01,1.37549E-09
0.02,1.39547E-09
0.03,1.41753E-09
0.04,1.43372E-09
0.05,1.45233E-09
0.06,1.47213E-09
0.07,1.48591E-09
0.08,1.50483E-09
0.09,1.51641E-09
0.1,1.53217E-09
0.11,1.54683E-09
0.12,1.55764E-09
0.13,1.57112E-09
0.14,1.5861E-09
0.15,1.59695E-09
0.16,1.60643E-09
0.17,1.6206E-09
0.18,1.62805E-09
0.19,1.63824E-09
0.2,1.64752E-09
0.21,1.6568E-09
0.22,1.66661E-09
0.23,1.67455E-09
0.24,1.68251E-09
0.25,1.68973E-09
0.26,1.69673E-09
0.27,1.70404E-09
0.28,1.71062E-09
0.29,1.71501E-09
0.3,1.72337E-09
0.31,1.72956E-09
0.32,1.73348E-09
0.33,1.74E-09
0.34,1.74489E-09
0.35,1.75089E-09
0.36,1.75785E-09
0.37,1.76066E-09
0.38,1.76708E-09
0.39,1.77087E-09
0.4,1.77383E-09
0.41,1.78E-09
0.42,1.78153E-09
0.43,1.78496E-09
0.44,1.79197E-09
0.45,1.79313E-09
0.46,1.79694E-09
0.47,1.79946E-09
0.48,1.80391E-09
0.49,1.80895E-09
0.5,1.80997E-09
0.51,1.81347E-09
0.52,1.81748E-09
0.53,1.81874E-09
0.54,1.82418E-09
0.55,1.82542E-09
0.56,1.82309E-09
0.57,1.8299E-09
0.58,1.83443E-09
0.59,1.83442E-09
0.6,1.83595E-09
0.61,1.84143E-09
0.62,1.84169E-09
0.63,1.84226E-09
0.64,1.85049E-09
0.65,1.849E-09
0.66,1.85101E-09
0.67,1.85377E-09
0.68,1.85793E-09
0.69,1.85948E-09
0.7,1.85986E-09
0.71,1.86273E-09
0.72,1.8621E-09
0.73,1.86415E-09
0.74,1.86822E-09
0.75,1.86954E-09
0.76,1.87044E-09
0.77,1.87038E-09
0.78,1.87141E-09
0.79,1.8724E-09
0.8,1.87473E-09
0.81,1.87654E-09
0.82,1.87749E-09
0.83,1.8788E-09
0.84,1.87831E-09
0.85,1.88245E-09
0.86,1.88207E-09
0.87,1.88418E-09
0.88,1.88786E-09
0.89,1.88752E-09
0.9,1.8881E-09
0.91,1.89022E-09
0.92,1.89223E-09
0.93,1.89415E-09
0.94,1.89335E-09
0.95,1.89489E-09
0.96,1.89421E-09
0.97,1.89473E-09
0.98,1.9014E-09
0.99,1.89743E-09
1,1.89911E-09
1.01,1.89999E-09
1.02,1.90084E-09
1.03,1.90471E-09
1.04,1.90397E-09
1.05,1.90371E-09
1.06,1.90407E-09
1.07,1.90625E-09
1.08,1.90819E-09
1.09,1.90953E-09
1.1,1.91014E-09
1.11,1.90738E-09
1.12,1.91125E-09
1.13,1.91134E-09
1.14,1.91186E-09
1.15,1.91155E-09
1.16,1.91219E-09
1.17,1.91517E-09
1.18,1.91404E-09
1.19,1.91413E-09
1.2,1.91791E-09
1.21,1.91645E-09
1.22,1.91802E-09
1.23,1.91833E-09
1.24,1.91723E-09
1.25,1.92002E-09
1.26,1.92001E-09
1.27,1.92168E-09
1.28,1.91978E-09
1.29,1.92214E-09
1.3,1.92508E-09
1.31,1.92426E-09
1.32,1.92406E-09
1.33,1.92751E-09
1.34,1.924E-09
1.35,1.92549E-09
1.36,1.92809E-09
1.37,1.92724E-09
1.38,1.92851E-09
1.39,1.92751E-09
1.4,1.92992E-09
1.41,1.93133E-09
1.42,1.92953E-09
1.43,1.9313E-09
1.44,1.93133E-09
1.45,1.93183E-09
1.46,1.93105E-09
1.47,1.93434E-09
1.48,1.93158E-09
1.49,1.9317E-09
1.5,1.93258E-09
1.51,1.93568E-09
1.52,1.93511E-09
1.53,1.9329E-09
1.54,1.93661E-09
1.55,1.93659E-09
1.56,1.93632E-09
1.57,1.9356E-09
1.58,1.93584E-09
1.59,1.93649E-09
1.6,1.93716E-09
1.61,1.93612E-09
1.62,1.93764E-09
1.63,1.93848E-09
1.64,1.93864E-09
1.65,1.93899E-09
1.66,1.93928E-09
1.67,1.94036E-09
1.68,1.94163E-09
1.69,1.94171E-09
1.7,1.94045E-09
1.71,1.94257E-09
1.72,1.94196E-09
1.73,1.94336E-09
1.74,1.9454E-09
1.75,1.94365E-09
1.76,1.94692E-09
1.77,1.94308E-09
1.78,1.94326E-09
1.79,1.94397E-09
1.8,1.94523E-09
1.81,1.94602E-09
1.82,1.94738E-09
1.83,1.94625E-09
1.84,1.94335E-09
1.85,1.94613E-09
1.86,1.94885E-09
1.87,1.94779E-09
1.88,1.94894E-09
1.89,1.94805E-09
1.9,1.94784E-09
1.91,1.94921E-09
1.92,1.947E-09
1.93,1.94993E-09
1.94,1.94876E-09
1.95,1.95019E-09
1.96,1.94968E-09
1.97,1.95097E-09
1.98,1.95036E-09
1.99,2.49371E-13
2,1.15563E-12
2.01,8.34667E-13
2.02,4.77991E-13
2.03,1.01934E-12
2.04,9.05507E-13
2.05,5.97195E-13
2.06,9.97849E-13
2.07,7.41701E-13
2.08,7.80281E-13
2.09,5.40923E-13
2.1,6.0921E-13
2.11,7.27472E-13
2.12,3.48661E-13
2.13,1.05886E-12
2.14,6.86057E-13
2.15,9.05185E-13
2.16,7.77112E-13
2.17,5.36171E-13
2.18,6.43679E-13
2.19,6.07307E-13
2.2,5.37124E-13
2.21,7.60366E-13
2.22,1.12875E-12
2.23,7.61947E-13
2.24,7.6891E-13
2.25,1.02155E-12
2.26,6.05737E-13
2.27,9.61476E-13
2.28,7.97677E-13
2.29,5.40602E-13
2.3,1.00259E-12
2.31,8.05897E-13
2.32,1.86749E-13
