VBias,C
-3,1.54772E-10
-2.99,1.55016E-10
-2.98,1.5592E-10
-2.97,1.55662E-10
-2.96,1.56269E-10
-2.95,1.56576E-10
-2.94,1.56753E-10
-2.93,1.57248E-10
-2.92,1.57485E-10
-2.91,1.57486E-10
-2.9,1.58136E-10
-2.89,1.58756E-10
-2.88,1.59321E-10
-2.87,1.59405E-10
-2.86,1.60089E-10
-2.85,1.59371E-10
-2.84,1.6046E-10
-2.83,1.60641E-10
-2.82,1.61743E-10
-2.81,1.62319E-10
-2.8,1.6227E-10
-2.79,1.62391E-10
-2.78,1.62981E-10
-2.77,1.63062E-10
-2.76,1.63538E-10
-2.75,1.64001E-10
-2.74,1.64653E-10
-2.73,1.654E-10
-2.72,1.65683E-10
-2.71,1.6572E-10
-2.7,1.66149E-10
-2.69,1.66813E-10
-2.68,1.67267E-10
-2.67,1.67236E-10
-2.66,1.68104E-10
-2.65,1.68466E-10
-2.64,1.6891E-10
-2.63,1.69475E-10
-2.62,1.70266E-10
-2.61,1.70373E-10
-2.6,1.71018E-10
-2.59,1.71455E-10
-2.58,1.71727E-10
-2.57,1.71499E-10
-2.56,1.7305E-10
-2.55,1.72874E-10
-2.54,1.73918E-10
-2.53,1.74161E-10
-2.52,1.74588E-10
-2.51,1.75531E-10
-2.5,1.75866E-10
-2.49,1.7602E-10
-2.48,1.76952E-10
-2.47,1.77251E-10
-2.46,1.77392E-10
-2.45,1.78608E-10
-2.44,1.79087E-10
-2.43,1.7935E-10
-2.42,1.80291E-10
-2.41,1.8045E-10
-2.4,1.81148E-10
-2.39,1.81941E-10
-2.38,1.82042E-10
-2.37,1.82439E-10
-2.36,1.83222E-10
-2.35,1.83669E-10
-2.34,1.8489E-10
-2.33,1.85235E-10
-2.32,1.85779E-10
-2.31,1.8623E-10
-2.3,1.87173E-10
-2.29,1.87223E-10
-2.28,1.87636E-10
-2.27,1.8833E-10
-2.26,1.89056E-10
-2.25,1.88987E-10
-2.24,1.90715E-10
-2.23,1.9168E-10
-2.22,1.90972E-10
-2.21,1.93277E-10
-2.2,1.9367E-10
-2.19,1.94011E-10
-2.18,1.9413E-10
-2.17,1.95001E-10
-2.16,1.95385E-10
-2.15,1.96854E-10
-2.14,1.97923E-10
-2.13,1.97893E-10
-2.12,1.98736E-10
-2.11,1.98998E-10
-2.1,2.00382E-10
-2.09,2.01477E-10
-2.08,2.0109E-10
-2.07,2.02805E-10
-2.06,2.03005E-10
-2.05,2.04266E-10
-2.04,2.05619E-10
-2.03,2.06391E-10
-2.02,2.06067E-10
-2.01,2.07381E-10
-2,2.08736E-10
-1.99,2.08816E-10
-1.98,2.10236E-10
