Setup title,"2-terminal dual Vsweep"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:01:13
Device ID,
Count,2
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,1,0.01,-1,0.01,MEDIUM,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
0,-9.9E-13
0.01,1.81E-12
0.02,-8.9E-13
0.03,6.3E-13
0.04,-1.56E-12
0.05,1.09E-12
0.06,-2.01E-12
0.07,1.93E-12
0.08,-2.75E-12
0.09,9.9E-13
0.1,-1.14E-12
0.11,8.4E-13
0.12,-1.41E-12
0.13,8.5E-13
0.14,-1.36E-12
0.15,2.56E-12
0.16,-1.31E-12
0.17,1.86E-12
0.18,-1.69E-12
0.19,1.27E-12
0.2,-1.93E-12
0.21,3.05E-12
0.22,-8.4E-13
0.23,1.13E-12
0.24,-2.61E-12
0.25,1.62E-12
0.26,-6.1E-13
0.27,9E-13
0.28,-7.3E-13
0.29,-3.1E-13
0.3,-2.33E-12
0.31,1.86E-12
0.32,-1.63E-12
0.33,2.31E-12
0.34,-2.4E-12
0.35,2.92E-12
0.36,-1.54E-12
0.37,8.1E-13
0.38,-2.66E-12
0.39,2.61E-12
0.4,-1.98E-12
0.41,5.8E-13
0.42,-1.24E-12
0.43,1.91E-12
0.44,-2.42E-12
0.45,1.89E-12
0.46,-8.2E-13
0.47,1.88E-12
0.48,-2.06E-12
0.49,1.92E-12
0.5,-1.85E-12
0.51,1.49E-12
0.52,-7.5E-13
0.53,1.18E-12
0.54,-9.1E-13
0.55,1.65E-12
0.56,-1.42E-12
0.57,1.06E-12
0.58,-1.56E-12
0.59,2.19E-12
0.6,-1.18E-12
0.61,1.91E-12
0.62,-8.4E-13
0.63,2.38E-12
0.64,-2.26E-12
0.65,1.58E-12
0.66,-1.17E-12
0.67,3.78E-12
0.68,-2.11E-12
0.69,2.54E-12
0.7,-1.35E-12
0.71,2.03E-12
0.72,-1.89E-12
0.73,2.61E-12
0.74,-1.5E-12
0.75,1.4E-12
0.76,-1.1E-12
0.77,9.3E-13
0.78,-1.22E-12
0.79,1.61E-12
0.8,-1.69E-12
0.81,1.29E-12
0.82,-2.19E-12
0.83,5.3E-13
0.84,-1.39E-12
0.85,2.67E-12
0.86,-1.14E-12
0.87,2.42E-12
0.88,-2.48E-12
0.89,2.9E-12
0.9,-2.17E-12
0.91,2.39E-12
0.92,-1.33E-12
0.93,1.81E-12
0.94,-2.5E-12
0.95,2.07E-12
0.96,-2.26E-12
0.97,3.2E-13
0.98,-1.05E-12
0.99,2.8E-13
1,-2.36E-12
0.99,2.15E-12
0.98,-8.6E-13
0.97,1.71E-12
0.96,-2.4E-12
0.95,1.51E-12
0.94,-1.98E-12
0.93,1.17E-12
0.92,-1.5E-12
0.91,7.4E-13
0.9,-6.4E-13
0.89,4.4E-13
0.88,-2.49E-12
0.87,1.7E-13
0.86,-1.69E-12
0.85,1.64E-12
0.84,-2.09E-12
0.83,2.12E-12
0.82,-2.28E-12
0.81,2.16E-12
0.8,-1.91E-12
0.79,2.89E-12
0.78,-2.17E-12
0.77,2.39E-12
0.76,-1.63E-12
0.75,3.1E-13
0.74,-2E-12
0.73,2.01E-12
0.72,-2.61E-12
0.71,8.6E-13
0.7,-2.17E-12
0.69,1.6E-12
0.68,-1.9E-12
0.67,2.61E-12
0.66,-1.47E-12
0.65,8E-14
0.64,-1.79E-12
0.63,1.26E-12
0.62,-1.07E-12
0.61,1.2E-12
0.6,-2.21E-12
0.59,2.41E-12
0.58,-2.7E-12
0.57,2.33E-12
0.56,-2.25E-12
0.55,2.29E-12
0.54,-1.38E-12
0.53,1.63E-12
0.52,-1.76E-12
0.51,9.5E-13
0.5,-1.05E-12
0.49,1.63E-12
0.48,-1.91E-12
0.47,8.3E-13
0.46,-9.8E-13
0.45,2.16E-12
0.44,-1.48E-12
0.43,1.98E-12
0.42,-2.37E-12
0.41,3E-12
0.4,-2.46E-12
0.39,1.47E-12
0.38,-1.65E-12
0.37,1.07E-12
0.36,-1.13E-12
0.35,1.08E-12
0.34,-1.68E-12
0.33,1.62E-12
0.32,-1.67E-12
0.31,2.67E-12
0.3,-1.98E-12
0.29,1.28E-12
0.28,-1.73E-12
0.27,2.83E-12
0.26,-2.3E-12
0.25,2.17E-12
0.24,-2.1E-12
0.23,1.55E-12
0.22,-2.05E-12
0.21,1.65E-12
0.2,-2.96E-12
0.19,1.88E-12
0.18,-2.57E-12
0.17,1.39E-12
