Setup title,"2-terminal dual Vsweep_long_dark_-2-2V"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:14:24
Device ID,
Count,1
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,2,0.01,-2,0.01,LONG,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
0,-8E-14
0.01,-1.4E-13
0.02,-4E-14
0.03,3E-14
0.04,4E-14
0.05,-6E-14
0.06,-1.8E-13
0.07,-5E-14
0.08,-1.1E-13
0.09,1E-14
0.1,-9E-14
0.11,-7E-14
0.12,-1.1E-13
0.13,4E-14
0.14,-3E-14
0.15,-6E-14
0.16,-1.6E-13
0.17,-8E-14
0.18,-6E-14
0.19,-1E-13
0.2,-1E-13
0.21,-8E-14
0.22,1.7E-13
0.23,1E-14
0.24,-6E-14
0.25,-8E-14
0.26,-1.2E-13
0.27,-9E-14
0.28,0
0.29,6E-14
0.3,1E-14
0.31,-8E-14
0.32,-7E-14
0.33,-1.8E-13
0.34,-1.5E-13
0.35,-1E-13
0.36,-1.4E-13
0.37,-4E-14
0.38,-7E-14
0.39,0
0.4,-7E-14
0.41,-5E-14
0.42,-5E-14
0.43,-7E-14
0.44,3E-14
0.45,-6E-14
0.46,-3E-14
0.47,6E-14
0.48,1.2E-13
0.49,-1.7E-13
0.5,-1E-13
0.51,-3E-14
0.52,-3.9E-13
0.53,9E-14
0.54,6E-14
0.55,-4E-14
0.56,-6E-14
0.57,-4E-14
0.58,4E-14
0.59,-1.1E-13
0.6,-4E-14
0.61,9E-14
0.62,-1.1E-13
0.63,-2E-13
0.64,-5E-14
0.65,0
0.66,1E-13
0.67,-3E-14
0.68,-1.7E-13
0.69,0
0.7,-3E-13
0.71,-6E-14
0.72,1E-14
0.73,-6E-14
0.74,-5E-14
0.75,-1.2E-13
0.76,-5E-14
0.77,-4E-14
0.78,1E-14
0.79,0
0.8,-1.4E-13
0.81,-9E-14
0.82,-2E-14
0.83,-4E-14
0.84,-1.5E-13
0.85,3E-14
0.86,1E-14
0.87,-1.8E-13
0.88,-5E-14
0.89,8E-14
0.9,-1E-13
0.91,-9E-14
0.92,-6E-14
0.93,-3E-14
0.94,-1.6E-13
0.95,-6E-14
0.96,-1.3E-13
0.97,-1.7E-13
0.98,-7E-14
0.99,3E-14
1,-1E-13
1.01,-2E-14
1.02,-1.1E-13
1.03,-9E-14
1.04,0
1.05,-2E-14
1.06,-1E-13
1.07,-3E-14
1.08,1E-14
1.09,-1E-13
1.1,-2.4E-13
1.11,1E-14
1.12,-8E-14
1.13,-1.1E-13
1.14,0
1.15,-1.5E-13
1.16,-1.6E-13
1.17,-1.4E-13
1.18,2E-14
1.19,-7E-14
1.2,-8E-14
1.21,-1E-13
1.22,-1.1E-13
1.23,-7E-14
1.24,-6E-14
1.25,-5E-14
1.26,-2E-13
1.27,-1.1E-13
1.28,-1.1E-13
1.29,-3E-14
1.3,-1E-13
1.31,-7E-14
1.32,-5E-14
1.33,-1.7E-13
1.34,7E-14
1.35,-2E-14
1.36,-1.7E-13
1.37,-1E-14
1.38,-5E-14
1.39,2E-14
1.4,-1E-14
1.41,-8E-14
1.42,-7E-14
1.43,-3E-14
1.44,-8E-14
1.45,-1.7E-13
1.46,2E-14
1.47,-1E-13
1.48,-8E-14
1.49,-1E-13
1.5,-1.3E-13
1.51,-1E-13
1.52,-7E-14
1.53,-9E-14
1.54,-6E-14
1.55,-1E-13
1.56,-1.5E-13
1.57,6E-14
1.58,-1.3E-13
1.59,0
1.6,-8E-14
1.61,-2E-13
1.62,-6E-14
1.63,-2E-14
1.64,-5E-14
1.65,-1.5E-13
1.66,-7E-14
1.67,-1E-14
1.68,-1.4E-13
1.69,5E-14
1.7,-1.4E-13
1.71,-1.5E-13
1.72,-2E-14
1.73,-1.1E-13
1.74,-1.4E-13
1.75,-6E-14
1.76,-5E-14
1.77,-1.1E-13
1.78,5E-14
1.79,1.1E-13
1.8,-1E-13
1.81,-2.5E-13
1.82,-2E-14
1.83,-1.6E-13
1.84,-1.7E-13
1.85,-9E-14
1.86,-1.5E-13
1.87,0
1.88,-1.6E-13
1.89,-1E-13
1.9,-1.5E-13
1.91,-4E-14
1.92,-1.6E-13
1.93,-5E-14
1.94,-6E-14
1.95,0
1.96,-9E-14
1.97,-2E-13
1.98,-9E-14
1.99,-5E-14
2,-2E-14
1.99,-1.6E-13
1.98,1E-14
1.97,-1.8E-13
1.96,-9E-14
1.95,-2.7E-13
1.94,-6E-14
