Setup title,"C-V Sweep_Device3_W2_100K"
Classic test name,"C-V Sweep"
Test date,2/1/2023
Test time,15:48:19
Device ID,
Count,1
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,100000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,6
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,2.38943E-10
-2.99,2.39063E-10
-2.98,2.39101E-10
-2.97,2.3899E-10
-2.96,2.39025E-10
-2.95,2.39119E-10
-2.94,2.39059E-10
-2.93,2.3913E-10
-2.92,2.39126E-10
-2.91,2.39035E-10
-2.9,2.38956E-10
-2.89,2.39001E-10
-2.88,2.38989E-10
-2.87,2.39094E-10
-2.86,2.39028E-10
-2.85,2.38983E-10
-2.84,2.38883E-10
-2.83,2.38946E-10
-2.82,2.3905E-10
-2.81,2.3892E-10
-2.8,2.38775E-10
-2.79,2.38669E-10
-2.78,2.38886E-10
-2.77,2.38772E-10
-2.76,2.38919E-10
-2.75,2.38764E-10
-2.74,2.38952E-10
-2.73,2.38801E-10
-2.72,2.38695E-10
-2.71,2.38695E-10
-2.7,2.38685E-10
-2.69,2.3879E-10
-2.68,2.38802E-10
-2.67,2.38718E-10
-2.66,2.38701E-10
-2.65,2.38786E-10
-2.64,2.38683E-10
-2.63,2.38517E-10
-2.62,2.38518E-10
-2.61,2.38631E-10
-2.6,2.38544E-10
-2.59,2.38355E-10
-2.58,2.38525E-10
-2.57,2.3852E-10
-2.56,2.38669E-10
-2.55,2.38225E-10
-2.54,2.38534E-10
-2.53,2.38291E-10
-2.52,2.38469E-10
-2.51,2.38443E-10
-2.5,2.38354E-10
-2.49,2.38322E-10
-2.48,2.3848E-10
-2.47,2.38454E-10
-2.46,2.38283E-10
-2.45,2.38383E-10
-2.44,2.385E-10
-2.43,2.38127E-10
-2.42,2.38005E-10
-2.41,2.3826E-10
-2.4,2.381E-10
-2.39,2.38097E-10
-2.38,2.37992E-10
-2.37,2.38021E-10
-2.36,2.38054E-10
-2.35,2.38045E-10
-2.34,2.38136E-10
-2.33,2.38082E-10
-2.32,2.38188E-10
-2.31,2.38031E-10
-2.3,2.38236E-10
-2.29,2.38033E-10
-2.28,2.37942E-10
-2.27,2.38101E-10
-2.26,2.37949E-10
-2.25,2.37812E-10
-2.24,2.37937E-10
