VBias,C
-3,3.67685E-11
-2.99,3.69069E-11
-2.98,3.68751E-11
-2.97,3.68333E-11
-2.96,3.69925E-11
-2.95,3.69617E-11
-2.94,3.71507E-11
-2.93,3.6991E-11
-2.92,3.72711E-11
-2.91,3.72882E-11
-2.9,3.734E-11
-2.89,3.73802E-11
-2.88,3.74771E-11
-2.87,3.75121E-11
-2.86,3.74951E-11
-2.85,3.76637E-11
-2.84,3.7782E-11
-2.83,3.77687E-11
-2.82,3.77316E-11
-2.81,3.79791E-11
-2.8,3.78904E-11
-2.79,3.8097E-11
-2.78,3.80836E-11
-2.77,3.81756E-11
-2.76,3.82846E-11
-2.75,3.84309E-11
-2.74,3.84112E-11
-2.73,3.84953E-11
-2.72,3.8601E-11
-2.71,3.84383E-11
-2.7,3.87034E-11
-2.69,3.88141E-11
-2.68,3.87287E-11
-2.67,3.87449E-11
-2.66,3.88629E-11
-2.65,3.91669E-11
-2.64,3.90218E-11
-2.63,3.91805E-11
-2.62,3.91848E-11
-2.61,3.94435E-11
-2.6,3.92194E-11
-2.59,3.93953E-11
-2.58,3.97291E-11
-2.57,3.96857E-11
-2.56,3.97183E-11
-2.55,3.99163E-11
-2.54,4.00288E-11
-2.53,3.9997E-11
-2.52,4.00207E-11
-2.51,3.99457E-11
-2.5,4.02203E-11
-2.49,4.02016E-11
-2.48,4.03494E-11
-2.47,4.05788E-11
-2.46,4.04229E-11
-2.45,4.06119E-11
-2.44,4.07763E-11
-2.43,4.07704E-11
-2.42,4.07732E-11
-2.41,4.11422E-11
-2.4,4.11622E-11
-2.39,4.11923E-11
-2.38,4.10771E-11
-2.37,4.13207E-11
-2.36,4.13976E-11
-2.35,4.1524E-11
-2.34,4.16664E-11
-2.33,4.18185E-11
-2.32,4.16929E-11
-2.31,4.19329E-11
-2.3,4.1896E-11
-2.29,4.21358E-11
-2.28,4.22304E-11
-2.27,4.20984E-11
-2.26,4.22552E-11
-2.25,4.2295E-11
-2.24,4.25101E-11
-2.23,4.25019E-11
-2.22,4.27035E-11
-2.21,4.28195E-11
-2.2,4.27554E-11
-2.19,4.31584E-11
-2.18,4.31536E-11
-2.17,4.32842E-11
-2.16,4.32281E-11
-2.15,4.34345E-11
-2.14,4.36021E-11
-2.13,4.35498E-11
-2.12,4.38108E-11
-2.11,4.37045E-11
-2.1,4.37609E-11
-2.09,4.39959E-11
-2.08,4.41233E-11
-2.07,4.41928E-11
-2.06,4.44295E-11
-2.05,4.43957E-11
-2.04,4.45638E-11
-2.03,4.46205E-11
-2.02,4.49549E-11
-2.01,4.50664E-11
-2,4.49898E-11
-1.99,4.54035E-11
-1.98,4.5177E-11
-1.97,4.54821E-11
-1.96,4.55989E-11
-1.95,4.54983E-11
-1.94,4.58683E-11
-1.93,4.5811E-11
-1.92,4.61138E-11
-1.91,4.61447E-11
-1.9,4.63361E-11
-1.89,4.63609E-11
-1.88,4.65209E-11
-1.87,4.6476E-11
-1.86,4.68393E-11
-1.85,4.68478E-11
-1.84,4.70186E-11
-1.83,4.71222E-11
-1.82,4.70894E-11
-1.81,4.73193E-11
-1.8,4.75758E-11
-1.79,4.76588E-11
-1.78,4.77399E-11
-1.77,4.81406E-11
-1.76,4.82412E-11
-1.75,4.8315E-11
-1.74,4.85518E-11
-1.73,4.84479E-11
-1.72,4.8746E-11
-1.71,4.89285E-11
-1.7,4.93099E-11
-1.69,4.91464E-11
-1.68,4.93632E-11
-1.67,4.95222E-11
-1.66,4.97811E-11
-1.65,4.96864E-11
-1.64,4.99437E-11
-1.63,5.02475E-11
-1.62,5.03856E-11
-1.61,5.03573E-11
-1.6,5.06699E-11
-1.59,5.07423E-11
-1.58,5.08886E-11
-1.57,5.11221E-11
-1.56,5.13458E-11
-1.55,5.13746E-11
-1.54,5.18021E-11
-1.53,5.18113E-11
-1.52,5.19906E-11
-1.51,5.21529E-11
-1.5,5.24107E-11
-1.49,5.24802E-11
-1.48,5.26886E-11
-1.47,5.30797E-11
-1.46,5.31015E-11
-1.45,5.3404E-11
-1.44,5.35062E-11
-1.43,5.37462E-11
-1.42,5.39746E-11
-1.41,5.41467E-11
-1.4,5.43481E-11
-1.39,5.45831E-11
-1.38,5.47423E-11
-1.37,5.50988E-11
-1.36,5.51914E-11
-1.35,5.55595E-11
-1.34,5.56819E-11
-1.33,5.58427E-11
-1.32,5.59478E-11
-1.31,5.66777E-11
-1.3,5.65992E-11
-1.29,5.70294E-11
-1.28,5.71883E-11
-1.27,5.74412E-11
-1.26,5.78223E-11
-1.25,5.78665E-11
-1.24,5.81768E-11
-1.23,5.84455E-11
-1.22,5.88297E-11
-1.21,5.89864E-11
-1.2,5.91303E-11
-1.19,5.9665E-11
-1.18,5.96979E-11
-1.17,6.02457E-11
-1.16,6.03255E-11
-1.15,6.07652E-11
-1.14,6.08404E-11
-1.13,6.11929E-11
-1.12,6.15932E-11
-1.11,6.17305E-11
-1.1,6.22464E-11
-1.09,6.25316E-11
-1.08,6.26283E-11
-1.07,6.32918E-11
-1.06,6.33516E-11
-1.05,6.37826E-11
-1.04,6.41303E-11
-1.03,6.43942E-11
-1.02,6.48637E-11
-1.01,6.49948E-11
-1,6.53374E-11
-0.99,6.57556E-11
-0.98,6.58091E-11
-0.97,6.64962E-11
-0.96,6.63508E-11
-0.95,6.68807E-11
-0.94,6.70989E-11
-0.93,6.71677E-11
-0.92,6.73663E-11
-0.91,6.73712E-11
-0.9,6.7755E-11
-0.89,6.78451E-11
-0.88,6.79331E-11
-0.87,6.80511E-11
-0.86,6.83177E-11
-0.85,6.84482E-11
-0.84,6.86864E-11
-0.83,6.88546E-11
-0.82,6.92483E-11
-0.81,6.91657E-11
-0.8,6.97578E-11
-0.79,6.97408E-11
-0.78,7.04171E-11
-0.77,7.07449E-11
-0.76,7.08669E-11
-0.75,7.16467E-11
-0.74,7.18649E-11
-0.73,7.24535E-11
-0.72,7.28736E-11
-0.71,7.32416E-11
-0.7,7.40102E-11
-0.69,7.42306E-11
