V1,I1
0,-3E-14
-0.01,-1.4E-13
-0.02,-1.4E-13
-0.03,-2.8E-13
-0.04,-1.1E-13
-0.05,-1E-13
-0.06,-1.9E-13
-0.07,-1.8E-13
-0.08,-2.8E-13
-0.09,-2.3E-13
-0.1,-1.6E-13
-0.11,-1.3E-13
-0.12,-1.1E-13
-0.13,-3E-13
-0.14,-1E-13
-0.15,-7E-14
-0.16,-1.1E-13
-0.17,-1.6E-13
-0.18,-2.1E-13
-0.19,-7E-14
-0.2,-1.4E-13
-0.21,-2.2E-13
-0.22,0
-0.23,-1.7E-13
-0.24,-2.9E-13
-0.25,-8E-14
-0.26,-1.6E-13
-0.27,-1.4E-13
-0.28,-2E-13
-0.29,-1.8E-13
-0.3,-3E-14
-0.31,6E-14
-0.32,-1.2E-13
-0.33,-9E-14
-0.34,-2.1E-13
-0.35,-2.1E-13
-0.36,-1.9E-13
-0.37,-3E-13
-0.38,-1.3E-13
-0.39,-1.7E-13
-0.4,-1.9E-13
-0.41,-2.8E-13
-0.42,-2.9E-13
-0.43,-5E-14
-0.44,-2.6E-13
-0.45,-7E-14
-0.46,-2E-13
-0.47,-1.6E-13
-0.48,-4.2E-13
-0.49,-1.8E-13
-0.5,-2.7E-13
-0.51,4E-14
-0.52,-2.8E-13
-0.53,-2.6E-13
-0.54,-1.8E-13
-0.55,-1E-13
-0.56,-2.2E-13
-0.57,-2.2E-13
-0.58,-1.8E-13
-0.59,-2.9E-13
-0.6,-2.5E-13
-0.61,-3.3E-13
-0.62,-1.3E-13
-0.63,-2.7E-13
-0.64,-2.2E-13
-0.65,-3.6E-13
-0.66,-1.9E-13
-0.67,-4.1E-13
-0.68,-2E-13
-0.69,-3.6E-13
-0.7,-2.6E-13
-0.71,-5.8E-13
-0.72,-4.6E-13
-0.73,-4.8E-13
-0.74,-4.1E-13
-0.75,-6.4E-13
-0.76,-8.1E-13
-0.77,-7.7E-13
-0.78,-8.1E-13
-0.79,-8.7E-13
-0.8,-1.1E-12
-0.81,-1.07E-12
-0.82,-1.17E-12
-0.83,-1.37E-12
-0.84,-1.33E-12
-0.85,-1.61E-12
-0.86,-1.72E-12
-0.87,-2.17E-12
-0.88,-2.35E-12
-0.89,-2.59E-12
-0.9,-2.99E-12
-0.91,-3.26E-12
-0.92,-3.62E-12
-0.93,-4.15E-12
-0.94,-4.53E-12
-0.95,-4.95E-12
-0.96,-5.37E-12
-0.97,-5.76E-12
-0.98,-6.36E-12
-0.99,-6.75E-12
-1,-6.83E-12
-1,-5.87E-12
-0.99,-2.71E-12
-0.98,6.1E-13
-0.97,3.18E-12
-0.96,5.11E-12
-0.95,6.46E-12
-0.94,6.96E-12
-0.93,6.98E-12
-0.92,6.61E-12
-0.91,6.06E-12
-0.9,5.43E-12
-0.89,4.58E-12
-0.88,3.72E-12
-0.87,3.06E-12
-0.86,2.41E-12
-0.85,1.95E-12
-0.84,1.52E-12
-0.83,1.28E-12
-0.82,1.09E-12
-0.81,8.7E-13
-0.8,6.4E-13
-0.79,5.4E-13
-0.78,5.4E-13
-0.77,7.1E-13
-0.76,5.4E-13
-0.75,3.2E-13
-0.74,2.9E-13
-0.73,2.2E-13
-0.72,1.7E-13
-0.71,1.2E-13
-0.7,1.3E-13
-0.69,1.6E-13
-0.68,9E-14
-0.67,-1E-14
-0.66,7E-14
-0.65,1.1E-13
-0.64,5E-14
-0.63,5E-14
-0.62,1.1E-13
-0.61,-1.1E-13
-0.6,-1.4E-13
-0.59,2E-14
-0.58,-8E-14
-0.57,-1.5E-13
-0.56,1E-14
-0.55,-6E-14
-0.54,-1.3E-13
-0.53,-4E-14
-0.52,-1E-13
-0.51,-2.7E-13
-0.5,-3.1E-13
-0.49,-2.1E-13
-0.48,8E-14
-0.47,-5E-14
-0.46,-3E-14
-0.45,-1E-14
-0.44,1E-14
-0.43,-1.1E-13
-0.42,-1.3E-13
-0.41,-3E-14
-0.4,-1E-14
-0.39,-8E-14
-0.38,-2E-14
-0.37,-2E-14
-0.36,-7E-14
-0.35,-1E-13
-0.34,-5E-14
-0.33,-8E-14
-0.32,4E-14
-0.31,-1.1E-13
-0.3,-2E-14
-0.29,-3E-14
-0.28,-1.1E-13
-0.27,-2E-14
-0.26,3E-14
-0.25,-1E-13
-0.24,-1.2E-13
-0.23,-1.3E-13
-0.22,-1E-13
-0.21,5E-14
-0.2,-1.4E-13
-0.19,-6E-14
-0.18,5E-14
-0.17,-4E-14
-0.16,-1.3E-13
-0.15,-1.8E-13
-0.14,-1.7E-13
-0.13,-7E-14
-0.12,-8E-14
-0.11,-1.8E-13
-0.1,0
-0.09,-3E-14
-0.08,-1.4E-13
-0.07,-1.8E-13
-0.06,8E-14
-0.05,-1.1E-13
-0.04,-1.1E-13
-0.03,-7E-14
-0.02,-2E-13
-0.01,-3.4E-13
0,-2.5E-13
