Setup title,I_V_Dark_0-4
Classic test name,"I/V Sweep"
Test date,2/1/2023
Test time,17:43:19
Device ID,
Count,8
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,11
Measurement.Primary.Step,0.016
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,5
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,5
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-6E-12
0.016,8E-13
0.031,-5.7E-12
0.047,-1.6E-12
0.063,-4.8E-12
0.079,-2.7E-12
0.094,-3.5E-12
0.11,-1E-13
0.126,-6E-13
0.141,-9E-13
0.157,-7.9E-12
0.173,-3.3E-12
0.189,8E-13
0.204,-2.3E-12
0.22,-2.6E-12
0.236,-4.2E-12
0.251,2E-12
0.267,1.3E-12
0.283,-5E-13
0.299,-8.3E-12
0.314,1.2E-12
0.33,-6.3E-12
0.346,-5.4E-12
0.361,-5.9E-12
0.377,-7.4E-12
0.393,2.8E-12
0.409,-6.5E-12
0.424,-2.8E-12
0.44,-6.4E-12
0.456,3E-13
0.471,-4.3E-12
0.487,5E-13
0.503,-1.1E-12
0.519,1.7E-12
0.534,-4E-13
0.55,-1.7E-12
0.566,2.9E-12
0.581,-5.7E-12
0.597,-2.8E-12
0.613,-2.7E-12
0.629,-5E-13
0.644,2E-12
0.66,-2.3E-12
0.676,-8.1E-12
0.691,-1.2E-12
0.707,-7.8E-12
0.723,7E-13
0.739,-3.7E-12
0.754,-1.17E-11
0.77,1.24E-11
0.786,-2.4E-12
0.801,-3.9E-12
0.817,2E-13
0.833,-6E-12
0.849,8.2E-12
0.864,-8.1E-12
0.88,-6.4E-12
0.896,1.6E-12
0.911,-3.5E-12
0.927,6E-12
0.943,-7.6E-12
0.959,-1E-12
0.974,-7.6E-12
0.99,-3.7E-12
1.006,-6E-13
1.021,-9.5E-12
1.037,5.9E-12
1.053,-7E-12
1.069,-4E-13
1.084,5E-12
1.1,-3.4E-12
1.116,2.8E-12
1.131,-6.6E-12
1.147,4E-13
1.163,7E-13
1.179,-2.5E-12
1.194,-8E-13
1.21,2.9E-12
1.226,-2.2E-12
1.241,-8E-13
1.257,-5E-12
1.273,-9E-13
1.289,3.7E-12
1.304,-1.5E-12
1.32,-1.5E-12
1.336,-1E-12
1.351,-4E-12
1.367,-2.9E-12
1.383,-5E-13
1.399,-4.6E-12
1.414,9E-13
1.43,-4.4E-12
1.446,3E-12
1.461,-5.5E-12
1.477,-1.5E-12
1.493,-1.1E-12
