Setup title,I_V_Light_0--2
Classic test name,"I/V Sweep"
Test date,2/1/2023
Test time,18:08:54
Device ID,
Count,10
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,20
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,20
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,3E-13
-0.01,-7E-13
-0.02,2E-13
-0.03,2.7E-12
-0.04,2.4E-12
-0.05,2.5E-12
-0.06,2.6E-12
-0.07,1E-13
-0.08,-1.3E-12
-0.09,6E-13
-0.1,2.3E-12
-0.11,2.4E-12
-0.12,2.9E-12
-0.13,2.9E-12
-0.14,3.4E-12
-0.15,1.9E-12
-0.16,0
-0.17,-6E-13
-0.18,1.3E-12
-0.19,2.3E-12
-0.2,2.7E-12
-0.21,2E-12
-0.22,-8E-13
-0.23,-1.1E-12
-0.24,1E-13
-0.25,1.6E-12
-0.26,2.6E-12
-0.27,2.1E-12
-0.28,-3E-13
-0.29,-8E-13
-0.3,-3E-13
-0.31,0
-0.32,-2.1E-12
-0.33,1.6E-12
-0.34,1.6E-12
-0.35,1.8E-12
-0.36,1.5E-12
-0.37,2.9E-12
-0.38,0
-0.39,-1E-13
-0.4,0
-0.41,-3E-13
-0.42,-1.9E-12
-0.43,1.8E-12
-0.44,2E-12
-0.45,1.9E-12
-0.46,2.6E-12
-0.47,2.5E-12
-0.48,1.2E-12
-0.49,-2E-13
-0.5,-6E-13
-0.51,1.4E-12
-0.52,1.9E-12
-0.53,2.3E-12
-0.54,9E-13
-0.55,-6E-13
-0.56,2E-12
-0.57,1.9E-12
-0.58,2.1E-12
-0.59,2.3E-12
-0.6,1E-13
-0.61,-4E-13
-0.62,-1.7E-12
-0.63,1.3E-12
-0.64,1.8E-12
-0.65,2.2E-12
-0.66,1.4E-12
-0.67,-2E-13
-0.68,-8E-13
-0.69,-4E-13
-0.7,1.7E-12
-0.71,1.8E-12
-0.72,2.1E-12
-0.73,-5E-13
-0.74,-1.1E-12
-0.75,-1.7E-12
-0.76,8E-13
-0.77,1.3E-12
-0.78,-1E-12
-0.79,-1E-12
-0.8,-1.8E-12
-0.81,-1.1E-12
-0.82,1.1E-12
-0.83,1.4E-12
-0.84,1.6E-12
-0.85,-6E-13
-0.86,-4E-13
-0.87,0
-0.88,-8E-13
-0.89,1.5E-12
-0.9,1.7E-12
-0.91,1.7E-12
-0.92,-6E-13
-0.93,-8E-13
