Setup title,"I/V Sweep"
Classic test name,"I/V Sweep"
Test date,2/8/2023
Test time,16:02:42
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.37E-11
0.01,1.1E-11
0.02,1.49E-11
0.03,1.72E-11
0.04,1.45E-11
0.05,1.35E-11
0.06,1.42E-11
0.07,1.75E-11
0.08,1.69E-11
0.09,1.56E-11
0.1,1.2E-11
0.11,1.5E-11
0.12,1.93E-11
0.13,2.14E-11
0.14,1.19E-11
0.15,1.59E-11
0.16,1.5E-11
0.17,1.73E-11
0.18,1.53E-11
0.19,1.31E-11
0.2,1.46E-11
0.21,1.57E-11
0.22,1.51E-11
0.23,1.31E-11
0.24,1.33E-11
0.25,1.51E-11
0.26,1.66E-11
0.27,1.16E-11
0.28,1.07E-11
0.29,1.69E-11
0.3,1.7E-11
0.31,1.3E-11
0.32,1.44E-11
0.33,1.62E-11
0.34,1.55E-11
0.35,1.28E-11
0.36,1.14E-11
0.37,1.65E-11
0.38,1.7E-11
0.39,1.11E-11
0.4,1.36E-11
0.41,1.45E-11
0.42,1.69E-11
0.43,9.8E-12
0.44,1.22E-11
0.45,1.34E-11
0.46,7.1E-12
0.47,1.43E-11
0.48,1.21E-11
0.49,1.51E-11
0.5,1.29E-11
0.51,1.12E-11
0.52,1.18E-11
0.53,1.63E-11
0.54,1.57E-11
0.55,1.42E-11
0.56,1.27E-11
0.57,1.01E-11
0.58,9.3E-12
0.59,1.4E-11
0.6,1.63E-11
0.61,1.59E-11
0.62,1.2E-11
0.63,1.08E-11
0.64,1.43E-11
0.65,1.38E-11
0.66,1.02E-11
0.67,1E-11
0.68,1E-11
0.69,1.31E-11
0.7,1.37E-11
0.71,1.4E-11
0.72,1.53E-11
0.73,1.04E-11
0.74,1.04E-11
0.75,9.8E-12
0.76,1.48E-11
0.77,1.49E-11
0.78,1.42E-11
0.79,1.59E-11
0.8,1.02E-11
0.81,9.8E-12
0.82,1.12E-11
0.83,1.27E-11
0.84,1.03E-11
0.85,1.49E-11
0.86,1.33E-11
0.87,1.14E-11
0.88,1.13E-11
0.89,9.4E-12
0.9,1.45E-11
0.91,1.36E-11
0.92,1.39E-11
0.93,8.9E-12
0.94,8.9E-12
0.95,1.39E-11
0.96,1.51E-11
0.97,9.3E-12
0.98,1.04E-11
0.99,1.35E-11
1,1.32E-11
1,1.19E-11
0.99,1.34E-11
0.98,5.8E-12
0.97,5.4E-12
0.96,6.4E-12
0.95,9E-12
0.94,8.1E-12
0.93,3E-12
0.92,-3E-12
0.91,1.7E-12
0.9,2E-12
0.89,-3.1E-12
0.88,-3.1E-12
0.87,-6E-13
0.86,6E-13
0.85,-4.4E-12
0.84,-4.1E-12
0.83,1E-13
0.82,9E-13
0.81,-3.4E-12
0.8,-2.7E-12
0.79,5E-13
0.78,2E-13
0.77,-5E-12
0.76,-5E-12
0.75,-1.2E-12
0.74,-1.4E-12
0.73,-4.9E-12
0.72,-3.7E-12
0.71,1E-13
0.7,2.1E-12
0.69,7E-13
0.68,-3.2E-12
0.67,-3.8E-12
0.66,-4.5E-12
0.65,-5.4E-12
0.64,-2E-13
0.63,-7E-13
0.62,-8E-13
0.61,-1.3E-12
0.6,-3.1E-12
0.59,-5.6E-12
0.58,-3.8E-12
0.57,-6.3E-12
0.56,-2.1E-12
0.55,-6E-12
0.54,-2.1E-12
0.53,-5.1E-12
0.52,-6.1E-12
0.51,-4.6E-12
0.5,-6.9E-12
0.49,-9E-13
0.48,-5E-13
0.47,5E-13
0.46,-5.4E-12
0.45,-5.5E-12
0.44,-7E-13
0.43,-1.4E-12
0.42,-5.6E-12
0.41,-5.5E-12
0.4,-9E-13
0.39,-5E-13
0.38,-4.3E-12
0.37,-5.5E-12
0.36,-1.6E-12
0.35,-2E-13
0.34,-3.9E-12
0.33,-6.9E-12
0.32,-7E-13
0.31,-4.6E-12
0.3,-6.7E-12
0.29,-2.8E-12
0.28,-1.2E-12
0.27,-6.3E-12
0.26,-6.24E-11
0.25,-1.406E-10
0.24,-8.8E-11
0.23,-5.81E-11
0.22,-4.62E-11
0.21,-3.37E-11
0.2,-2.38E-11
0.19,-2.08E-11
0.18,-2.08E-11
0.17,-1.82E-11
0.16,-1.29E-11
0.15,-9.8E-12
0.14,-1.51E-11
0.13,-1.23E-11
0.12,2E-13
0.11,-4.6E-12
0.1,-1.36E-11
0.09,9.3E-12
0.08,6.2E-12
0.07,6.7E-12
0.06,3.7E-12
0.05,8.7E-12
0.04,8.6E-12
0.03,8.7E-12
0.02,1.03E-11
